time,FR107
2021-01-01,5.948
2021-01-02,8.452001
2021-01-03,8.686
2021-01-04,6.853999
2021-01-05,4.3259997
2021-01-06,7.128
2021-01-07,4.1299996
2021-01-08,4.7319994
2021-01-09,3.9639995
2021-01-10,3.2619998
2021-01-11,2.8259997
2021-01-12,1.22
2021-01-13,1.486
2021-01-14,1.534
2021-01-15,1.9039999
2021-01-16,0.8420001
2021-01-17,-1.096
2021-01-18,1.046
2021-01-19,1.9300001
2021-01-20,6.002
2021-01-21,9.101999
2021-01-22,11.863999
2021-01-23,10.393999
2021-01-24,7.15
2021-01-25,1.8739998
2021-01-26,3.3059998
2021-01-27,1.7019999
2021-01-28,2.62
2021-01-29,6.134
2021-01-30,7.822
2021-01-31,8.51
2021-02-01,4.974
2021-02-02,8.202001
2021-02-03,9.011999
2021-02-04,11.854
2021-02-05,10.638
2021-02-06,11.518
2021-02-07,13.173999
2021-02-08,10.757999
2021-02-09,11.146
2021-02-10,10.101999
2021-02-11,6.554
2021-02-12,-0.644
2021-02-13,-3.0240002
2021-02-14,-2.112
2021-02-15,1.448
2021-02-16,3.0279999
2021-02-17,3.3739998
2021-02-18,6.2879996
2021-02-19,6.866
2021-02-20,8.518
2021-02-21,7.512
2021-02-22,8.672
2021-02-23,9.311999
2021-02-24,13.63
2021-02-25,13.311999
2021-02-26,11.724
2021-02-27,10.0
2021-02-28,8.907999
2021-03-01,7.95
2021-03-02,7.913999
2021-03-03,8.688
2021-03-04,7.4019995
2021-03-05,7.818
2021-03-06,5.9760003
2021-03-07,3.824
2021-03-08,6.166
2021-03-09,6.298
2021-03-10,7.2259994
2021-03-11,6.752
2021-03-12,8.407999
2021-03-13,10.578
2021-03-14,10.4279995
2021-03-15,6.1019998
2021-03-16,5.338
2021-03-17,5.906
2021-03-18,4.914
2021-03-19,4.5499997
2021-03-20,4.996
2021-03-21,4.7419996
2021-03-22,5.106
2021-03-23,5.2839994
2021-03-24,8.42
2021-03-25,8.778
2021-03-26,8.806
2021-03-27,9.936
2021-03-28,12.469999
2021-03-29,12.209999
2021-03-30,15.387999
2021-03-31,16.234
2021-04-01,15.5199995
2021-04-02,14.701999
2021-04-03,10.106
2021-04-04,7.9639997
2021-04-05,7.3480005
2021-04-06,5.0099998
