time,FRK12
2021-01-01,0.34833333
2021-01-02,1.9500002
2021-01-03,3.9449997
2021-01-04,2.1899998
2021-01-05,0.99
2021-01-06,0.7749999
2021-01-07,-0.89333326
2021-01-08,-2.0516665
2021-01-09,-2.8083332
2021-01-10,-2.9883335
2021-01-11,-5.235
2021-01-12,-4.593333
2021-01-13,-1.7199999
2021-01-14,-3.5266669
2021-01-15,-4.8033333
2021-01-16,-8.046666
2021-01-17,-9.206667
2021-01-18,-13.481667
2021-01-19,-8.003333
2021-01-20,-0.22833331
2021-01-21,2.0166667
2021-01-22,4.2116666
2021-01-23,5.305
2021-01-24,3.4416664
2021-01-25,-1.485
2021-01-26,-2.7283335
2021-01-27,-4.11
2021-01-28,-4.6066666
2021-01-29,-0.88166666
2021-01-30,-0.08833333
2021-01-31,-5.1966667
2021-02-01,-9.325
2021-02-02,-3.1733332
2021-02-03,2.59
2021-02-04,4.2133336
2021-02-05,-0.56
2021-02-06,-2.3866665
2021-02-07,-5.6049995
2021-02-08,-5.8849998
2021-02-09,-5.1099997
2021-02-10,-5.0316663
2021-02-11,-8.365
2021-02-12,-12.763333
2021-02-13,-9.893333
2021-02-14,-5.29
2021-02-15,-6.1983333
2021-02-16,-8.351666
2021-02-17,-1.6549999
2021-02-18,0.6433333
2021-02-19,0.15333332
2021-02-20,3.1166668
2021-02-21,1.2633333
2021-02-22,3.7749999
2021-02-23,3.9516666
2021-02-24,8.158334
2021-02-25,9.083333
2021-02-26,8.293334
2021-02-27,5.601667
2021-02-28,3.378333
2021-03-01,2.9933336
2021-03-02,4.613333
2021-03-03,6.0266666
2021-03-04,5.016667
2021-03-05,1.6349999
2021-03-06,-1.8149997
2021-03-07,-0.7733333
2021-03-08,-2.3783333
2021-03-09,-4.265
2021-03-10,-3.7066662
2021-03-11,-3.378333
2021-03-12,3.4866664
2021-03-13,2.9083335
2021-03-14,5.771666
2021-03-15,1.765
2021-03-16,0.36666664
2021-03-17,1.7266666
2021-03-18,-0.0033333402
2021-03-19,-2.3466666
2021-03-20,-4.383333
2021-03-21,-4.3866663
2021-03-22,-0.48499998
2021-03-23,0.47833332
2021-03-24,2.5433333
2021-03-25,3.408333
2021-03-26,4.4649997
2021-03-27,7.484999
2021-03-28,4.7166667
2021-03-29,4.54
2021-03-30,8.928333
2021-03-31,13.6016655
2021-04-01,12.941667
2021-04-02,7.653333
2021-04-03,2.0416667
2021-04-04,1.27
2021-04-05,3.67
2021-04-06,2.8249998
2021-04-07,-1.9949999
2021-04-08,-0.7850001
2021-04-09,2.53
2021-04-10,9.48
2021-04-11,8.651666
2021-04-12,11.711666
2021-04-13,4.8116665
2021-04-14,0.2
2021-04-15,0.78666663
2021-04-16,0.89166665
2021-04-17,3.075
2021-04-18,4.8266664
2021-04-19,5.5166664
2021-04-20,8.151667
2021-04-21,7.8283334
2021-04-22,7.788334
2021-04-23,3.335
2021-04-24,5.631666
2021-04-25,4.363333
2021-04-26,2.2683332
2021-04-27,3.868333
2021-04-28,6.5849996
2021-04-29,9.698333
2021-04-30,12.098332
2021-05-01,10.421666
2021-05-02,12.18
2021-05-03,6.6749997
2021-05-04,7.963333
2021-05-05,11.803333
2021-05-06,7.101667
2021-05-07,9.808332
2021-05-08,7.088333
2021-05-09,9.64
2021-05-10,16.746666
2021-05-11,17.811666
2021-05-12,17.55
2021-05-13,15.209999
2021-05-14,12.301666
2021-05-15,13.101666
2021-05-16,11.9783325
2021-05-17,11.125
2021-05-18,9.841666
2021-05-19,10.083333
2021-05-20,10.241666
2021-05-21,10.501667
2021-05-22,11.405
2021-05-23,9.441667
2021-05-24,10.876666
2021-05-25,12.411667
2021-05-26,11.478333
2021-05-27,12.3533325
2021-05-28,12.583333
2021-05-29,10.111667
2021-05-30,9.38
2021-05-31,11.123333
2021-06-01,10.025001
2021-06-02,10.611667
2021-06-03,12.44
2021-06-04,14.181667
2021-06-05,15.493333
2021-06-06,15.27
2021-06-07,15.959999
2021-06-08,16.31
2021-06-09,16.69
2021-06-10,16.068333
2021-06-11,16.22
2021-06-12,16.606667
2021-06-13,14.3
2021-06-14,14.044999
2021-06-15,14.706666
2021-06-16,16.766666
2021-06-17,18.493334
2021-06-18,19.923334
2021-06-19,20.491667
2021-06-20,20.776665
2021-06-21,21.970001
2021-06-22,23.211664
2021-06-23,22.495
2021-06-24,24.195
2021-06-25,19.728333
2021-06-26,18.806665
2021-06-27,17.781668
2021-06-28,18.949999
2021-06-29,20.105
2021-06-30,21.15
2021-07-01,18.013334
2021-07-02,17.571665
2021-07-03,16.408333
2021-07-04,18.244999
2021-07-05,18.686666
2021-07-06,20.721666
2021-07-07,22.463333
2021-07-08,23.823334
2021-07-09,24.015
2021-07-10,20.1
2021-07-11,20.343332
2021-07-12,19.063334
2021-07-13,22.111666
2021-07-14,24.4
2021-07-15,21.831665
2021-07-16,21.231667
2021-07-17,22.135
2021-07-18,20.836664
2021-07-19,18.893333
2021-07-20,17.161667
2021-07-21,16.838333
2021-07-22,16.718332
2021-07-23,17.886665
2021-07-24,19.529999
2021-07-25,19.42
2021-07-26,22.641665
2021-07-27,22.678335
2021-07-28,22.11
2021-07-29,21.236666
2021-07-30,20.581667
2021-07-31,18.993332
2021-08-01,18.586664
2021-08-02,16.751667
2021-08-03,15.648332
2021-08-04,16.608334
2021-08-05,16.388334
2021-08-06,15.271665
2021-08-07,17.138332
2021-08-08,19.748331
2021-08-09,18.869999
2021-08-10,19.716667
2021-08-11,18.468332
2021-08-12,16.908333
2021-08-13,18.076666
2021-08-14,20.623331
2021-08-15,22.036667
2021-08-16,22.043333
2021-08-17,16.793333
2021-08-18,13.556666
2021-08-19,14.38
2021-08-20,17.601667
2021-08-21,17.125002
2021-08-22,17.508333
2021-08-23,17.096666
2021-08-24,13.266665
2021-08-25,11.948333
2021-08-26,9.833333
2021-08-27,11.958333
2021-08-28,12.095
2021-08-29,11.6033325
2021-08-30,11.526668
2021-08-31,12.141666
2021-09-01,13.326667
2021-09-02,13.656666
2021-09-03,13.878333
2021-09-04,13.419999
2021-09-05,11.368333
2021-09-06,10.415
2021-09-07,12.713333
2021-09-08,14.963333
2021-09-09,14.858333
2021-09-10,14.911666
2021-09-11,15.338333
2021-09-12,16.043333
2021-09-13,16.493332
2021-09-14,16.048332
2021-09-15,16.308332
2021-09-16,17.748335
2021-09-17,14.263333
2021-09-18,11.533333
2021-09-19,8.873333
2021-09-20,7.6299996
2021-09-21,7.6433334
2021-09-22,7.4466667
2021-09-23,9.86
2021-09-24,12.055
2021-09-25,12.558333
2021-09-26,16.003332
2021-09-27,15.28
2021-09-28,11.488332
2021-09-29,11.031666
2021-09-30,9.931666
2021-10-01,9.1883335
2021-10-02,10.806666
2021-10-03,11.645
2021-10-04,14.579999
2021-10-05,13.985
2021-10-06,11.851666
2021-10-07,10.441667
2021-10-08,6.508333
2021-10-09,3.8466666
2021-10-10,3.7333329
2021-10-11,5.238333
2021-10-12,6.1633334
2021-10-13,2.9749997
2021-10-14,5.1983333
2021-10-15,6.5249996
2021-10-16,6.8116665
2021-10-17,4.7116666
2021-10-18,5.4833336
2021-10-19,8.666667
2021-10-20,11.416667
2021-10-21,12.736667
2021-10-22,9.405
2021-10-23,6.183333
2021-10-24,4.898333
2021-10-25,5.393333
2021-10-26,5.14
2021-10-27,6.886667
2021-10-28,7.188333
2021-10-29,9.63
2021-10-30,10.82
2021-10-31,11.379998
2021-11-01,7.6516666
2021-11-02,6.4016666
2021-11-03,6.898333
2021-11-04,10.526667
2021-11-05,5.9133325
2021-11-06,4.8483334
2021-11-07,4.193333
2021-11-08,5.97
2021-11-09,4.315
2021-11-10,5.178333
2021-11-11,5.146666
2021-11-12,2.1283333
2021-11-13,4.3849998
2021-11-14,3.345
2021-11-15,3.8583329
2021-11-16,1.9033333
2021-11-17,1.2916666
2021-11-18,4.4266663
2021-11-19,5.59
2021-11-20,8.808333
2021-11-21,6.23
2021-11-22,4.0399995
2021-11-23,1.5783334
2021-11-24,1.2633333
2021-11-25,0.46
2021-11-26,1.285
