time,LT028
2021-01-01,0.42999998
2021-01-02,0.089999996
2021-01-03,1.8399999
2021-01-04,2.45
2021-01-05,2.49
2021-01-06,1.6999999
2021-01-07,-1.41
2021-01-08,0.28
2021-01-09,0.45999998
2021-01-10,1.54
2021-01-11,5.67
2021-01-12,5.7799997
2021-01-13,4.0699997
2021-01-14,5.22
2021-01-15,0.69
2021-01-16,4.9
2021-01-17,5.91
2021-01-18,4.81
2021-01-19,7.73
2021-01-20,8.12
2021-01-21,3.4199998
2021-01-22,2.06
2021-01-23,0.81
2021-01-24,-1.05
2021-01-25,-0.14999999
2021-01-26,2.22
2021-01-27,5.96
2021-01-28,7.41
2021-01-29,8.09
2021-01-30,3.86
2021-01-31,0.83
2021-02-01,3.1999998
2021-02-02,6.22
2021-02-03,7.5699997
2021-02-04,6.42
2021-02-05,5.2799997
2021-02-06,3.84
2021-02-07,2.22
2021-02-08,0.78999996
2021-02-09,-0.32999998
2021-02-10,-0.41
2021-02-11,-1.8
2021-02-12,-0.29999998
2021-02-13,-0.41
2021-02-14,3.82
2021-02-15,8.17
2021-02-16,9.23
2021-02-17,7.89
2021-02-18,7.27
2021-02-19,6.7799997
2021-02-20,9.65
2021-02-21,8.94
2021-02-22,8.09
2021-02-23,7.8399997
2021-02-24,10.98
2021-02-25,8.0199995
2021-02-26,5.0899997
2021-02-27,5.6099997
2021-02-28,5.15
2021-03-01,3.83
2021-03-02,3.73
2021-03-03,4.0099998
2021-03-04,4.43
2021-03-05,3.1499999
2021-03-06,1.92
2021-03-07,2.02
2021-03-08,4.42
2021-03-09,6.02
2021-03-10,8.41
2021-03-11,8.21
2021-03-12,6.04
2021-03-13,5.19
2021-03-14,5.92
2021-03-15,8.49
2021-03-16,9.33
2021-03-17,6.1
2021-03-18,6.62
2021-03-19,8.139999
2021-03-20,8.2
2021-03-21,8.26
2021-03-22,6.1099997
2021-03-23,7.72
2021-03-24,8.69
2021-03-25,7.8799996
2021-03-26,8.09
2021-03-27,5.77
2021-03-28,9.54
2021-03-29,12.059999
2021-03-30,10.9
2021-03-31,11.84
2021-04-01,8.44
2021-04-02,5.7599998
2021-04-03,5.75
2021-04-04,6.58
2021-04-05,4.71
2021-04-06,2.76
2021-04-07,2.9399998
2021-04-08,6.67
2021-04-09,5.14
2021-04-10,2.37
2021-04-11,3.4199998
2021-04-12,3.77
2021-04-13,5.08
2021-04-14,5.69
2021-04-15,5.54
2021-04-16,5.35
2021-04-17,5.79
2021-04-18,7.0699997
2021-04-19,8.24
2021-04-20,8.92
2021-04-21,9.53
2021-04-22,6.85
2021-04-23,8.76
2021-04-24,9.09
2021-04-25,7.85
2021-04-26,7.0
2021-04-27,8.01
2021-04-28,7.68
2021-04-29,5.56
2021-04-30,6.37
2021-05-01,5.2799997
2021-05-02,5.64
2021-05-03,7.79
2021-05-04,7.5299997
2021-05-05,5.0699997
2021-05-06,5.6
2021-05-07,5.8799996
2021-05-08,8.75
2021-05-09,11.849999
2021-05-10,11.54
2021-05-11,9.5
2021-05-12,8.9
2021-05-13,10.34
2021-05-14,10.12
2021-05-15,10.21
2021-05-16,9.75
2021-05-17,10.5199995
2021-05-18,10.46
2021-05-19,9.79
2021-05-20,9.309999
2021-05-21,10.13
2021-05-22,8.88
2021-05-23,8.16
2021-05-24,8.679999
2021-05-25,10.2
2021-05-26,9.54
2021-05-27,10.44
2021-05-28,12.16
2021-05-29,14.4
2021-05-30,14.0
2021-05-31,14.28
2021-06-01,16.76
2021-06-02,16.52
2021-06-03,15.4
2021-06-04,12.349999
2021-06-05,13.53
2021-06-06,15.139999
2021-06-07,14.28
2021-06-08,14.03
2021-06-09,15.61
2021-06-10,17.619999
2021-06-11,16.59
2021-06-12,14.87
2021-06-13,16.84
2021-06-14,16.02
2021-06-15,13.69
2021-06-16,16.24
2021-06-17,14.28
2021-06-18,12.94
2021-06-19,13.219999
2021-06-20,13.15
2021-06-21,12.71
2021-06-22,11.679999
2021-06-23,11.91
2021-06-24,15.639999
2021-06-25,12.309999
2021-06-26,13.53
2021-06-27,14.44
2021-06-28,14.809999
2021-06-29,16.07
2021-06-30,14.07
2021-07-01,14.25
2021-07-02,16.48
2021-07-03,17.24
2021-07-04,16.619999
2021-07-05,14.849999
2021-07-06,13.889999
2021-07-07,16.08
2021-07-08,15.599999
2021-07-09,15.5199995
2021-07-10,16.3
2021-07-11,15.71
2021-07-12,16.19
2021-07-13,17.199999
2021-07-14,16.32
2021-07-15,16.66
2021-07-16,17.84
2021-07-17,19.81
2021-07-18,20.6
2021-07-19,20.779999
2021-07-20,20.789999
2021-07-21,20.619999
2021-07-22,21.42
2021-07-23,19.39
2021-07-24,17.859999
2021-07-25,17.02
2021-07-26,17.4
2021-07-27,17.31
2021-07-28,16.369999
2021-07-29,15.339999
2021-07-30,14.63
2021-07-31,15.44
2021-08-01,15.0
2021-08-02,14.0
2021-08-03,14.15
2021-08-04,15.33
2021-08-05,15.19
2021-08-06,16.05
2021-08-07,15.5199995
2021-08-08,15.65
2021-08-09,15.23
2021-08-10,16.529999
2021-08-11,15.95
2021-08-12,15.15
2021-08-13,16.38
2021-08-14,16.119999
2021-08-15,16.13
2021-08-16,13.9
2021-08-17,14.0199995
2021-08-18,15.69
2021-08-19,15.339999
2021-08-20,16.119999
2021-08-21,16.51
2021-08-22,16.289999
2021-08-23,16.0
2021-08-24,15.48
2021-08-25,15.46
2021-08-26,15.42
2021-08-27,13.19
2021-08-28,14.25
2021-08-29,14.259999
2021-08-30,15.089999
2021-08-31,13.99
2021-09-01,13.87
2021-09-02,14.549999
2021-09-03,14.65
2021-09-04,15.66
2021-09-05,16.98
2021-09-06,18.83
2021-09-07,20.02
2021-09-08,19.84
2021-09-09,18.1
2021-09-10,17.42
2021-09-11,16.77
2021-09-12,13.49
2021-09-13,14.309999
2021-09-14,15.299999
2021-09-15,14.44
