time,FRG05
2021-08-14,22.956427
2021-08-15,21.308573
2021-08-16,22.165716
2021-08-17,17.55857
2021-08-18,16.755713
2021-08-19,18.657856
2021-08-20,18.654285
2021-08-21,17.997858
2021-08-22,18.772856
2021-08-23,16.912857
2021-08-24,16.321428
2021-08-25,14.594285
2021-08-26,15.514285
2021-08-27,14.376429
2021-08-28,14.615
2021-08-29,15.713571
2021-08-30,15.424286
2021-08-31,16.45857
2021-09-01,16.336428
2021-09-02,16.652143
2021-09-03,16.219286
2021-09-04,15.341429
2021-09-05,15.355001
2021-09-06,15.28357
2021-09-07,17.404285
2021-09-08,17.41357
2021-09-09,19.354284
2021-09-10,20.1
2021-09-11,19.456427
2021-09-12,18.808569
2021-09-13,17.686428
2021-09-14,16.446428
2021-09-15,18.036428
2021-09-16,19.158571
2021-09-17,15.455713
2021-09-18,13.241427
2021-09-19,11.47857
2021-09-20,11.115714
2021-09-21,10.752856
2021-09-22,12.041429
2021-09-23,14.192142
2021-09-24,15.234285
2021-09-25,17.28143
2021-09-26,17.932856
2021-09-27,16.955713
2021-09-28,15.769999
2021-09-29,13.714286
2021-09-30,12.318572
2021-10-01,10.757143
2021-10-02,14.057143
2021-10-03,15.714999
2021-10-04,15.334999
2021-10-05,17.767141
2021-10-06,14.934285
2021-10-07,12.471427
2021-10-08,10.12
2021-10-09,8.469999
2021-10-10,7.1957135
2021-10-11,6.5514283
2021-10-12,8.787856
2021-10-13,6.963571
2021-10-14,7.765714
2021-10-15,12.09357
2021-10-16,8.452857
2021-10-17,9.269285
2021-10-18,10.220714
2021-10-19,11.617857
2021-10-20,16.225714
2021-10-21,14.567857
2021-10-22,8.719285
2021-10-23,7.235
2021-10-24,5.8028574
2021-10-25,7.001428
2021-10-26,7.931428
2021-10-27,10.549285
2021-10-28,10.614286
2021-10-29,9.517142
2021-10-30,9.708571
2021-10-31,12.845714
2021-11-01,11.124999
2021-11-02,8.986428
2021-11-03,7.5199995
2021-11-04,8.925
2021-11-05,7.914285
2021-11-06,8.343572
2021-11-07,7.2007146
2021-11-08,7.4850006
2021-11-09,6.9557147
2021-11-10,5.875714
2021-11-11,4.2871428
2021-11-12,4.8364286
2021-11-13,5.85
2021-11-14,3.982143
2021-11-15,4.640714
2021-11-16,5.5278573
2021-11-17,4.1464286
2021-11-18,7.1042857
2021-11-19,9.609285
2021-11-20,10.706429
2021-11-21,8.057857
2021-11-22,5.1314282
2021-11-23,2.0942857
2021-11-24,5.8814282
2021-11-25,3.1421428
2021-11-26,2.882857
2021-11-27,1.3064286
2021-11-28,0.50857145
2021-11-29,0.8292857
2021-11-30,2.425
2021-12-01,2.7985713
2021-12-02,3.8435712
2021-12-03,0.19571428
2021-12-04,0.6614286
2021-12-05,0.09714285
2021-12-06,-0.09285714
2021-12-07,-0.8785714
2021-12-08,-1.9671427
2021-12-09,-2.1378572
2021-12-10,-0.79
2021-12-11,-3.0292854
2021-12-12,-1.9821427
2021-12-13,1.0028571
2021-12-14,3.9421427
2021-12-15,5.6171427
2021-12-16,6.7121425
2021-12-17,4.8171425
2021-12-18,3.955
2021-12-19,5.085714
2021-12-20,1.6707144
2021-12-21,-0.61285716
2021-12-22,-2.385
2021-12-23,-3.3207142
2021-12-24,1.2342856
2021-12-25,-5.4671426
2021-12-26,-8.953571
2021-12-27,-7.892143
2021-12-28,-4.0835714
2021-12-29,1.1464285
2021-12-30,5.234285
2021-12-31,10.150001
