time,ITG2H
2021-08-23,17.6125
2021-08-24,16.185
2021-08-25,16.4775
2021-08-26,15.8324995
2021-08-27,14.44
2021-08-28,15.71
2021-08-29,14.659999
2021-08-30,15.695
2021-08-31,14.6825
2021-09-01,15.044999
2021-09-02,15.804999
2021-09-03,15.844999
2021-09-04,15.99
2021-09-05,18.0275
2021-09-06,19.877499
2021-09-07,21.3375
2021-09-08,21.215
2021-09-09,20.227499
2021-09-10,20.05
2021-09-11,18.525
2021-09-12,15.4275
2021-09-13,15.727499
2021-09-14,16.045
2021-09-15,16.689999
2021-09-16,16.342499
2021-09-17,15.725
2021-09-18,17.23
2021-09-19,16.6825
2021-09-20,15.4
2021-09-21,15.15
2021-09-22,15.185
2021-09-23,16.4825
2021-09-24,16.470001
2021-09-25,18.560001
2021-09-26,17.42
2021-09-27,15.6449995
2021-09-28,13.715
2021-09-29,11.374999
2021-09-30,11.655
2021-10-01,13.9075
2021-10-02,10.04
2021-10-03,11.549999
2021-10-04,12.48
2021-10-05,11.3575
2021-10-06,12.6675
2021-10-07,15.452499
2021-10-08,15.414999
2021-10-09,14.8775
2021-10-10,14.3525
2021-10-11,11.442499
2021-10-12,11.932499
2021-10-13,12.6675
2021-10-14,12.885
2021-10-15,11.0425
2021-10-16,10.51
2021-10-17,12.622499
2021-10-18,12.78
2021-10-19,16.7975
2021-10-20,14.795
2021-10-21,8.742499
2021-10-22,9.122499
2021-10-23,10.055
2021-10-24,11.9275
2021-10-25,12.0475
2021-10-26,11.365
2021-10-27,14.9125
2021-10-28,14.125
2021-10-29,12.669999
2021-10-30,10.397499
2021-10-31,9.067499
2021-11-01,10.15
2021-11-02,7.3050003
2021-11-03,6.0699997
2021-11-04,6.9325
2021-11-05,6.2
2021-11-06,10.362499
2021-11-07,10.157499
2021-11-08,7.52
2021-11-09,11.7225
2021-11-10,11.389999
2021-11-11,10.3625
2021-11-12,10.9825
2021-11-13,11.737499
2021-11-14,10.432499
2021-11-15,9.8825
2021-11-16,8.372499
2021-11-17,9.04
2021-11-18,9.895
2021-11-19,11.4175
2021-11-20,9.94
2021-11-21,6.4700003
2021-11-22,5.2675
2021-11-23,4.785
2021-11-24,6.1900005
2021-11-25,3.8549998
2021-11-26,4.9725
2021-11-27,2.855
2021-11-28,0.62249994
2021-11-29,-0.32999998
2021-11-30,7.44
2021-12-01,7.8250003
2021-12-02,2.625
2021-12-03,3.7875
2021-12-04,5.3324995
2021-12-05,4.8374996
2021-12-06,2.7799997
2021-12-07,3.1750002
2021-12-08,5.25
2021-12-09,5.1274996
