time,FRD21
2021-01-01,1.716923
2021-01-02,4.5730767
2021-01-03,5.678461
2021-01-04,5.31923
2021-01-05,4.1984615
2021-01-06,3.2184613
2021-01-07,2.5623076
2021-01-08,1.1530769
2021-01-09,0.24153845
2021-01-10,-1.2076923
2021-01-11,-1.2784615
2021-01-12,-2.5138462
2021-01-13,0.5423077
2021-01-14,-0.9915384
2021-01-15,-0.83153844
2021-01-16,-3.1884613
2021-01-17,-4.335385
2021-01-18,-7.774615
2021-01-19,-1.9353846
2021-01-20,3.213846
2021-01-21,5.026923
2021-01-22,6.6438456
2021-01-23,8.133846
2021-01-24,5.3653846
2021-01-25,2.5461538
2021-01-26,0.5830769
2021-01-27,-0.14307693
2021-01-28,-1.3976922
2021-01-29,1.7361538
2021-01-30,5.0199995
2021-01-31,0.2523077
2021-02-01,-1.5776922
2021-02-02,-0.1630769
2021-02-03,4.7146153
2021-02-04,9.513077
2021-02-05,6.08
2021-02-06,4.941538
2021-02-07,4.143846
2021-02-08,4.8892307
2021-02-09,2.2592309
2021-02-10,2.0815387
2021-02-11,-2.9153845
2021-02-12,-6.9323072
2021-02-13,-7.8107686
2021-02-14,-3.5638463
2021-02-15,-3.433846
2021-02-16,-2.4692307
2021-02-17,2.2569232
2021-02-18,5.273846
2021-02-19,3.176154
2021-02-20,3.4561539
2021-02-21,3.5761538
2021-02-22,7.0384617
2021-02-23,5.6600003
2021-02-24,7.636923
2021-02-25,9.476923
2021-02-26,10.2846155
2021-02-27,7.583846
2021-02-28,4.143846
2021-03-01,4.686154
2021-03-02,5.1084614
2021-03-03,6.883846
2021-03-04,7.8261538
2021-03-05,6.511538
2021-03-06,2.113846
2021-03-07,1.6915385
2021-03-08,1.9261538
2021-03-09,1.1099999
2021-03-10,1.4761539
2021-03-11,1.0430769
2021-03-12,7.7676926
2021-03-13,8.570769
2021-03-14,9.113077
2021-03-15,5.56
2021-03-16,5.297692
2021-03-17,5.224615
2021-03-18,3.7184615
2021-03-19,1.7107692
2021-03-20,0.37846154
2021-03-21,-0.25692308
2021-03-22,2.7746153
2021-03-23,3.9538462
2021-03-24,6.0107694
2021-03-25,5.3076925
2021-03-26,7.831538
2021-03-27,11.065385
2021-03-28,9.194615
2021-03-29,8.957692
2021-03-30,14.063078
2021-03-31,14.700768
2021-04-01,15.266153
2021-04-02,13.561538
2021-04-03,7.477692
2021-04-04,4.9061537
2021-04-05,6.7238464
2021-04-06,4.5538464
2021-04-07,2.1007693
2021-04-08,2.9292307
2021-04-09,5.813846
2021-04-10,10.305385
2021-04-11,10.661539
2021-04-12,14.031539
2021-04-13,6.047692
2021-04-14,4.433846
2021-04-15,4.5369234
2021-04-16,4.2353845
2021-04-17,5.603846
2021-04-18,7.4223075
2021-04-19,8.548461
2021-04-20,10.225384
2021-04-21,10.643846
2021-04-22,11.884615
2021-04-23,8.863846
2021-04-24,8.692307
2021-04-25,9.908462
2021-04-26,7.306923
2021-04-27,7.5069227
2021-04-28,10.161539
2021-04-29,14.985384
2021-04-30,16.846153
2021-05-01,17.413847
2021-05-02,17.697691
2021-05-03,10.691538
2021-05-04,11.196923
2021-05-05,14.986922
2021-05-06,10.81846
2021-05-07,11.606154
2021-05-08,9.594615
2021-05-09,12.596924
2021-05-10,16.943846
2021-05-11,19.52769
2021-05-12,18.327694
2021-05-13,14.466154
2021-05-14,13.773846
2021-05-15,14.200768
2021-05-16,15.147691
2021-05-17,12.7323065
2021-05-18,14.099999
2021-05-19,12.042307
2021-05-20,12.954615
2021-05-21,13.720769
2021-05-22,14.419999
2021-05-23,13.678462
2021-05-24,11.724614
2021-05-25,15.43923
2021-05-26,13.282307
2021-05-27,14.719232
2021-05-28,14.933846
2021-05-29,14.056153
2021-05-30,12.342307
2021-05-31,12.628462
2021-06-01,14.165384
2021-06-02,14.450001
2021-06-03,16.16154
2021-06-04,18.196154
2021-06-05,19.855385
2021-06-06,20.163076
2021-06-07,20.222307
2021-06-08,20.793077
2021-06-09,21.356922
2021-06-10,20.652306
2021-06-11,19.41
2021-06-12,20.776152
2021-06-13,18.404615
2021-06-14,15.923845
2021-06-15,17.851538
2021-06-16,21.217691
2021-06-17,22.503845
2021-06-18,23.470768
2021-06-19,24.092308
2021-06-20,24.548462
2021-06-21,25.294615
2021-06-22,27.166922
2021-06-23,27.114614
2021-06-24,28.477692
2021-06-25,26.542307
2021-06-26,23.169231
2021-06-27,22.916155
2021-06-28,24.140001
2021-06-29,26.44923
2021-06-30,25.822308
2021-07-01,21.930769
2021-07-02,20.200768
2021-07-03,20.853077
2021-07-04,20.843845
2021-07-05,22.31846
2021-07-06,23.806154
2021-07-07,26.023846
2021-07-08,28.393847
2021-07-09,27.605385
2021-07-10,23.407692
2021-07-11,23.246155
2021-07-12,24.19077
2021-07-13,26.667692
2021-07-14,27.58769
2021-07-15,24.68923
2021-07-16,24.502306
2021-07-17,24.929232
2021-07-18,25.108461
2021-07-19,23.01
2021-07-20,21.59154
2021-07-21,20.494616
2021-07-22,20.001537
2021-07-23,20.814615
2021-07-24,22.38692
2021-07-25,24.13923
2021-07-26,25.291538
2021-07-27,25.606153
2021-07-28,27.293846
2021-07-29,25.107695
2021-07-30,25.106922
2021-07-31,24.965384
2021-08-01,24.23231
2021-08-02,21.246153
2021-08-03,21.231539
2021-08-04,21.396152
2021-08-05,20.302307
2021-08-06,19.434614
2021-08-07,21.69846
2021-08-08,23.784616
2021-08-09,23.322308
2021-08-10,24.079998
2021-08-11,23.830769
2021-08-12,22.481539
2021-08-13,23.584614
2021-08-14,25.40846
2021-08-15,26.726925
2021-08-16,26.896921
2021-08-17,20.575382
2021-08-18,17.977694
2021-08-19,18.741539
2021-08-20,20.77077
2021-08-21,20.976154
2021-08-22,22.48
2021-08-23,21.63923
2021-08-24,19.115385
2021-08-25,15.934615
2021-08-26,15.43077
2021-08-27,15.06846
2021-08-28,14.676154
2021-08-29,15.405384
2021-08-30,15.998461
2021-08-31,16.483847
2021-09-01,17.322308
2021-09-02,16.822308
2021-09-03,16.543844
2021-09-04,17.451538
2021-09-05,17.247692
2021-09-06,16.25
2021-09-07,16.15846
2021-09-08,17.399231
2021-09-09,17.849998
2021-09-10,17.583076
2021-09-11,18.346922
2021-09-12,19.823078
2021-09-13,20.234615
2021-09-14,20.436153
2021-09-15,21.539999
2021-09-16,23.140001
2021-09-17,20.150768
2021-09-18,16.056923
2021-09-19,14.758462
2021-09-20,12.000769
2021-09-21,11.99923
2021-09-22,11.761538
2021-09-23,12.5346155
2021-09-24,15.809999
2021-09-25,17.211536
2021-09-26,18.441538
2021-09-27,17.72923
2021-09-28,18.367693
2021-09-29,15.038462
2021-09-30,14.594615
2021-10-01,12.891539
2021-10-02,13.69923
2021-10-03,15.028461
2021-10-04,16.887693
2021-10-05,18.192308
2021-10-06,14.377692
2021-10-07,13.346923
2021-10-08,11.573846
2021-10-09,8.374615
2021-10-10,7.3476925
2021-10-11,9.516923
2021-10-12,9.478461
2021-10-13,7.721538
2021-10-14,7.214615
2021-10-15,8.400768
2021-10-16,9.3476925
2021-10-17,8.188461
2021-10-18,8.6292305
2021-10-19,9.444615
2021-10-20,12.344616
2021-10-21,14.086153
2021-10-22,12.242308
2021-10-23,8.985384
2021-10-24,6.050769
2021-10-25,6.796923
2021-10-26,6.56
2021-10-27,7.2253847
2021-10-28,6.87923
2021-10-29,8.506154
2021-10-30,9.519999
2021-10-31,9.1376915
2021-11-01,8.67
2021-11-02,7.9800005
2021-11-03,8.16
2021-11-04,13.704616
2021-11-05,8.262307
2021-11-06,6.6907687
2021-11-07,7.613077
2021-11-08,7.585384
2021-11-09,6.496154
2021-11-10,5.493077
2021-11-11,4.976923
2021-11-12,3.3153844
2021-11-13,2.5123076
2021-11-14,5.63
2021-11-15,5.7000003
2021-11-16,5.770769
2021-11-17,4.4823074
2021-11-18,6.0030766
2021-11-19,6.9430766
2021-11-20,8.796923
2021-11-21,5.560769
2021-11-22,4.8423076
2021-11-23,3.990769
2021-11-24,1.1192307
2021-11-25,1.3738462
2021-11-26,3.4784613
2021-11-27,2.597692
2021-11-28,5.8723073
2021-11-29,3.146923
2021-11-30,1.5653846
2021-12-01,4.506154
2021-12-02,6.703077
2021-12-03,3.3215382
2021-12-04,-1.5684615
2021-12-05,1.2938461
2021-12-06,2.7707694
2021-12-07,0.74076927
2021-12-08,-0.7415384
2021-12-09,0.39923078
2021-12-10,0.68846154
2021-12-11,1.1269231
2021-12-12,0.26461536
2021-12-13,-0.07307692
2021-12-14,-0.20384616
2021-12-15,1.5423076
2021-12-16,3.0153844
2021-12-17,3.8753843
2021-12-18,2.9446154
2021-12-19,3.316923
2021-12-20,1.9130769
2021-12-21,-1.5015384
2021-12-22,-3.240769
2021-12-23,-4.069231
2021-12-24,2.790769
2021-12-25,3.786154
2021-12-26,-1.2569231
2021-12-27,-2.1992307
2021-12-28,-0.98615384
2021-12-29,1.0607692
2021-12-30,3.0653844
2021-12-31,7.4453845
