time,UKJ46
2021-08-14,18.685715
2021-08-15,18.897142
2021-08-16,20.272856
2021-08-17,18.508572
2021-08-18,19.342855
2021-08-19,19.33
2021-08-20,18.901428
2021-08-21,19.544285
2021-08-22,19.684284
2021-08-23,16.882856
2021-08-24,17.557142
2021-08-25,21.595715
2021-08-26,22.911428
2021-08-27,20.72
2021-08-28,19.397142
2021-08-29,20.178572
2021-08-30,21.942858
2021-08-31,20.97143
2021-09-01,17.70857
2021-09-02,13.305715
2021-09-03,13.385715
2021-09-04,12.934286
2021-09-05,14.274285
2021-09-06,12.884286
2021-09-07,13.632856
2021-09-08,12.169999
2021-09-09,14.201429
2021-09-10,15.999999
2021-09-11,16.074286
2021-09-12,16.779999
2021-09-13,17.691427
2021-09-14,18.338572
2021-09-15,17.351429
2021-09-16,17.177141
2021-09-17,14.171428
2021-09-18,16.502857
2021-09-19,17.197144
2021-09-20,16.880001
2021-09-21,13.918572
2021-09-22,10.244286
2021-09-23,11.118571
2021-09-24,10.482857
2021-09-25,11.322858
2021-09-26,11.3714285
2021-09-27,12.442857
2021-09-28,11.862856
2021-09-29,10.997144
2021-09-30,10.532857
2021-10-01,7.7071424
2021-10-02,9.6214285
2021-10-03,10.318571
2021-10-04,12.761428
2021-10-05,8.557142
2021-10-06,5.2628565
2021-10-07,3.7271426
2021-10-08,5.2200003
2021-10-09,6.262857
2021-10-10,7.0514283
2021-10-11,7.572857
2021-10-12,8.268571
2021-10-13,9.282857
2021-10-14,9.594285
2021-10-15,11.058572
2021-10-16,11.114285
2021-10-17,13.261429
2021-10-18,
2021-10-19,8.807142
2021-10-20,9.137142
2021-10-21,7.642857
2021-10-22,9.21
2021-10-23,9.935714
2021-10-24,9.651428
2021-10-25,8.801428
2021-10-26,9.162857
2021-10-27,7.328571
2021-10-28,10.658571
2021-10-29,12.042857
2021-10-30,14.111428
2021-10-31,12.358571
2021-11-01,15.179999
2021-11-02,13.642858
2021-11-03,11.477143
2021-11-04,7.914285
2021-11-05,10.78
2021-11-06,10.272857
2021-11-07,9.764285
2021-11-08,10.1214285
2021-11-09,8.661428
2021-11-10,6.364285
2021-11-11,7.9928575
2021-11-12,8.022858
2021-11-13,9.954286
2021-11-14,6.0614285
2021-11-15,6.5085716
2021-11-16,7.0999994
2021-11-17,4.2842855
2021-11-18,1.1285714
2021-11-19,1.5314285
2021-11-20,7.178571
2021-11-21,7.79
2021-11-22,6.4714284
2021-11-23,2.575714
2021-11-24,3.9942858
2021-11-25,6.134286
2021-11-26,2.1871428
2021-11-27,2.1
2021-11-28,2.3957143
2021-11-29,5.6171427
2021-11-30,5.3085713
2021-12-01,3.6285717
2021-12-02,-2.4714284
2021-12-03,-0.61857134
2021-12-04,6.758571
2021-12-05,7.442857
2021-12-06,7.6814284
2021-12-07,7.975714
2021-12-08,13.105714
2021-12-09,8.215714
2021-12-10,9.481429
2021-12-11,4.65
2021-12-12,5.031429
2021-12-13,6.7257147
2021-12-14,4.2242856
2021-12-15,2.3785717
2021-12-16,3.7614286
2021-12-17,-1.3242857
2021-12-18,-0.1557143
2021-12-19,3.5514286
2021-12-20,0.7499999
2021-12-21,-1.1328571
2021-12-22,-3.8428571
2021-12-23,-4.662857
2021-12-24,-3.4271429
2021-12-25,-6.2871428
2021-12-26,0.020000014
2021-12-27,5.4857144
2021-12-28,6.1385713
2021-12-29,3.3899999
2021-12-30,1.2414286
2021-12-31,1.8285713
