time,NO082
2021-01-01,-1.566
2021-01-02,-0.65599996
2021-01-03,0.29066664
2021-01-04,0.22066665
2021-01-05,0.9093332
2021-01-06,1.2773334
2021-01-07,0.08333333
2021-01-08,0.14666668
2021-01-09,-0.5653333
2021-01-10,-1.0373333
2021-01-11,-0.71999997
2021-01-12,-0.6513332
2021-01-13,-0.7733334
2021-01-14,-1.8906667
2021-01-15,-5.2113333
2021-01-16,-5.927333
2021-01-17,-12.956666
2021-01-18,-12.181334
2021-01-19,-8.794001
2021-01-20,-1.6593333
2021-01-21,3.4753332
2021-01-22,4.677333
2021-01-23,2.2473333
2021-01-24,2.4693332
2021-01-25,0.36799997
2021-01-26,0.44266665
2021-01-27,-0.19999997
2021-01-28,-0.39333332
2021-01-29,-1.0306666
2021-01-30,-1.6246666
2021-01-31,-2.828
2021-02-01,-4.4446664
2021-02-02,-2.2453334
2021-02-03,0.4753333
2021-02-04,-2.534
2021-02-05,-5.3659997
2021-02-06,-8.274667
2021-02-07,-12.574
2021-02-08,-11.207999
2021-02-09,-7.6986666
2021-02-10,-10.492666
2021-02-11,-10.584
2021-02-12,-9.263333
2021-02-13,-5.6666665
2021-02-14,-0.9393333
2021-02-15,-2.4066665
2021-02-16,-4.4046664
2021-02-17,-2.0573335
2021-02-18,-6.0433326
2021-02-19,-4.3466663
2021-02-20,1.266
2021-02-21,3.4286664
2021-02-22,3.015333
2021-02-23,3.297333
2021-02-24,7.9326663
2021-02-25,8.689333
2021-02-26,6.815333
2021-02-27,4.5299997
2021-02-28,2.3173332
2021-03-01,3.0893333
2021-03-02,3.1586664
2021-03-03,2.0866666
2021-03-04,1.3419999
2021-03-05,-0.8073333
2021-03-06,-0.44266668
2021-03-07,0.904
2021-03-08,-0.834
2021-03-09,-2.2326665
2021-03-10,-0.8206666
2021-03-11,-1.114
2021-03-12,4.1846666
2021-03-13,4.539334
2021-03-14,3.9206667
2021-03-15,2.776
2021-03-16,2.7713332
2021-03-17,1.9693333
2021-03-18,0.482
2021-03-19,-1.4266666
2021-03-20,-3.2086666
2021-03-21,1.1826667
2021-03-22,2.1246667
2021-03-23,4.8106666
2021-03-24,3.399333
2021-03-25,6.8806663
2021-03-26,7.082666
2021-03-27,9.62
2021-03-28,5.098666
2021-03-29,6.913333
2021-03-30,11.374666
2021-03-31,12.508666
2021-04-01,9.834
2021-04-02,4.998667
2021-04-03,3.8320003
2021-04-04,3.8466666
2021-04-05,4.2400002
2021-04-06,2.471333
2021-04-07,2.2739997
2021-04-08,3.868667
2021-04-09,5.713333
2021-04-10,6.5526667
2021-04-11,10.734667
2021-04-12,10.069332
2021-04-13,5.362
2021-04-14,4.0573335
2021-04-15,3.971333
2021-04-16,5.500666
2021-04-17,8.431334
2021-04-18,9.820666
2021-04-19,10.376667
2021-04-20,10.214
2021-04-21,9.565332
2021-04-22,7.034666
2021-04-23,4.9159994
2021-04-24,4.8180003
2021-04-25,2.88
2021-04-26,2.688
2021-04-27,3.6886663
2021-04-28,6.237334
2021-04-29,10.310667
2021-04-30,8.986667
2021-05-01,6.131333
2021-05-02,5.781334
2021-05-03,5.0886664
2021-05-04,7.8300004
2021-05-05,11.929333
2021-05-06,8.658
2021-05-07,6.5073333
2021-05-08,6.724
2021-05-09,10.131999
2021-05-10,16.998
2021-05-11,19.719334
2021-05-12,19.916002
2021-05-13,16.004667
2021-05-14,13.198
2021-05-15,12.411334
2021-05-16,13.559999
2021-05-17,13.553999
2021-05-18,13.833999
2021-05-19,12.464
2021-05-20,11.3220005
2021-05-21,12.243333
2021-05-22,12.73
2021-05-23,12.010667
2021-05-24,12.009999
2021-05-25,14.415998
2021-05-26,12.2786665
2021-05-27,12.646667
2021-05-28,11.237333
2021-05-29,10.5546665
2021-05-30,12.509999
2021-05-31,12.534667
2021-06-01,13.7039995
2021-06-02,16.107332
2021-06-03,16.344
2021-06-04,16.608665
2021-06-05,17.869999
2021-06-06,16.978666
2021-06-07,17.146
2021-06-08,18.467999
2021-06-09,18.411333
2021-06-10,17.630667
2021-06-11,18.062
2021-06-12,17.141998
2021-06-13,15.386001
2021-06-14,15.766
2021-06-15,17.574001
2021-06-16,16.288666
2021-06-17,18.939999
2021-06-18,21.981998
2021-06-19,24.886665
2021-06-20,25.950665
2021-06-21,26.583334
2021-06-22,25.047333
2021-06-23,21.043331
2021-06-24,20.622663
2021-06-25,20.451332
2021-06-26,18.978666
2021-06-27,18.485332
2021-06-28,19.692665
2021-06-29,20.788666
2021-06-30,21.775331
2021-07-01,20.715332
2021-07-02,19.900665
2021-07-03,20.147999
2021-07-04,21.493334
2021-07-05,21.811335
2021-07-06,22.107334
2021-07-07,23.446667
2021-07-08,22.161333
2021-07-09,22.876665
2021-07-10,20.124
2021-07-11,19.739998
2021-07-12,22.842
2021-07-13,22.686668
2021-07-14,24.364662
2021-07-15,23.943333
2021-07-16,23.879333
2021-07-17,23.495998
2021-07-18,22.803333
2021-07-19,18.928
2021-07-20,18.401333
2021-07-21,18.735998
2021-07-22,18.653332
2021-07-23,18.930666
2021-07-24,19.662666
2021-07-25,21.443333
2021-07-26,22.893333
2021-07-27,23.723999
2021-07-28,22.390663
2021-07-29,21.780666
2021-07-30,19.689333
2021-07-31,20.241335
2021-08-01,18.708668
2021-08-02,18.246
2021-08-03,17.245998
2021-08-04,16.853334
