time,ITF43
2021-01-01,1.2499999
2021-01-02,3.25
2021-01-03,3.32
2021-01-04,4.0866666
2021-01-05,2.8366668
2021-01-06,3.8466666
2021-01-07,1.28
2021-01-08,1.2166666
2021-01-09,0.87999994
2021-01-10,0.21333332
2021-01-11,5.09
2021-01-12,7.9666657
2021-01-13,5.953333
2021-01-14,7.41
2021-01-15,2.8400002
2021-01-16,3.2633333
2021-01-17,6.1299996
2021-01-18,4.9166665
2021-01-19,8.076667
2021-01-20,8.966666
2021-01-21,6.3266664
2021-01-22,4.41
2021-01-23,2.3866665
2021-01-24,0.53333324
2021-01-25,2.793333
2021-01-26,2.6666667
2021-01-27,6.396666
2021-01-28,9.516666
2021-01-29,9.549999
2021-01-30,6.83
2021-01-31,2.4999998
2021-02-01,4.1200004
2021-02-02,8.193334
2021-02-03,9.263332
2021-02-04,6.6800003
2021-02-05,8.559999
2021-02-06,6.06
2021-02-07,2.59
2021-02-08,-1.4566666
2021-02-09,-1.2733333
2021-02-10,-0.27333334
2021-02-11,-2.4833333
2021-02-12,-0.65
2021-02-13,-2.1866667
2021-02-14,1.3133334
2021-02-15,6.7066665
2021-02-16,8.87
2021-02-17,9.150001
2021-02-18,9.093333
2021-02-19,7.0966663
2021-02-20,11.88
2021-02-21,12.049999
2021-02-22,10.169999
2021-02-23,10.04
2021-02-24,13.69
2021-02-25,10.623333
2021-02-26,6.853333
2021-02-27,5.7833333
2021-02-28,6.4266663
2021-03-01,6.47
2021-03-02,6.4533334
2021-03-03,6.64
2021-03-04,6.463333
2021-03-05,4.613333
2021-03-06,3.2666667
2021-03-07,3.253333
2021-03-08,3.5
2021-03-09,6.5966663
2021-03-10,6.066667
2021-03-11,9.46
2021-03-12,7.3566666
2021-03-13,7.8766665
2021-03-14,6.713333
2021-03-15,9.433333
2021-03-16,8.676667
2021-03-17,7.7166657
2021-03-18,6.646667
2021-03-19,7.6066666
2021-03-20,6.1733327
2021-03-21,8.166666
2021-03-22,6.5333333
2021-03-23,6.653333
2021-03-24,8.116667
2021-03-25,8.033333
2021-03-26,9.84
2021-03-27,7.3666663
2021-03-28,9.726666
2021-03-29,12.146667
2021-03-30,13.243333
2021-03-31,14.506667
2021-04-01,11.580001
2021-04-02,8.133332
2021-04-03,6.9066663
2021-04-04,7.2766666
2021-04-05,6.27
2021-04-06,3.67
2021-04-07,2.86
2021-04-08,6.523333
2021-04-09,7.6933327
2021-04-10,6.693333
2021-04-11,5.536667
2021-04-12,4.273333
2021-04-13,5.0499997
2021-04-14,5.9966664
2021-04-15,5.2033334
2021-04-16,5.366667
2021-04-17,6.513333
2021-04-18,6.4933333
2021-04-19,7.5766664
2021-04-20,9.336666
2021-04-21,8.95
2021-04-22,7.7899995
2021-04-23,9.303333
2021-04-24,9.873333
2021-04-25,8.496667
2021-04-26,7.6633334
2021-04-27,7.6666665
2021-04-28,8.849999
2021-04-29,7.7299995
2021-04-30,7.4266663
2021-05-01,7.236666
2021-05-02,7.386667
2021-05-03,8.716667
2021-05-04,10.876666
2021-05-05,8.13
2021-05-06,6.9466667
2021-05-07,8.253334
2021-05-08,12.206666
2021-05-09,15.476666
2021-05-10,13.683333
2021-05-11,11.740001
2021-05-12,12.096667
2021-05-13,11.903333
2021-05-14,10.406666
2021-05-15,11.026666
2021-05-16,11.303333
2021-05-17,12.586666
2021-05-18,11.48
2021-05-19,12.063333
2021-05-20,10.446666
2021-05-21,11.756665
2021-05-22,11.59
2021-05-23,9.69
2021-05-24,10.899999
2021-05-25,10.926666
2021-05-26,11.009999
2021-05-27,12.396667
2021-05-28,13.429999
2021-05-29,15.323334
2021-05-30,14.143333
2021-05-31,15.816667
2021-06-01,17.816668
2021-06-02,19.316666
2021-06-03,17.843332
2021-06-04,14.400001
2021-06-05,14.9800005
2021-06-06,15.563333
2021-06-07,15.709999
2021-06-08,16.0
2021-06-09,16.756666
2021-06-10,17.64
2021-06-11,17.883333
2021-06-12,17.583334
2021-06-13,18.42
2021-06-14,20.026667
2021-06-15,18.516668
2021-06-16,20.483332
2021-06-17,19.74
2021-06-18,16.843332
2021-06-19,14.6033325
2021-06-20,15.793334
2021-06-21,13.839999
2021-06-22,14.266666
2021-06-23,13.683333
2021-06-24,14.400001
2021-06-25,16.71
2021-06-26,16.326666
2021-06-27,17.88
2021-06-28,17.156666
2021-06-29,16.25
2021-06-30,14.903333
2021-07-01,15.54
2021-07-02,17.73
2021-07-03,18.323334
2021-07-04,17.536667
2021-07-05,16.566666
2021-07-06,16.406668
2021-07-07,16.213333
2021-07-08,16.943335
2021-07-09,17.306665
2021-07-10,15.876667
2021-07-11,16.063334
2021-07-12,17.416666
2021-07-13,18.08
2021-07-14,18.413332
2021-07-15,17.943333
2021-07-16,17.496666
2021-07-17,19.216667
2021-07-18,21.06
2021-07-19,21.886667
2021-07-20,21.976667
2021-07-21,21.846666
2021-07-22,21.233334
2021-07-23,19.526667
2021-07-24,19.496666
2021-07-25,18.563332
2021-07-26,19.003332
2021-07-27,18.166666
2021-07-28,18.479998
2021-07-29,16.863333
2021-07-30,16.706665
2021-07-31,17.006666
2021-08-01,16.563334
2021-08-02,16.163332
2021-08-03,16.050001
2021-08-04,16.313332
2021-08-05,16.980001
2021-08-06,18.016666
2021-08-07,16.57
2021-08-08,16.656664
2021-08-09,16.803331
2021-08-10,17.486666
2021-08-11,16.933332
2021-08-12,18.529999
2021-08-13,17.28
2021-08-14,18.846666
2021-08-15,18.339998
2021-08-16,16.293333
2021-08-17,14.94
2021-08-18,17.823334
2021-08-19,16.686666
2021-08-20,17.74
2021-08-21,18.17
2021-08-22,17.923332
2021-08-23,17.69
2021-08-24,17.763332
2021-08-25,17.24
2021-08-26,16.4
2021-08-27,15.999999
2021-08-28,16.13
2021-08-29,15.486667
2021-08-30,16.089998
2021-08-31,17.046667
2021-09-01,16.666666
2021-09-02,17.443333
2021-09-03,17.75
2021-09-04,17.54
2021-09-05,19.609999
2021-09-06,20.369999
2021-09-07,21.916666
2021-09-08,21.936666
2021-09-09,20.31
2021-09-10,19.763334
2021-09-11,18.336666
2021-09-12,16.136667
2021-09-13,16.796667
2021-09-14,18.703333
2021-09-15,17.62
2021-09-16,16.713333
2021-09-17,16.94
2021-09-18,18.453333
2021-09-19,17.24
2021-09-20,16.346666
2021-09-21,15.149999
2021-09-22,15.19
2021-09-23,15.426666
2021-09-24,17.356667
2021-09-25,16.609999
2021-09-26,17.583334
2021-09-27,16.49
2021-09-28,14.606667
2021-09-29,12.826667
2021-09-30,11.716667
2021-10-01,15.506667
2021-10-02,12.083333
2021-10-03,13.94
2021-10-04,13.739999
2021-10-05,13.3533325
2021-10-06,13.5
2021-10-07,13.73
2021-10-08,15.363334
2021-10-09,13.213333
2021-10-10,13.489999
2021-10-11,12.216667
2021-10-12,11.646667
2021-10-13,12.3
2021-10-14,13.05
2021-10-15,12.349999
2021-10-16,12.186666
2021-10-17,12.783333
2021-10-18,13.169999
2021-10-19,18.183332
2021-10-20,16.673332
2021-10-21,10.779999
2021-10-22,9.400001
2021-10-23,11.453334
2021-10-24,11.753333
2021-10-25,13.523334
2021-10-26,12.339999
2021-10-27,14.826667
2021-10-28,13.676666
2021-10-29,13.636666
2021-10-30,12.32
2021-10-31,11.23
2021-11-01,11.116666
2021-11-02,8.573333
2021-11-03,6.976667
2021-11-04,8.286666
2021-11-05,7.5033326
2021-11-06,9.43
2021-11-07,10.996666
2021-11-08,8.086667
2021-11-09,11.88
2021-11-10,11.063333
2021-11-11,11.633332
2021-11-12,10.816667
2021-11-13,11.866666
2021-11-14,11.91
2021-11-15,10.196667
2021-11-16,8.32
2021-11-17,9.829999
2021-11-18,9.073333
2021-11-19,11.13
2021-11-20,9.99
2021-11-21,8.086667
2021-11-22,7.2099996
2021-11-23,6.3333335
2021-11-24,5.6999993
2021-11-25,5.896666
2021-11-26,6.1266665
2021-11-27,4.33
2021-11-28,3.2666664
2021-11-29,2.1633334
2021-11-30,7.5366664
2021-12-01,9.773333
2021-12-02,4.2
2021-12-03,4.85
2021-12-04,6.6699996
2021-12-05,5.7066665
2021-12-06,5.3166666
2021-12-07,4.89
2021-12-08,6.72
2021-12-09,6.5399995
2021-12-10,6.4466667
2021-12-11,5.473333
2021-12-12,10.7266655
2021-12-13,10.586666
2021-12-14,9.993333
2021-12-15,10.536667
2021-12-16,10.053333
2021-12-17,8.8
2021-12-18,8.089999
2021-12-19,5.83
2021-12-20,6.1166663
2021-12-21,4.23
2021-12-22,1.01
2021-12-23,5.5933337
2021-12-24,8.866667
2021-12-25,8.356667
2021-12-26,8.183333
2021-12-27,9.099999
2021-12-28,10.53
2021-12-29,11.136666
2021-12-30,13.036667
2021-12-31,13.023334
