time,DE111
2021-08-16,16.234285
2021-08-17,14.82
2021-08-18,15.198571
2021-08-19,15.278571
2021-08-20,18.67
2021-08-21,19.754286
2021-08-22,18.339998
2021-08-23,17.062857
2021-08-24,15.554285
2021-08-25,16.721428
2021-08-26,18.497143
2021-08-27,17.647142
2021-08-28,16.202856
2021-08-29,14.591429
2021-08-30,15.158571
2021-08-31,15.82
2021-09-01,15.008573
2021-09-02,15.834285
2021-09-03,16.421429
2021-09-04,18.017141
2021-09-05,19.134287
2021-09-06,21.291428
2021-09-07,21.068571
2021-09-08,19.381428
2021-09-09,16.15714
2021-09-10,15.47857
2021-09-11,16.642857
2021-09-12,17.512857
2021-09-13,19.08
2021-09-14,18.331427
2021-09-15,17.145716
2021-09-16,14.82
2021-09-17,15.415713
2021-09-18,13.21
2021-09-19,11.190001
2021-09-20,11.081428
2021-09-21,9.362856
2021-09-22,11.96
2021-09-23,13.9185705
2021-09-24,14.582856
2021-09-25,16.45857
2021-09-26,15.29
2021-09-27,15.432857
2021-09-28,13.421428
2021-09-29,13.021429
2021-09-30,11.507143
2021-10-01,12.648572
2021-10-02,14.592857
2021-10-03,13.5742855
2021-10-04,8.857142
2021-10-05,10.142858
2021-10-06,10.262857
2021-10-07,9.664285
2021-10-08,9.607142
2021-10-09,9.427142
2021-10-10,11.322856
2021-10-11,10.137143
2021-10-12,9.400001
2021-10-13,8.552856
2021-10-14,9.362857
2021-10-15,10.282857
2021-10-16,11.357142
2021-10-17,10.905714
2021-10-18,12.637143
2021-10-19,14.597142
2021-10-20,14.978572
2021-10-21,11.725715
2021-10-22,8.181429
2021-10-23,8.198571
2021-10-24,8.781428
2021-10-25,8.988571
2021-10-26,9.064285
2021-10-27,9.174286
2021-10-28,9.187142
2021-10-29,8.75
2021-10-30,11.448571
2021-10-31,12.024285
2021-11-01,8.491428
2021-11-02,8.08
2021-11-03,4.602857
2021-11-04,3.1200001
2021-11-05,2.5142856
2021-11-06,1.8042858
2021-11-07,3.8957143
2021-11-08,6.7271433
2021-11-09,4.234286
2021-11-10,3.542857
2021-11-11,5.9028573
2021-11-12,7.005714
2021-11-13,7.048571
2021-11-14,6.3414283
2021-11-15,5.017143
2021-11-16,4.2542853
2021-11-17,3.2385712
2021-11-18,4.272857
2021-11-19,5.4085717
2021-11-20,6.0328565
2021-11-21,6.3314285
2021-11-22,3.5228572
2021-11-23,2.172857
2021-11-24,1.7771428
2021-11-25,2.8957143
2021-11-26,1.1357143
2021-11-27,0.2585712
2021-11-28,-1.572857
2021-11-29,0.26000008
2021-11-30,2.352857
2021-12-01,3.2142856
2021-12-02,1.1099999
2021-12-03,1.6899999
2021-12-04,4.6585717
2021-12-05,0.26714298
2021-12-06,2.2457142
2021-12-07,4.302857
2021-12-08,1.6471426
2021-12-09,0.50285727
2021-12-10,4.6042857
2021-12-11,3.9442859
2021-12-12,4.628571
2021-12-13,6.3828573
2021-12-14,7.2357144
2021-12-15,5.358571
2021-12-16,5.572857
2021-12-17,5.181428
2021-12-18,4.4585714
2021-12-19,4.1885715
2021-12-20,3.947143
2021-12-21,5.585714
2021-12-22,6.7914286
2021-12-23,5.997143
2021-12-24,7.288571
2021-12-25,6.5314283
2021-12-26,5.3299994
2021-12-27,7.4928565
2021-12-28,8.5128565
2021-12-29,10.08
2021-12-30,10.161428
2021-12-31,11.129999
