time,DEA1D
2021-08-12,17.94
2021-08-13,20.082857
2021-08-14,21.929998
2021-08-15,22.795713
2021-08-16,21.825714
2021-08-17,14.101428
2021-08-18,13.877142
2021-08-19,15.605714
2021-08-20,17.39
2021-08-21,17.085712
2021-08-22,18.535715
2021-08-23,16.691427
2021-08-24,14.865715
2021-08-25,11.657142
2021-08-26,10.614285
2021-08-27,12.2628565
2021-08-28,11.885714
2021-08-29,12.811429
2021-08-30,12.434285
2021-08-31,13.12
2021-09-01,13.55
2021-09-02,13.11
2021-09-03,14.13143
2021-09-04,14.798571
2021-09-05,13.585713
2021-09-06,12.252858
2021-09-07,13.37
2021-09-08,14.414285
2021-09-09,15.089999
2021-09-10,14.184286
2021-09-11,15.345714
2021-09-12,16.337143
2021-09-13,16.475714
2021-09-14,16.417143
2021-09-15,18.131428
2021-09-16,19.09143
2021-09-17,14.949999
2021-09-18,12.221429
2021-09-19,9.742857
2021-09-20,8.941428
2021-09-21,8.764286
2021-09-22,9.151428
2021-09-23,11.6214285
2021-09-24,13.532857
2021-09-25,14.43857
2021-09-26,15.0742855
2021-09-27,15.565713
2021-09-28,14.530001
2021-09-29,12.964285
2021-09-30,10.452857
2021-10-01,9.895714
2021-10-02,13.201429
2021-10-03,14.62
2021-10-04,15.248572
2021-10-05,17.750002
2021-10-06,11.115714
2021-10-07,10.995714
2021-10-08,8.111428
2021-10-09,5.7014284
2021-10-10,5.4814286
2021-10-11,7.011429
2021-10-12,6.5800004
2021-10-13,5.2028575
2021-10-14,5.9271426
2021-10-15,7.4957137
2021-10-16,6.141429
2021-10-17,4.915714
2021-10-18,6.3614283
2021-10-19,8.3
2021-10-20,11.952857
2021-10-21,11.327143
2021-10-22,7.7828574
2021-10-23,4.975714
2021-10-24,3.8200002
2021-10-25,6.8685713
2021-10-26,5.318572
2021-10-27,5.7257147
2021-10-28,7.0642853
2021-10-29,10.254286
2021-10-30,11.104285
2021-10-31,10.455714
2021-11-01,9.089999
2021-11-02,6.8342857
2021-11-03,7.2971425
2021-11-04,9.429999
2021-11-05,4.6914287
2021-11-06,2.5542855
2021-11-07,5.5399995
2021-11-08,5.7957144
2021-11-09,3.862857
2021-11-10,6.0699997
2021-11-11,5.448571
2021-11-12,2.7899997
2021-11-13,2.2942855
2021-11-14,4.402857
2021-11-15,4.44
2021-11-16,3.827143
2021-11-17,3.6542854
2021-11-18,5.2085714
2021-11-19,6.577143
2021-11-20,8.107142
2021-11-21,5.705714
2021-11-22,4.9342856
2021-11-23,0.69285715
2021-11-24,0.33999997
2021-11-25,1.5028571
2021-11-26,1.8028572
2021-11-27,0.43857142
2021-11-28,1.9014286
2021-11-29,0.5585714
2021-11-30,0.48428568
2021-12-01,2.5214283
2021-12-02,3.3514285
2021-12-03,-1.4099998
2021-12-04,-2.077143
2021-12-05,-0.5557143
2021-12-06,-0.5185714
2021-12-07,-1.5771427
2021-12-08,-3.0142858
2021-12-09,-0.55857146
2021-12-10,-1.0185715
2021-12-11,-0.7914286
2021-12-12,-2.9385715
2021-12-13,-1.0314286
2021-12-14,0.13428572
2021-12-15,1.2757142
2021-12-16,2.5714285
2021-12-17,2.7685716
2021-12-18,1.9557142
2021-12-19,3.442857
2021-12-20,-0.1585714
2021-12-21,-3.1885715
2021-12-22,-5.865714
2021-12-23,-5.15
2021-12-24,1.4485713
2021-12-25,-1.5585715
2021-12-26,-3.957143
2021-12-27,-1.72
2021-12-28,0.0128571475
2021-12-29,0.77
2021-12-30,1.4985714
2021-12-31,6.3828573
