time,NO0A2
2021-08-12,18.21857
2021-08-13,19.309998
2021-08-14,20.161428
2021-08-15,18.994284
2021-08-16,19.795715
2021-08-17,15.611428
2021-08-18,15.678572
2021-08-19,17.074286
2021-08-20,17.019999
2021-08-21,16.28143
2021-08-22,14.969999
2021-08-23,16.132856
2021-08-24,15.048572
2021-08-25,13.041428
2021-08-26,14.125714
2021-08-27,13.802856
2021-08-28,14.219999
2021-08-29,15.089998
2021-08-30,15.975715
2021-08-31,15.870001
2021-09-01,15.3785715
2021-09-02,14.69
2021-09-03,14.71
2021-09-04,12.235713
2021-09-05,11.587143
2021-09-06,13.905714
2021-09-07,15.725715
2021-09-08,16.211428
2021-09-09,17.825714
2021-09-10,18.551428
2021-09-11,18.511429
2021-09-12,17.774286
2021-09-13,16.428572
2021-09-14,15.225714
2021-09-15,15.954286
2021-09-16,16.16
2021-09-17,15.561429
2021-09-18,12.558571
2021-09-19,11.018572
2021-09-20,10.857142
2021-09-21,10.031428
2021-09-22,9.918571
2021-09-23,12.708571
2021-09-24,12.941428
2021-09-25,15.255714
2021-09-26,13.327143
2021-09-27,14.522857
2021-09-28,13.315713
2021-09-29,13.024285
2021-09-30,12.2371435
2021-10-01,10.985715
2021-10-02,11.818571
2021-10-03,14.514285
2021-10-04,14.245714
2021-10-05,14.857142
2021-10-06,14.701428
2021-10-07,11.972857
2021-10-08,9.595714
2021-10-09,7.5371428
2021-10-10,7.5699997
2021-10-11,7.899999
2021-10-12,8.141428
2021-10-13,7.3514285
2021-10-14,6.932857
2021-10-15,10.785714
2021-10-16,8.845715
2021-10-17,8.738571
2021-10-18,7.375714
2021-10-19,9.198571
2021-10-20,14.309999
2021-10-21,12.449999
2021-10-22,7.3414283
2021-10-23,6.945714
2021-10-24,5.951428
2021-10-25,6.7928576
2021-10-26,7.6528573
2021-10-27,10.0
2021-10-28,11.9657135
2021-10-29,9.014285
2021-10-30,9.391428
2021-10-31,10.777143
2021-11-01,9.981428
2021-11-02,7.8785715
2021-11-03,7.8342853
2021-11-04,6.1242857
2021-11-05,7.9399996
2021-11-06,8.594285
2021-11-07,8.0128565
2021-11-08,6.597142
2021-11-09,3.8485713
2021-11-10,7.007142
2021-11-11,6.542857
2021-11-12,6.701428
2021-11-13,5.227143
2021-11-14,6.588571
2021-11-15,5.4785714
2021-11-16,5.0414286
2021-11-17,4.2542853
2021-11-18,6.291428
2021-11-19,9.650001
2021-11-20,10.168571
2021-11-21,7.325714
2021-11-22,3.6085715
2021-11-23,3.4785712
2021-11-24,5.4814277
2021-11-25,5.128571
2021-11-26,3.9157143
2021-11-27,1.6285714
2021-11-28,1.4242857
2021-11-29,2.0185714
2021-11-30,0.6614286
2021-12-01,0.21714285
2021-12-02,3.6571426
2021-12-03,0.031428568
2021-12-04,0.5728571
2021-12-05,0.67285717
2021-12-06,-0.66714287
2021-12-07,-3.8771427
2021-12-08,-5.2028575
2021-12-09,-3.8285713
2021-12-10,-0.5857143
2021-12-11,-1.6814283
2021-12-12,-2.5957143
2021-12-13,0.12857142
2021-12-14,3.3242857
2021-12-15,4.8314285
2021-12-16,6.1442857
2021-12-17,4.825714
2021-12-18,3.7885711
2021-12-19,3.8542857
2021-12-20,0.6857143
2021-12-21,-1.6757143
2021-12-22,-2.3057141
2021-12-23,-1.8785715
2021-12-24,-1.0
2021-12-25,-3.7900002
2021-12-26,-3.1742857
2021-12-27,-5.657143
2021-12-28,-5.3942847
2021-12-29,-1.8785714
2021-12-30,1.7842857
2021-12-31,6.797143
