time,DEA2D
2021-01-01,8.889999
2021-01-02,9.54
2021-01-03,7.91
2021-01-04,3.21
2021-01-05,0.57
2021-01-06,4.7999997
2021-01-07,7.71
2021-01-08,11.559999
2021-01-09,11.46
2021-01-10,8.32
2021-01-11,7.52
2021-01-12,6.3999996
2021-01-13,6.15
2021-01-14,1.93
2021-01-15,4.08
2021-01-16,1.73
2021-01-17,-0.22
2021-01-18,3.1599998
2021-01-19,4.52
2021-01-20,6.25
2021-01-21,14.059999
2021-01-22,13.389999
2021-01-23,7.43
2021-01-24,9.75
2021-01-25,9.2699995
2021-01-26,5.0099998
2021-01-27,3.28
2021-01-28,7.54
2021-01-29,8.86
2021-01-30,7.7
2021-01-31,4.99
2021-02-01,8.92
2021-02-02,14.48
2021-02-03,19.439999
2021-02-04,15.139999
2021-02-05,16.22
2021-02-06,13.29
2021-02-07,
2021-02-08,3.24
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,5.5099998
2021-02-13,3.21
2021-02-14,-3.6
2021-02-15,-1.9
2021-02-16,0.81
2021-02-17,7.3399997
2021-02-18,7.1299996
2021-02-19,7.6099997
2021-02-20,9.139999
2021-02-21,11.11
2021-02-22,11.61
2021-02-23,8.91
2021-02-24,12.07
2021-02-25,11.24
2021-02-26,11.28
2021-02-27,6.7999997
2021-02-28,
2021-03-01,4.3199997
2021-03-02,6.7799997
2021-03-03,
2021-03-04,7.14
2021-03-05,1.5699999
2021-03-06,2.1
2021-03-07,4.23
2021-03-08,7.3599997
2021-03-09,5.7799997
2021-03-10,7.43
2021-03-11,7.37
2021-03-12,7.31
2021-03-13,11.13
2021-03-14,6.3999996
2021-03-15,6.31
2021-03-16,4.71
2021-03-17,2.81
2021-03-18,
2021-03-19,
2021-03-20,1.9599999
2021-03-21,6.46
2021-03-22,3.3
2021-03-23,0.69
2021-03-24,3.59
2021-03-25,
2021-03-26,
2021-03-27,7.1
2021-03-28,7.99
2021-03-29,8.059999
2021-03-30,7.8799996
2021-03-31,10.8
2021-04-01,
2021-04-02,6.85
2021-04-03,11.17
2021-04-04,9.12
2021-04-05,7.7
2021-04-06,
2021-04-07,5.99
2021-04-08,3.53
2021-04-09,6.23
2021-04-10,4.77
2021-04-11,10.63
2021-04-12,8.34
2021-04-13,7.24
2021-04-14,5.65
2021-04-15,7.58
2021-04-16,8.59
2021-04-17,6.52
2021-04-18,7.8199997
2021-04-19,4.8199997
2021-04-20,5.3199997
2021-04-21,10.78
2021-04-22,6.1099997
2021-04-23,8.2
2021-04-24,9.36
2021-04-25,8.49
2021-04-26,11.25
2021-04-27,14.21
2021-04-28,13.7
2021-04-29,16.58
2021-04-30,16.289999
2021-05-01,15.41
2021-05-02,12.5
2021-05-03,10.099999
2021-05-04,12.5
2021-05-05,9.5
2021-05-06,13.29
2021-05-07,12.67
2021-05-08,12.46
2021-05-09,16.449999
2021-05-10,14.639999
2021-05-11,14.4
2021-05-12,13.219999
2021-05-13,11.11
2021-05-14,10.4
2021-05-15,10.5199995
2021-05-16,12.98
2021-05-17,14.99
2021-05-18,12.349999
2021-05-19,12.139999
2021-05-20,11.759999
2021-05-21,11.53
2021-05-22,11.96
2021-05-23,15.91
2021-05-24,21.55
2021-05-25,16.48
2021-05-26,16.279999
2021-05-27,13.16
2021-05-28,10.929999
2021-05-29,11.65
2021-05-30,10.7699995
2021-05-31,11.9
2021-06-01,11.82
2021-06-02,16.23
2021-06-03,16.68
2021-06-04,17.02
2021-06-05,15.73
2021-06-06,17.619999
2021-06-07,14.48
2021-06-08,15.139999
2021-06-09,14.679999
2021-06-10,15.17
2021-06-11,16.94
2021-06-12,17.48
2021-06-13,13.69
2021-06-14,18.5
2021-06-15,20.65
2021-06-16,18.16
2021-06-17,17.83
2021-06-18,19.26
2021-06-19,20.25
2021-06-20,21.02
2021-06-21,22.67
2021-06-22,21.39
2021-06-23,22.23
2021-06-24,21.96
2021-06-25,20.279999
2021-06-26,21.41
2021-06-27,22.31
2021-06-28,23.91
2021-06-29,22.73
2021-06-30,20.56
2021-07-01,19.24
2021-07-02,18.32
2021-07-03,19.83
2021-07-04,19.65
2021-07-05,17.69
2021-07-06,20.08
2021-07-07,21.63
2021-07-08,23.66
2021-07-09,
2021-07-10,20.26
2021-07-11,18.529999
2021-07-12,19.99
2021-07-13,21.83
2021-07-14,20.689999
2021-07-15,21.99
2021-07-16,18.57
2021-07-17,16.52
2021-07-18,17.64
2021-07-19,17.84
2021-07-20,18.029999
2021-07-21,19.619999
2021-07-22,21.029999
2021-07-23,
2021-07-24,21.96
2021-07-25,25.08
2021-07-26,26.689999
2021-07-27,26.74
2021-07-28,25.35
2021-07-29,24.14
2021-07-30,24.369999
2021-07-31,25.32
2021-08-01,26.859999
2021-08-02,23.06
2021-08-03,22.439999
2021-08-04,24.74
2021-08-05,21.05
2021-08-06,20.97
2021-08-07,22.279999
2021-08-08,22.6
2021-08-09,25.05
