time,AT111
2021-01-01,2.72
2021-01-02,2.35
2021-01-03,1.4
2021-01-04,1.89
2021-01-05,2.3
2021-01-06,2.33
2021-01-07,2.33
2021-01-08,1.12
2021-01-09,0.72999996
2021-01-10,-0.88
2021-01-11,-1.5799999
2021-01-12,1.8499999
2021-01-13,1.61
2021-01-14,2.1599998
2021-01-15,0.53
2021-01-16,-0.53
2021-01-17,-0.02
2021-01-18,3.01
2021-01-19,3.04
2021-01-20,5.45
2021-01-21,8.679999
2021-01-22,6.6299996
2021-01-23,4.04
2021-01-24,2.22
2021-01-25,1.17
2021-01-26,2.21
2021-01-27,1.38
2021-01-28,7.58
2021-01-29,9.7699995
2021-01-30,5.81
2021-01-31,2.06
2021-02-01,4.66
2021-02-02,8.349999
2021-02-03,10.82
2021-02-04,7.97
2021-02-05,6.77
2021-02-06,6.7799997
2021-02-07,5.0099998
2021-02-08,-2.29
2021-02-09,-5.7799997
2021-02-10,-7.56
2021-02-11,-6.7599998
2021-02-12,-5.58
2021-02-13,-4.96
2021-02-14,-2.62
2021-02-15,-0.08
2021-02-16,5.52
2021-02-17,8.04
2021-02-18,5.75
2021-02-19,7.95
2021-02-20,8.46
2021-02-21,8.66
2021-02-22,7.0499997
2021-02-23,10.58
2021-02-24,11.63
2021-02-25,10.92
2021-02-26,6.47
2021-02-27,5.4
2021-02-28,5.0899997
2021-03-01,6.16
2021-03-02,6.98
2021-03-03,7.37
2021-03-04,9.51
2021-03-05,4.1
2021-03-06,2.35
2021-03-07,2.1499999
2021-03-08,2.61
2021-03-09,3.81
2021-03-10,6.99
2021-03-11,9.83
2021-03-12,7.6499996
2021-03-13,6.8799996
2021-03-14,4.99
2021-03-15,5.94
2021-03-16,5.74
2021-03-17,4.3399997
2021-03-18,3.55
2021-03-19,2.97
2021-03-20,2.23
2021-03-21,5.43
2021-03-22,5.7
2021-03-23,5.99
2021-03-24,6.6
2021-03-25,9.7
2021-03-26,10.87
2021-03-27,8.679999
2021-03-28,10.67
2021-03-29,12.969999
2021-03-30,13.549999
2021-03-31,15.36
2021-04-01,16.48
2021-04-02,9.21
2021-04-03,7.8599997
2021-04-04,6.99
2021-04-05,4.5499997
2021-04-06,2.19
2021-04-07,2.69
2021-04-08,5.0099998
2021-04-09,9.55
2021-04-10,12.0
2021-04-11,9.88
2021-04-12,5.17
2021-04-13,4.3399997
2021-04-14,4.4
2021-04-15,4.96
2021-04-16,5.2799997
2021-04-17,7.6
2021-04-18,8.639999
2021-04-19,8.57
2021-04-20,9.82
2021-04-21,12.349999
2021-04-22,10.179999
2021-04-23,10.059999
2021-04-24,11.349999
2021-04-25,10.389999
2021-04-26,10.48
2021-04-27,11.5
2021-04-28,12.679999
2021-04-29,12.219999
2021-04-30,7.02
2021-05-01,9.5199995
2021-05-02,10.25
2021-05-03,9.969999
2021-05-04,10.67
2021-05-05,9.0
2021-05-06,7.8799996
2021-05-07,8.92
2021-05-08,11.01
2021-05-09,19.73
2021-05-10,16.56
2021-05-11,13.33
2021-05-12,12.929999
2021-05-13,12.139999
2021-05-14,12.5
2021-05-15,11.79
2021-05-16,13.23
2021-05-17,12.17
2021-05-18,11.74
2021-05-19,11.679999
2021-05-20,13.059999
2021-05-21,14.049999
2021-05-22,13.15
2021-05-23,12.88
2021-05-24,12.78
2021-05-25,11.55
2021-05-26,11.2
2021-05-27,11.82
2021-05-28,13.549999
2021-05-29,15.83
2021-05-30,16.22
2021-05-31,16.57
2021-06-01,18.289999
2021-06-02,20.73
2021-06-03,21.31
2021-06-04,21.0
2021-06-05,19.029999
2021-06-06,17.619999
2021-06-07,17.449999
2021-06-08,19.66
2021-06-09,21.109999
2021-06-10,22.01
2021-06-11,22.43
2021-06-12,21.8
2021-06-13,19.0
2021-06-14,21.119999
2021-06-15,23.49
2021-06-16,25.74
2021-06-17,27.34
2021-06-18,27.76
2021-06-19,27.4
2021-06-20,24.22
2021-06-21,21.81
2021-06-22,17.18
2021-06-23,19.8
2021-06-24,18.07
2021-06-25,18.029999
2021-06-26,20.14
2021-06-27,22.49
2021-06-28,22.789999
2021-06-29,18.939999
2021-06-30,16.52
2021-07-01,15.92
2021-07-02,18.77
2021-07-03,21.05
2021-07-04,19.029999
2021-07-05,18.789999
2021-07-06,18.369999
2021-07-07,19.689999
2021-07-08,18.58
2021-07-09,18.289999
2021-07-10,20.199999
2021-07-11,19.08
2021-07-12,20.699999
2021-07-13,17.5
2021-07-14,16.38
2021-07-15,18.609999
2021-07-16,20.119999
2021-07-17,21.02
2021-07-18,22.56
2021-07-19,21.91
2021-07-20,19.449999
2021-07-21,19.83
2021-07-22,20.73
2021-07-23,21.73
2021-07-24,21.55
2021-07-25,21.8
2021-07-26,21.24
2021-07-27,20.74
2021-07-28,19.109999
2021-07-29,19.23
2021-07-30,21.27
2021-07-31,19.779999
2021-08-01,18.52
2021-08-02,16.859999
2021-08-03,16.58
2021-08-04,17.619999
2021-08-05,19.199999
2021-08-06,18.52
2021-08-07,18.119999
2021-08-08,17.32
2021-08-09,18.119999
2021-08-10,19.539999
2021-08-11,21.57
2021-08-12,22.75
2021-08-13,24.09
2021-08-14,23.34
2021-08-15,23.25
2021-08-16,19.17
2021-08-17,15.03
2021-08-18,17.25
2021-08-19,18.97
2021-08-20,20.08
2021-08-21,20.939999
2021-08-22,18.039999
2021-08-23,18.22
2021-08-24,16.58
2021-08-25,17.19
2021-08-26,16.07
2021-08-27,15.349999
2021-08-28,15.2699995
2021-08-29,15.049999
2021-08-30,16.77
2021-08-31,16.48
2021-09-01,16.26
