time,SK031
2021-01-01,1.7249999
2021-01-02,1.135
2021-01-03,2.895
2021-01-04,3.0749998
2021-01-05,2.335
2021-01-06,2.12
2021-01-07,-0.074999996
2021-01-08,0.28
2021-01-09,1.14
2021-01-10,2.545
2021-01-11,6.3149996
2021-01-12,4.46
2021-01-13,2.05
2021-01-14,2.74
2021-01-15,0.22999999
2021-01-16,4.1
2021-01-17,5.085
2021-01-18,4.9799995
2021-01-19,7.13
2021-01-20,8.57
2021-01-21,4.095
2021-01-22,2.98
2021-01-23,1.25
2021-01-24,-0.19
2021-01-25,0.94499993
2021-01-26,2.78
2021-01-27,4.91
2021-01-28,5.375
2021-01-29,6.9849997
2021-01-30,3.135
2021-01-31,0.90999997
2021-02-01,2.925
2021-02-02,3.4199998
2021-02-03,6.26
2021-02-04,4.8999996
2021-02-05,6.785
2021-02-06,4.7299995
2021-02-07,1.615
2021-02-08,-0.26
2021-02-09,-0.45
2021-02-10,-0.005
2021-02-11,-2.0
2021-02-12,-1.05
2021-02-13,-0.705
2021-02-14,1.625
2021-02-15,6.6049995
2021-02-16,8.08
2021-02-17,8.28
2021-02-18,8.315001
2021-02-19,6.29
2021-02-20,10.724999
2021-02-21,10.24
2021-02-22,8.93
2021-02-23,8.594999
2021-02-24,13.16
2021-02-25,9.775
2021-02-26,6.6499996
2021-02-27,6.105
2021-02-28,6.325
2021-03-01,4.4449997
2021-03-02,4.9049997
2021-03-03,3.8249998
2021-03-04,5.6749997
2021-03-05,5.0249996
2021-03-06,3.7399998
2021-03-07,4.56
2021-03-08,6.075
2021-03-09,7.9449997
2021-03-10,7.345
2021-03-11,8.914999
2021-03-12,6.965
2021-03-13,6.0950003
2021-03-14,7.175
2021-03-15,8.549999
2021-03-16,9.465
2021-03-17,8.25
2021-03-18,8.475
2021-03-19,7.995
2021-03-20,8.99
2021-03-21,8.25
2021-03-22,6.83
2021-03-23,7.7549996
2021-03-24,9.415
2021-03-25,8.93
2021-03-26,9.549999
2021-03-27,6.33
2021-03-28,10.875
2021-03-29,12.764999
2021-03-30,12.52
2021-03-31,13.54
2021-04-01,7.5149994
2021-04-02,6.595
2021-04-03,6.865
2021-04-04,7.5699997
2021-04-05,4.3199997
2021-04-06,3.205
2021-04-07,3.175
2021-04-08,7.6449995
2021-04-09,6.3949995
2021-04-10,4.245
2021-04-11,3.55
2021-04-12,4.63
2021-04-13,5.4799995
2021-04-14,5.865
2021-04-15,5.84
2021-04-16,6.0099998
2021-04-17,6.58
2021-04-18,7.0099998
2021-04-19,8.869999
2021-04-20,8.99
2021-04-21,8.459999
2021-04-22,6.4449997
2021-04-23,8.235
2021-04-24,8.135
2021-04-25,6.95
2021-04-26,7.17
2021-04-27,7.625
2021-04-28,8.36
2021-04-29,6.205
2021-04-30,6.055
2021-05-01,6.035
2021-05-02,7.375
2021-05-03,8.18
2021-05-04,8.389999
2021-05-05,7.21
2021-05-06,6.49
2021-05-07,7.06
2021-05-08,9.24
2021-05-09,13.945
2021-05-10,12.8949995
2021-05-11,10.905
2021-05-12,11.04
2021-05-13,11.545
2021-05-14,9.85
2021-05-15,10.49
2021-05-16,11.434999
2021-05-17,11.304999
2021-05-18,11.355
2021-05-19,11.629999
2021-05-20,9.635
2021-05-21,10.965
2021-05-22,9.719999
2021-05-23,8.905
2021-05-24,10.0199995
2021-05-25,10.594999
2021-05-26,10.955
2021-05-27,11.785
2021-05-28,12.465
2021-05-29,13.955
2021-05-30,12.005
2021-05-31,13.315001
2021-06-01,15.66
2021-06-02,16.835
2021-06-03,16.52
2021-06-04,14.54
2021-06-05,15.214999
2021-06-06,16.42
2021-06-07,15.92
2021-06-08,16.41
2021-06-09,17.705
2021-06-10,18.355
2021-06-11,18.075
2021-06-12,15.485
2021-06-13,17.535
2021-06-14,18.585
2021-06-15,15.289999
2021-06-16,19.235
2021-06-17,16.365
2021-06-18,14.35
2021-06-19,12.76
2021-06-20,13.32
2021-06-21,13.1449995
2021-06-22,13.455
2021-06-23,13.77
2021-06-24,16.3
2021-06-25,14.68
2021-06-26,14.5199995
2021-06-27,16.015
2021-06-28,15.0
2021-06-29,16.074999
2021-06-30,14.664999
2021-07-01,15.074999
2021-07-02,17.015
2021-07-03,17.919998
2021-07-04,18.26
2021-07-05,16.785
2021-07-06,15.924999
2021-07-07,17.555
2021-07-08,17.835
2021-07-09,17.68
2021-07-10,17.869999
2021-07-11,16.92
2021-07-12,17.509998
2021-07-13,17.65
2021-07-14,18.41
2021-07-15,17.82
2021-07-16,18.355
2021-07-17,20.345
2021-07-18,21.425
2021-07-19,19.83
2021-07-20,20.77
2021-07-21,20.385
2021-07-22,19.715
2021-07-23,17.025
2021-07-24,17.665
2021-07-25,17.91
2021-07-26,19.884998
2021-07-27,19.105
2021-07-28,17.76
2021-07-29,16.33
2021-07-30,15.504999
2021-07-31,16.789999
2021-08-01,15.094999
2021-08-02,15.205
2021-08-03,15.405
2021-08-04,16.544998
2021-08-05,17.32
