time,CY000
2021-08-14,20.42
2021-08-15,19.743332
2021-08-16,16.683334
2021-08-17,11.293334
2021-08-18,13.086666
2021-08-19,14.983333
2021-08-20,15.216667
2021-08-21,16.24
2021-08-22,16.243332
2021-08-23,12.366666
2021-08-24,11.283333
2021-08-25,12.8
2021-08-26,11.066666
2021-08-27,9.986667
2021-08-28,10.303332
2021-08-29,11.686666
2021-08-30,12.176666
2021-08-31,11.803333
2021-09-01,12.273334
2021-09-02,13.75
2021-09-03,14.556666
2021-09-04,14.336667
2021-09-05,15.213333
2021-09-06,15.643333
2021-09-07,14.61
2021-09-08,15.889999
2021-09-09,17.43
2021-09-10,17.87
2021-09-11,15.91
2021-09-12,15.573334
2021-09-13,14.313333
2021-09-14,16.356667
2021-09-15,17.256666
2021-09-16,13.906667
2021-09-17,11.923333
2021-09-18,10.986667
2021-09-19,8.236667
2021-09-20,7.853333
2021-09-21,8.653333
2021-09-22,9.573333
2021-09-23,13.783333
2021-09-24,12.406667
2021-09-25,14.513332
2021-09-26,16.553333
2021-09-27,15.149999
2021-09-28,11.776668
2021-09-29,12.016666
2021-09-30,7.536667
2021-10-01,9.97
2021-10-02,12.863332
2021-10-03,13.466666
2021-10-04,11.0199995
2021-10-05,11.079999
2021-10-06,8.669999
2021-10-07,8.133333
2021-10-08,8.933333
2021-10-09,6.103333
2021-10-10,4.8433337
2021-10-11,5.403333
2021-10-12,5.3733335
2021-10-13,4.083333
2021-10-14,6.853333
2021-10-15,7.876667
2021-10-16,5.0
2021-10-17,4.8666663
2021-10-18,7.9266663
2021-10-19,10.596667
2021-10-20,14.276668
2021-10-21,9.426666
2021-10-22,4.4466667
2021-10-23,3.5366666
2021-10-24,4.1633334
2021-10-25,5.41
2021-10-26,7.1433334
2021-10-27,7.1433334
2021-10-28,7.523333
2021-10-29,7.27
2021-10-30,7.6266665
2021-10-31,9.7300005
2021-11-01,7.4933333
2021-11-02,6.0466666
2021-11-03,5.2599998
2021-11-04,4.233333
2021-11-05,3.95
2021-11-06,4.146667
2021-11-07,4.2000003
2021-11-08,3.8833332
2021-11-09,4.15
2021-11-10,3.25
2021-11-11,3.58
2021-11-12,2.7533333
2021-11-13,4.403333
2021-11-14,5.113333
2021-11-15,2.9533331
2021-11-16,3.28
2021-11-17,2.9166667
2021-11-18,4.1866665
2021-11-19,6.256666
2021-11-20,5.236666
2021-11-21,2.0866666
2021-11-22,1.4033333
2021-11-23,0.37333333
2021-11-24,1.3166667
2021-11-25,-1.4866667
2021-11-26,-0.71666664
2021-11-27,-0.120000005
2021-11-28,-1.43
2021-11-29,-1.3299999
2021-11-30,-0.16666667
2021-12-01,3.5600002
2021-12-02,-0.06666666
2021-12-03,-2.59
2021-12-04,-0.9533333
2021-12-05,0.19333333
2021-12-06,-1.9833332
2021-12-07,-1.4466667
2021-12-08,-1.9399999
2021-12-09,-1.3266667
2021-12-10,-1.5099999
2021-12-11,-2.9866667
2021-12-12,-0.36999997
2021-12-13,3.67
2021-12-14,2.9799998
2021-12-15,3.5466664
2021-12-16,4.0499997
2021-12-17,2.2666667
2021-12-18,2.1766665
2021-12-19,2.3833332
2021-12-20,-1.6166667
2021-12-21,-2.7766666
2021-12-22,-4.236666
2021-12-23,-1.1266667
2021-12-24,3.8766668
2021-12-25,-5.36
2021-12-26,-5.733333
2021-12-27,-1.2666665
2021-12-28,0.9633333
2021-12-29,3.78
2021-12-30,8.656667
2021-12-31,10.026666
