time,DK013
2021-08-17,15.586667
2021-08-18,16.556665
2021-08-19,16.13
2021-08-20,16.876665
2021-08-21,18.266666
2021-08-22,17.693335
2021-08-23,17.593332
2021-08-24,16.7
2021-08-25,15.05
2021-08-26,16.466667
2021-08-27,15.763333
2021-08-28,16.449999
2021-08-29,16.51
2021-08-30,17.523333
2021-08-31,16.216667
2021-09-01,15.419999
2021-09-02,14.083333
2021-09-03,14.173333
2021-09-04,15.37
2021-09-05,14.21
2021-09-06,15.183333
2021-09-07,18.406668
2021-09-08,19.046667
2021-09-09,19.773333
2021-09-10,19.403334
2021-09-11,17.949999
2021-09-12,16.359999
2021-09-13,14.703334
2021-09-14,16.626665
2021-09-15,17.6
2021-09-16,15.523334
2021-09-17,14.799999
2021-09-18,14.849999
2021-09-19,14.173332
2021-09-20,11.829999
2021-09-21,13.259999
2021-09-22,13.919999
2021-09-23,14.543332
2021-09-24,16.856667
2021-09-25,17.723333
2021-09-26,17.753332
2021-09-27,15.333333
2021-09-28,13.029999
2021-09-29,10.976666
2021-09-30,11.966666
2021-10-01,13.330001
2021-10-02,14.066666
2021-10-03,13.06
2021-10-04,13.316666
2021-10-05,12.496666
2021-10-06,10.79
2021-10-07,8.203334
2021-10-08,9.79
2021-10-09,9.9366665
2021-10-10,9.43
2021-10-11,11.233333
2021-10-12,10.093333
2021-10-13,10.616666
2021-10-14,13.233333
2021-10-15,10.716667
2021-10-16,9.426666
2021-10-17,10.826667
2021-10-18,11.576667
2021-10-19,15.126666
2021-10-20,15.256665
2021-10-21,9.38
2021-10-22,8.043334
2021-10-23,8.98
2021-10-24,7.8633327
2021-10-25,9.276667
2021-10-26,11.846667
2021-10-27,13.203334
2021-10-28,11.54
2021-10-29,12.89
2021-10-30,11.956666
2021-10-31,11.726666
2021-11-01,9.803333
2021-11-02,7.2066665
2021-11-03,5.7566667
2021-11-04,6.22
2021-11-05,8.073334
2021-11-06,9.896667
2021-11-07,9.143333
2021-11-08,8.27
2021-11-09,8.373333
2021-11-10,8.846667
2021-11-11,9.58
2021-11-12,8.29
2021-11-13,9.846666
2021-11-14,8.649999
2021-11-15,6.283333
2021-11-16,4.7599998
2021-11-17,7.7966666
2021-11-18,10.089999
2021-11-19,11.93
2021-11-20,10.4800005
2021-11-21,8.303333
2021-11-22,5.1833334
2021-11-23,7.396667
2021-11-24,6.91
2021-11-25,5.5466666
2021-11-26,4.19
2021-11-27,4.0
2021-11-28,3.4099998
2021-11-29,2.96
2021-11-30,7.343333
