time,DE40I
2021-08-18,21.762857
2021-08-19,21.952854
2021-08-20,22.525713
2021-08-21,23.355715
2021-08-22,23.595713
2021-08-23,22.009998
2021-08-24,21.137142
2021-08-25,20.827143
2021-08-26,21.291428
2021-08-27,19.478573
2021-08-28,18.575714
2021-08-29,18.767141
2021-08-30,18.89
2021-08-31,18.421429
2021-09-01,19.939999
2021-09-02,20.625713
2021-09-03,19.964285
2021-09-04,20.147142
2021-09-05,21.065716
2021-09-06,20.679998
2021-09-07,20.738571
2021-09-08,20.905714
2021-09-09,20.557142
2021-09-10,20.192858
2021-09-11,20.954285
2021-09-12,20.785715
2021-09-13,21.661428
2021-09-14,21.592855
2021-09-15,21.537142
2021-09-16,20.818571
2021-09-17,20.37143
2021-09-18,20.144285
2021-09-19,17.575714
2021-09-20,16.38857
2021-09-21,17.057142
2021-09-22,17.234285
2021-09-23,17.425714
2021-09-24,18.097141
2021-09-25,20.001429
2021-09-26,16.822857
2021-09-27,17.084286
2021-09-28,18.421429
2021-09-29,18.405714
2021-09-30,17.627144
2021-10-01,16.692856
2021-10-02,16.904285
2021-10-03,17.199999
2021-10-04,17.095713
2021-10-05,15.501428
2021-10-06,13.614286
2021-10-07,14.07
2021-10-08,14.291429
2021-10-09,13.341429
2021-10-10,12.012857
2021-10-11,12.2228565
2021-10-12,12.469999
2021-10-13,11.818571
2021-10-14,9.971429
2021-10-15,10.204286
2021-10-16,11.327143
2021-10-17,11.655714
2021-10-18,12.612857
2021-10-19,13.08
2021-10-20,14.069999
2021-10-21,14.444285
2021-10-22,12.902857
2021-10-23,12.191428
2021-10-24,12.365714
2021-10-25,10.945714
2021-10-26,10.462858
2021-10-27,11.538571
2021-10-28,11.248571
2021-10-29,11.108572
2021-10-30,10.424286
2021-10-31,11.495714
2021-11-01,9.848571
2021-11-02,10.564285
2021-11-03,9.868571
2021-11-04,9.098571
2021-11-05,7.6700006
2021-11-06,8.261428
2021-11-07,8.037143
2021-11-08,8.191428
2021-11-09,9.004285
2021-11-10,11.099999
2021-11-11,11.58
2021-11-12,11.185715
2021-11-13,9.975715
2021-11-14,10.058572
2021-11-15,10.248571
2021-11-16,10.117143
2021-11-17,9.405714
2021-11-18,10.154286
2021-11-19,9.205714
2021-11-20,8.47
2021-11-21,7.9171424
2021-11-22,7.977143
2021-11-23,9.2300005
2021-11-24,6.8985715
2021-11-25,5.127143
2021-11-26,6.6557145
2021-11-27,6.161428
2021-11-28,4.2728567
2021-11-29,3.9142857
2021-11-30,4.2757144
2021-12-01,5.848572
2021-12-02,4.574285
2021-12-03,4.2014284
2021-12-04,3.402857
2021-12-05,3.2
2021-12-06,2.7757144
2021-12-07,3.6014285
2021-12-08,1.4342858
2021-12-09,2.3999999
2021-12-10,0.92142856
2021-12-11,4.48
2021-12-12,3.4985712
2021-12-13,4.988571
2021-12-14,5.727143
2021-12-15,4.445714
2021-12-16,3.4942856
2021-12-17,4.651428
2021-12-18,3.1542857
2021-12-19,3.5099998
2021-12-20,4.532857
2021-12-21,3.4514287
2021-12-22,3.0342858
2021-12-23,3.42
2021-12-24,5.8814282
2021-12-25,5.8442855
2021-12-26,5.3742857
2021-12-27,5.3628573
2021-12-28,6.062857
2021-12-29,7.1342854
2021-12-30,7.8199997
2021-12-31,7.575714
