time,ITH20
2021-01-01,1.4072727
2021-01-02,1.7190909
2021-01-03,2.7818184
2021-01-04,3.2
2021-01-05,2.59
2021-01-06,2.4809089
2021-01-07,-0.11181817
2021-01-08,0.06272727
2021-01-09,1.0681818
2021-01-10,1.892727
2021-01-11,5.3309093
2021-01-12,4.9772725
2021-01-13,1.8227272
2021-01-14,2.2554545
2021-01-15,0.33636358
2021-01-16,3.2436364
2021-01-17,5.002727
2021-01-18,4.395455
2021-01-19,7.781818
2021-01-20,9.925454
2021-01-21,4.11
2021-01-22,3.1109087
2021-01-23,1.4445454
2021-01-24,-0.5972728
2021-01-25,0.9709091
2021-01-26,2.3545454
2021-01-27,5.31
2021-01-28,5.8045454
2021-01-29,7.6818175
2021-01-30,3.394545
2021-01-31,0.7936363
2021-02-01,3.2172728
2021-02-02,3.540909
2021-02-03,6.9027267
2021-02-04,5.1054544
2021-02-05,7.602728
2021-02-06,5.0790906
2021-02-07,1.3954545
2021-02-08,-0.5363636
2021-02-09,-0.83
2021-02-10,-0.22818182
2021-02-11,-2.050909
2021-02-12,-1.5045453
2021-02-13,-1.5154544
2021-02-14,0.8527273
2021-02-15,6.771818
2021-02-16,8.316364
2021-02-17,8.544546
2021-02-18,8.310909
2021-02-19,6.3690906
2021-02-20,10.934545
2021-02-21,10.376363
2021-02-22,8.440909
2021-02-23,8.452727
2021-02-24,13.613636
2021-02-25,9.866364
2021-02-26,6.7399993
2021-02-27,6.0081816
2021-02-28,6.058182
2021-03-01,3.030909
2021-03-02,4.390909
2021-03-03,3.510909
2021-03-04,5.2436366
2021-03-05,4.8163633
2021-03-06,3.6190903
2021-03-07,4.3927274
2021-03-08,5.627273
2021-03-09,7.365454
2021-03-10,7.310909
2021-03-11,9.480909
2021-03-12,6.621817
2021-03-13,6.2899995
2021-03-14,6.9845457
2021-03-15,8.36909
2021-03-16,9.418181
2021-03-17,7.940909
2021-03-18,7.6690907
2021-03-19,7.543637
2021-03-20,8.858181
2021-03-21,7.511818
2021-03-22,6.2809095
2021-03-23,7.211818
2021-03-24,9.517273
2021-03-25,8.645454
2021-03-26,9.878181
2021-03-27,6.2663636
2021-03-28,10.97
2021-03-29,13.744546
2021-03-30,12.909091
2021-03-31,14.811817
2021-04-01,7.681818
2021-04-02,6.855454
2021-04-03,6.6245456
2021-04-04,7.47
2021-04-05,4.314545
2021-04-06,2.8772726
2021-04-07,2.9472725
2021-04-08,7.7618184
2021-04-09,6.9081817
2021-04-10,4.6281815
2021-04-11,3.2472727
2021-04-12,4.097273
2021-04-13,5.1118183
2021-04-14,5.150909
2021-04-15,5.2927275
2021-04-16,5.334545
2021-04-17,5.7427273
2021-04-18,6.511818
2021-04-19,8.363636
2021-04-20,8.87
2021-04-21,8.650909
2021-04-22,6.1554537
2021-04-23,8.137272
2021-04-24,8.537273
2021-04-25,6.941818
2021-04-26,7.2436357
2021-04-27,7.6018176
2021-04-28,8.7754545
2021-04-29,5.9036365
2021-04-30,5.554545
2021-05-01,5.7872725
2021-05-02,7.044545
2021-05-03,8.112728
2021-05-04,8.407272
2021-05-05,7.114545
2021-05-06,6.370909
2021-05-07,7.1199994
