time,EL302
2021-01-01,4.884
2021-01-02,2.031
2021-01-03,4.309
2021-01-04,6.593
2021-01-05,4.149
2021-01-06,1.538
2021-01-07,4.568
2021-01-08,1.0649999
2021-01-09,1.5600001
2021-01-10,-0.486
2021-01-11,-1.5990001
2021-01-12,-0.168
2021-01-13,-0.146
2021-01-14,-0.092
2021-01-15,-2.995
2021-01-16,-7.968001
2021-01-17,-9.195999
2021-01-18,-9.528999
2021-01-19,-13.532999
2021-01-20,-4.6439996
2021-01-21,2.124
2021-01-22,6.528
2021-01-23,4.442
2021-01-24,4.534
2021-01-25,3.8709998
2021-01-26,1.4399999
2021-01-27,-0.203
2021-01-28,-1.142
2021-01-29,-0.31600004
2021-01-30,1.9919999
2021-01-31,0.998
2021-02-01,-1.8169998
2021-02-02,-2.547
2021-02-03,1.3770001
2021-02-04,7.5880003
2021-02-05,2.8839998
2021-02-06,-0.947
2021-02-07,-4.752
2021-02-08,-4.044
2021-02-09,-0.24599998
2021-02-10,0.566
2021-02-11,-0.579
2021-02-12,-7.5020003
2021-02-13,-8.991
2021-02-14,-3.8649998
2021-02-15,-3.8779998
2021-02-16,-7.9480004
2021-02-17,-6.164
2021-02-18,-3.9050002
2021-02-19,-8.793001
2021-02-20,-2.534
2021-02-21,-0.47999996
2021-02-22,0.533
2021-02-23,2.2129998
2021-02-24,2.939
2021-02-25,8.213999
2021-02-26,8.424
2021-02-27,5.476
2021-02-28,4.8310003
2021-03-01,3.6129997
2021-03-02,5.782
2021-03-03,5.723
2021-03-04,7.2420006
2021-03-05,6.6079993
2021-03-06,1.674
2021-03-07,1.5329999
2021-03-08,2.598
2021-03-09,-0.011999996
2021-03-10,0.812
2021-03-11,-0.06099999
2021-03-12,1.732
2021-03-13,5.1659994
2021-03-14,7.107
2021-03-15,6.6009994
2021-03-16,3.236
2021-03-17,2.517
2021-03-18,2.742
2021-03-19,1.799
2021-03-20,1.75
2021-03-21,1.4859998
2021-03-22,2.074
2021-03-23,1.842
2021-03-24,0.752
2021-03-25,3.5940003
2021-03-26,5.747
2021-03-27,6.7559996
2021-03-28,7.570999
2021-03-29,6.9779997
2021-03-30,6.87
2021-03-31,9.154
2021-04-01,12.72
2021-04-02,9.931
2021-04-03,5.761
2021-04-04,6.064
2021-04-05,5.796
2021-04-06,7.252
2021-04-07,3.4699998
2021-04-08,3.7229996
2021-04-09,4.88
2021-04-10,7.371
2021-04-11,8.872
2021-04-12,10.601
2021-04-13,11.495
2021-04-14,7.878
2021-04-15,5.888999
2021-04-16,6.0439997
2021-04-17,7.877
2021-04-18,8.719999
2021-04-19,9.9
2021-04-20,10.775
2021-04-21,10.6779995
2021-04-22,11.798
2021-04-23,9.13
2021-04-24,7.176
2021-04-25,9.589
2021-04-26,7.5129995
2021-04-27,5.462
2021-04-28,4.6099997
2021-04-29,11.637
2021-04-30,16.029999
2021-05-01,16.157
2021-05-02,19.376999
2021-05-03,15.004
2021-05-04,10.728999
2021-05-05,16.574999
2021-05-06,13.173999
2021-05-07,12.777999
2021-05-08,10.671
2021-05-09,9.768999
2021-05-10,13.278999
2021-05-11,14.559
2021-05-12,14.0199995
2021-05-13,14.209
2021-05-14,15.582998
2021-05-15,16.641
2021-05-16,16.414999
2021-05-17,17.608
2021-05-18,15.253
2021-05-19,15.208
2021-05-20,13.230998
2021-05-21,15.497998
2021-05-22,16.620998
2021-05-23,18.257
2021-05-24,15.991
2021-05-25,16.865
2021-05-26,16.168003
2021-05-27,16.727
2021-05-28,16.303
2021-05-29,16.918999
2021-05-30,15.001999
2021-05-31,12.917999
2021-06-01,12.776999
2021-06-02,13.150999
2021-06-03,15.998999
2021-06-04,18.176998
2021-06-05,18.355
2021-06-06,18.379002
2021-06-07,18.810999
2021-06-08,19.955
2021-06-09,20.092999
2021-06-10,18.845
2021-06-11,19.17
2021-06-12,19.167
2021-06-13,16.66
2021-06-14,14.5269985
2021-06-15,17.434002
2021-06-16,20.088
2021-06-17,21.755001
2021-06-18,22.106998
2021-06-19,20.350998
2021-06-20,20.696001
2021-06-21,22.434
2021-06-22,23.235
2021-06-23,25.379
2021-06-24,26.553997
2021-06-25,26.556
2021-06-26,23.515001
2021-06-27,21.967999
2021-06-28,22.141
2021-06-29,22.632
2021-06-30,24.398998
2021-07-01,23.107998
2021-07-02,20.581
2021-07-03,19.335001
2021-07-04,19.687
2021-07-05,21.17
2021-07-06,23.510998
2021-07-07,23.643002
2021-07-08,24.022999
2021-07-09,24.074
2021-07-10,22.25
2021-07-11,23.517
2021-07-12,24.484999
2021-07-13,23.7
2021-07-14,24.989
2021-07-15,25.578
2021-07-16,24.899
2021-07-17,25.23
2021-07-18,26.301998
2021-07-19,25.215
2021-07-20,22.191998
2021-07-21,19.314999
2021-07-22,20.417
2021-07-23,20.161999
2021-07-24,20.404999
2021-07-25,21.016998
2021-07-26,22.953999
2021-07-27,24.065
2021-07-28,25.757
2021-07-29,25.411999
2021-07-30,24.155
2021-07-31,24.692999
2021-08-01,24.701
2021-08-02,24.612999
2021-08-03,21.046001
2021-08-04,21.268
2021-08-05,22.9
2021-08-06,21.537
2021-08-07,20.26
2021-08-08,21.376999
2021-08-09,22.631998
2021-08-10,22.325
2021-08-11,22.352999
2021-08-12,20.91
2021-08-13,19.689999
2021-08-14,20.585
2021-08-15,22.769
2021-08-16,24.159998
2021-08-17,25.769001
2021-08-18,18.902998
2021-08-19,17.355
2021-08-20,18.817
2021-08-21,19.965
2021-08-22,20.707998
2021-08-23,20.539999
2021-08-24,21.474
2021-08-25,17.034
2021-08-26,17.276999
2021-08-27,17.092
2021-08-28,17.258999
2021-08-29,17.734
2021-08-30,19.626001
2021-08-31,17.754
2021-09-01,17.314
2021-09-02,15.613998
2021-09-03,14.971001
2021-09-04,16.911999
2021-09-05,14.908999
2021-09-06,12.359999
2021-09-07,13.403999
2021-09-08,15.361
2021-09-09,15.5789995
2021-09-10,16.263
2021-09-11,17.873999
2021-09-12,17.560001
2021-09-13,18.731998
2021-09-14,19.008
2021-09-15,19.52
2021-09-16,18.519001
2021-09-17,19.133999
2021-09-18,17.635998
2021-09-19,13.386
2021-09-20,11.336
2021-09-21,10.367998
2021-09-22,9.967999
2021-09-23,9.459999
2021-09-24,12.326
2021-09-25,13.996
2021-09-26,17.664
2021-09-27,14.587
2021-09-28,11.938001
2021-09-29,10.827
2021-09-30,11.200001
2021-10-01,9.6
2021-10-02,10.028999
2021-10-03,10.945001
2021-10-04,11.845999
2021-10-05,12.114
2021-10-06,10.587
2021-10-07,8.481
2021-10-08,5.707
2021-10-09,7.193
2021-10-10,6.4709997
2021-10-11,7.3739996
2021-10-12,8.749001
2021-10-13,8.466
2021-10-14,7.7450004
2021-10-15,8.358
2021-10-16,9.693998
2021-10-17,8.9539995
2021-10-18,7.924
2021-10-19,8.491
2021-10-20,11.783
2021-10-21,15.272
2021-10-22,15.656
2021-10-23,12.049999
2021-10-24,6.5199995
2021-10-25,4.2629995
2021-10-26,6.054
2021-10-27,7.422
2021-10-28,8.661
2021-10-29,8.615999
2021-10-30,10.025
2021-10-31,8.931001
2021-11-01,7.0869994
2021-11-02,8.084
2021-11-03,11.553999
2021-11-04,12.027
2021-11-05,15.539999
2021-11-06,9.263999
2021-11-07,6.246
2021-11-08,7.8
2021-11-09,6.6519995
2021-11-10,1.666
2021-11-11,4.211
2021-11-12,4.849
2021-11-13,4.1299996
2021-11-14,7.795999
2021-11-15,5.4919996
2021-11-16,4.6029997
2021-11-17,3.197
2021-11-18,1.305
2021-11-19,6.0509996
2021-11-20,10.352
2021-11-21,8.9470005
2021-11-22,5.851
2021-11-23,4.136
2021-11-24,2.9899998
2021-11-25,1.244
2021-11-26,3.817
2021-11-27,10.139999
2021-11-28,7.076
2021-11-29,6.648
2021-11-30,2.7289999
2021-12-01,1.975
2021-12-02,4.9669995
2021-12-03,5.2349997
2021-12-04,-1.379
2021-12-05,-2.112
2021-12-06,1.813
2021-12-07,1.075
2021-12-08,-0.985
2021-12-09,-1.062
2021-12-10,3.145
2021-12-11,5.402
2021-12-12,4.2939997
