time,SI044
2021-01-01,1.54
2021-01-02,0.82
2021-01-03,2.49
2021-01-04,2.32
2021-01-05,2.77
2021-01-06,2.3
2021-01-07,-0.61
2021-01-08,0.85999995
2021-01-09,0.72999996
2021-01-10,2.02
2021-01-11,6.42
2021-01-12,5.68
2021-01-13,3.85
2021-01-14,4.81
2021-01-15,0.96
2021-01-16,4.63
2021-01-17,6.22
2021-01-18,4.47
2021-01-19,7.3399997
2021-01-20,8.08
2021-01-21,3.9399998
2021-01-22,2.9099998
2021-01-23,1.17
2021-01-24,-0.45
2021-01-25,0.55
2021-01-26,2.56
2021-01-27,5.91
2021-01-28,7.19
2021-01-29,7.3999996
2021-01-30,3.9199998
2021-01-31,1.06
2021-02-01,3.6499999
2021-02-02,5.49
2021-02-03,7.08
2021-02-04,6.33
2021-02-05,6.1099997
2021-02-06,4.95
2021-02-07,2.6399999
2021-02-08,0.76
2021-02-09,0.19999999
2021-02-10,0.24
2021-02-11,-1.3399999
2021-02-12,0.26999998
2021-02-13,0.089999996
2021-02-14,3.9099998
2021-02-15,8.139999
2021-02-16,9.3
2021-02-17,8.69
2021-02-18,7.93
2021-02-19,7.24
2021-02-20,10.24
2021-02-21,9.75
2021-02-22,8.87
2021-02-23,8.599999
2021-02-24,11.79
2021-02-25,8.76
2021-02-26,5.93
2021-02-27,6.2999997
2021-02-28,6.06
2021-03-01,4.7999997
2021-03-02,4.25
2021-03-03,4.65
2021-03-04,4.83
2021-03-05,3.98
2021-03-06,2.8
2021-03-07,3.4199998
2021-03-08,5.49
2021-03-09,7.2799997
2021-03-10,8.889999
2021-03-11,8.84
2021-03-12,6.39
2021-03-13,5.65
2021-03-14,6.74
2021-03-15,9.099999
2021-03-16,10.21
2021-03-17,7.27
2021-03-18,7.7999997
2021-03-19,9.11
2021-03-20,8.98
2021-03-21,9.3
2021-03-22,6.97
2021-03-23,8.16
2021-03-24,8.95
2021-03-25,8.51
2021-03-26,9.01
2021-03-27,6.5499997
2021-03-28,10.059999
2021-03-29,12.53
2021-03-30,11.679999
2021-03-31,11.889999
2021-04-01,8.5
2021-04-02,6.77
2021-04-03,6.3999996
2021-04-04,7.29
2021-04-05,5.13
2021-04-06,3.6399999
2021-04-07,3.4499998
2021-04-08,7.3599997
2021-04-09,5.77
2021-04-10,2.99
2021-04-11,4.06
2021-04-12,4.7799997
2021-04-13,5.6
2021-04-14,6.5
2021-04-15,6.2799997
2021-04-16,6.2
2021-04-17,6.7799997
2021-04-18,7.41
2021-04-19,8.65
2021-04-20,9.38
2021-04-21,9.59
