time,FI1C5
2021-01-01,3.3153844
2021-01-02,4.275385
2021-01-03,4.1992307
2021-01-04,4.27
2021-01-05,4.6607695
2021-01-06,2.783077
2021-01-07,3.1299996
2021-01-08,-0.3169231
2021-01-09,-1.9076924
2021-01-10,-2.5923076
2021-01-11,-1.4407692
2021-01-12,-1.0684615
2021-01-13,-0.5315385
2021-01-14,-2.6392305
2021-01-15,-2.640769
2021-01-16,-6.9984612
2021-01-17,-7.3146152
2021-01-18,-8.835384
2021-01-19,-6.7930765
2021-01-20,-0.61230767
2021-01-21,3.463846
2021-01-22,4.2923074
2021-01-23,6.0815387
2021-01-24,5.966923
2021-01-25,2.316154
2021-01-26,-0.5576923
2021-01-27,-1.8676925
2021-01-28,-2.23
2021-01-29,0.07307692
2021-01-30,3.6700003
2021-01-31,0.696923
2021-02-01,0.14692308
2021-02-02,2.166923
2021-02-03,5.357692
2021-02-04,9.609231
2021-02-05,5.5784607
2021-02-06,5.0107694
2021-02-07,4.7823076
2021-02-08,5.6823072
2021-02-09,4.4753847
2021-02-10,4.8576922
2021-02-11,0.55230767
2021-02-12,-8.015385
2021-02-13,-9.241538
2021-02-14,-5.648461
2021-02-15,-3.4661539
2021-02-16,-3.2792306
2021-02-17,-0.58461535
2021-02-18,1.1399999
2021-02-19,0.6515385
2021-02-20,3.0384614
2021-02-21,2.954615
2021-02-22,4.2884617
2021-02-23,5.6430764
2021-02-24,6.376154
2021-02-25,8.716154
2021-02-26,9.443076
2021-02-27,6.704615
2021-02-28,4.172308
2021-03-01,3.8292303
2021-03-02,4.5792303
2021-03-03,6.1284614
2021-03-04,6.0646157
2021-03-05,5.7484612
2021-03-06,2.0461538
2021-03-07,0.09461541
2021-03-08,0.9846153
2021-03-09,0.5476923
2021-03-10,0.07615389
2021-03-11,-0.58538455
2021-03-12,5.118461
2021-03-13,6.5807695
2021-03-14,7.966923
2021-03-15,4.848461
2021-03-16,4.0107694
2021-03-17,3.4661536
2021-03-18,2.6700003
2021-03-19,1.2584616
2021-03-20,-0.2607692
2021-03-21,0.19923076
2021-03-22,0.92076916
2021-03-23,1.8569229
2021-03-24,3.2784615
2021-03-25,2.8630767
2021-03-26,5.3399997
2021-03-27,7.6876926
2021-03-28,7.8169227
2021-03-29,6.1692305
2021-03-30,10.153846
2021-03-31,11.799231
2021-04-01,12.688461
2021-04-02,11.447693
2021-04-03,7.168462
2021-04-04,4.207692
2021-04-05,5.327692
2021-04-06,3.8646154
2021-04-07,1.8376924
2021-04-08,1.6869229
2021-04-09,3.7792308
2021-04-10,7.5492306
2021-04-11,9.946923
2021-04-12,14.540768
2021-04-13,10.416154
2021-04-14,4.436154
2021-04-15,3.6876924
2021-04-16,3.8646154
2021-04-17,5.293846
2021-04-18,6.6438456
2021-04-19,7.746923
2021-04-20,9.18
2021-04-21,9.668461
2021-04-22,10.585384
2021-04-23,8.635384
2021-04-24,7.483077
2021-04-25,9.006924
2021-04-26,7.483077
2021-04-27,8.117693
2021-04-28,9.267692
2021-04-29,13.78
2021-04-30,16.103077
2021-05-01,16.315386
2021-05-02,18.614616
2021-05-03,11.306922
2021-05-04,9.73
2021-05-05,14.270769
2021-05-06,11.61
2021-05-07,10.816154
2021-05-08,9.755384
2021-05-09,10.022307
2021-05-10,15.102308
2021-05-11,17.718462
2021-05-12,18.366922
2021-05-13,14.988461
2021-05-14,13.261539
2021-05-15,14.466921
2021-05-16,13.314615
2021-05-17,13.203846
2021-05-18,12.372308
2021-05-19,11.913076
2021-05-20,12.076921
2021-05-21,13.186922
2021-05-22,14.356923
2021-05-23,15.825385
2021-05-24,14.206153
2021-05-25,18.434614
2021-05-26,14.787691
2021-05-27,15.2846155
2021-05-28,15.495383
2021-05-29,13.739229
2021-05-30,12.14
2021-05-31,11.838461
2021-06-01,13.313847
2021-06-02,12.898461
2021-06-03,14.299231
2021-06-04,17.256155
2021-06-05,17.437693
2021-06-06,18.48846
2021-06-07,18.124615
2021-06-08,18.704617
2021-06-09,19.720768
2021-06-10,18.989231
2021-06-11,18.05
2021-06-12,18.986153
2021-06-13,17.272306
2021-06-14,14.77846
2021-06-15,16.299232
2021-06-16,20.165384
2021-06-17,21.08769
2021-06-18,22.35923
2021-06-19,21.76692
2021-06-20,21.943846
2021-06-21,23.023846
2021-06-22,25.329231
2021-06-23,26.406921
2021-06-24,26.797695
2021-06-25,26.766151
2021-06-26,22.48769
2021-06-27,21.896921
2021-06-28,22.619999
2021-06-29,24.577694
2021-06-30,26.337688
2021-07-01,22.775383
2021-07-02,19.076923
2021-07-03,18.687693
2021-07-04,19.592308
2021-07-05,20.963076
2021-07-06,22.73769
2021-07-07,24.352304
2021-07-08,25.876923
