time,DEG0J
2021-08-11,16.46579
2021-08-12,16.628946
2021-08-13,18.157368
2021-08-14,19.092632
2021-08-15,17.857895
2021-08-16,18.45421
2021-08-17,16.445263
2021-08-18,14.381052
2021-08-19,15.535262
2021-08-20,16.064735
2021-08-21,15.320001
2021-08-22,13.70579
2021-08-23,13.932105
2021-08-24,11.612633
2021-08-25,11.8852625
2021-08-26,12.718946
2021-08-27,14.4521055
2021-08-28,16.196842
2021-08-29,15.276841
2021-08-30,14.9326315
2021-08-31,14.5673685
2021-09-01,13.444211
2021-09-02,11.922105
2021-09-03,12.461052
2021-09-04,9.258947
2021-09-05,8.128421
2021-09-06,10.568947
2021-09-07,14.06
2021-09-08,15.405789
2021-09-09,17.711054
2021-09-10,17.06105
2021-09-11,16.709473
2021-09-12,16.68158
2021-09-13,14.376315
2021-09-14,11.481579
2021-09-15,10.514737
2021-09-16,10.313158
2021-09-17,10.506315
2021-09-18,8.458947
2021-09-19,7.2052627
2021-09-20,5.9126315
2021-09-21,6.705789
2021-09-22,7.022631
2021-09-23,8.103157
2021-09-24,9.708947
2021-09-25,11.81842
2021-09-26,10.844737
2021-09-27,9.206841
2021-09-28,10.110526
2021-09-29,9.953157
2021-09-30,9.335263
2021-10-01,9.567895
2021-10-02,10.065789
2021-10-03,11.409473
2021-10-04,11.598948
2021-10-05,12.523684
2021-10-06,12.300526
2021-10-07,9.001052
2021-10-08,5.2999997
2021-10-09,6.335789
2021-10-10,7.4826317
2021-10-11,5.682631
2021-10-12,6.1926312
2021-10-13,5.644211
2021-10-14,5.802105
2021-10-15,8.613157
2021-10-16,7.962631
2021-10-17,7.5305257
2021-10-18,5.6294737
2021-10-19,5.118947
2021-10-20,10.576841
2021-10-21,12.574211
2021-10-22,6.809474
2021-10-23,4.8526316
2021-10-24,3.7289474
2021-10-25,5.3194737
2021-10-26,5.4557896
2021-10-27,8.8452635
2021-10-28,11.532631
2021-10-29,9.799474
2021-10-30,8.13842
2021-10-31,9.090527
2021-11-01,7.1357894
2021-11-02,5.358421
2021-11-03,6.4963155
2021-11-04,6.6278944
2021-11-05,7.3763156
2021-11-06,6.4026313
2021-11-07,6.9821053
2021-11-08,3.9615788
2021-11-09,0.046315785
2021-11-10,5.1857896
2021-11-11,7.1152635
2021-11-12,5.547368
2021-11-13,2.3
2021-11-14,2.4678948
2021-11-15,-0.36947367
2021-11-16,1.8689473
2021-11-17,2.542105
2021-11-18,4.404737
2021-11-19,6.1399994
2021-11-20,6.3426313
2021-11-21,4.033158
2021-11-22,-1.106842
2021-11-23,0.15473685
2021-11-24,3.693158
2021-11-25,4.3657894
2021-11-26,3.265263
2021-11-27,0.6947368
2021-11-28,-0.4831579
2021-11-29,-0.31157893
2021-11-30,-2.1226318
2021-12-01,-2.488421
2021-12-02,0.60157895
2021-12-03,-2.2194736
2021-12-04,-2.604737
2021-12-05,-5.683684
2021-12-06,-11.64842
2021-12-07,-13.70263
2021-12-08,-12.82
2021-12-09,-11.078947
2021-12-10,-1.6642104
2021-12-11,0.98421055
2021-12-12,-0.6305263
2021-12-13,-1.3247367
2021-12-14,-0.9031579
2021-12-15,2.0010524
2021-12-16,3.9084208
2021-12-17,2.446842
2021-12-18,2.1326313
2021-12-19,1.308421
2021-12-20,-4.488947
2021-12-21,-8.716842
2021-12-22,-10.881579
2021-12-23,-7.68
2021-12-24,-4.661579
2021-12-25,-5.814737
2021-12-26,-5.284737
2021-12-27,-5.491579
2021-12-28,-9.2263155
2021-12-29,-8.589999
2021-12-30,-4.5689473
2021-12-31,1.1594737
