time,DEG0H
2021-08-22,13.879
2021-08-23,14.704999
2021-08-24,12.516001
2021-08-25,12.339999
2021-08-26,12.816999
2021-08-27,14.839002
2021-08-28,15.736
2021-08-29,14.873999
2021-08-30,15.358999
2021-08-31,15.074999
2021-09-01,14.155001
2021-09-02,12.546
2021-09-03,12.889
2021-09-04,9.909999
2021-09-05,8.518999
2021-09-06,10.2439995
2021-09-07,13.292
2021-09-08,14.525999
2021-09-09,16.895
2021-09-10,17.023998
2021-09-11,16.813
2021-09-12,16.523998
2021-09-13,15.316999
2021-09-14,12.433001
2021-09-15,11.952999
2021-09-16,12.011
2021-09-17,12.039
2021-09-18,8.708
2021-09-19,6.9989996
2021-09-20,5.176
2021-09-21,7.0090003
2021-09-22,7.3599997
2021-09-23,8.372
2021-09-24,10.253
2021-09-25,12.232
2021-09-26,12.256998
2021-09-27,9.908
2021-09-28,9.898999
2021-09-29,10.226
2021-09-30,8.903999
2021-10-01,10.340999
2021-10-02,10.712
2021-10-03,12.286
2021-10-04,12.086999
2021-10-05,13.171999
2021-10-06,12.681
2021-10-07,9.514001
2021-10-08,5.726
2021-10-09,6.378999
2021-10-10,7.0539994
2021-10-11,5.3219995
2021-10-12,6.2739997
2021-10-13,5.0169992
2021-10-14,5.6210003
2021-10-15,9.017
2021-10-16,8.396999
2021-10-17,7.9590006
2021-10-18,6.657
2021-10-19,5.396
2021-10-20,11.085
2021-10-21,12.922999
2021-10-22,8.183001
2021-10-23,6.3199997
2021-10-24,4.371
2021-10-25,4.724
2021-10-26,5.317
2021-10-27,8.554999
2021-10-28,11.828
2021-10-29,10.485001
2021-10-30,9.020999
2021-10-31,9.754
2021-11-01,7.449
2021-11-02,5.358
2021-11-03,6.778
2021-11-04,6.4779997
2021-11-05,8.098
2021-11-06,6.943
2021-11-07,7.104
2021-11-08,4.536
2021-11-09,0.929
2021-11-10,4.1120005
2021-11-11,4.934
2021-11-12,5.443
2021-11-13,2.6169999
2021-11-14,2.925
2021-11-15,1.476
2021-11-16,2.067
2021-11-17,2.058
2021-11-18,4.028
2021-11-19,7.0259995
2021-11-20,7.3780007
2021-11-21,5.3889995
2021-11-22,-0.07199999
2021-11-23,0.146
2021-11-24,3.657
2021-11-25,4.057
2021-11-26,3.3849998
2021-11-27,1.435
2021-11-28,0.166
2021-11-29,0.553
2021-11-30,-1.208
2021-12-01,-2.4979997
2021-12-02,2.422
2021-12-03,-0.339
2021-12-04,-1.028
2021-12-05,-2.501
2021-12-06,-7.683
2021-12-07,-11.58
2021-12-08,-10.8949995
2021-12-09,-9.179999
2021-12-10,-1.537
2021-12-11,1.2129999
2021-12-12,-0.866
2021-12-13,-2.603
2021-12-14,-3.124
2021-12-15,1.2099999
2021-12-16,4.147
2021-12-17,2.692
2021-12-18,1.912
2021-12-19,1.503
2021-12-20,-3.2129998
2021-12-21,-7.5869994
2021-12-22,-10.843
2021-12-23,-8.009
2021-12-24,-3.4649997
2021-12-25,-4.776
2021-12-26,-5.168
2021-12-27,-6.291
2021-12-28,-8.733
2021-12-29,-8.667
2021-12-30,-4.621
2021-12-31,1.6
