time,ITG19
2021-08-20,18.03
2021-08-21,17.789999
2021-08-22,18.333334
2021-08-23,17.479998
2021-08-24,16.109999
2021-08-25,16.593332
2021-08-26,16.053331
2021-08-27,14.636666
2021-08-28,15.993333
2021-08-29,14.493333
2021-08-30,15.69
2021-08-31,14.349999
2021-09-01,14.793332
2021-09-02,15.59
2021-09-03,15.16
2021-09-04,15.823334
2021-09-05,17.359999
2021-09-06,19.683332
2021-09-07,21.439997
2021-09-08,21.113333
2021-09-09,20.339998
2021-09-10,19.823334
2021-09-11,18.703333
2021-09-12,15.649999
2021-09-13,15.679999
2021-09-14,15.116666
2021-09-15,16.609999
2021-09-16,16.603333
2021-09-17,16.253334
2021-09-18,17.199999
2021-09-19,16.81
2021-09-20,15.56
2021-09-21,15.41
2021-09-22,15.5
2021-09-23,16.44
2021-09-24,16.746666
2021-09-25,18.893333
2021-09-26,17.683332
2021-09-27,15.606667
2021-09-28,13.98
2021-09-29,11.233333
2021-09-30,11.863334
2021-10-01,13.923332
2021-10-02,10.149999
2021-10-03,11.276666
2021-10-04,12.693333
2021-10-05,11.356667
2021-10-06,12.443334
2021-10-07,15.986667
2021-10-08,16.316666
2021-10-09,15.246666
2021-10-10,14.986667
2021-10-11,11.919999
2021-10-12,12.176666
2021-10-13,12.78
2021-10-14,13.37
2021-10-15,10.706668
2021-10-16,10.28
2021-10-17,12.81
2021-10-18,12.946667
2021-10-19,16.550001
2021-10-20,14.47
2021-10-21,8.329999
2021-10-22,9.363334
2021-10-23,10.483334
2021-10-24,12.213333
2021-10-25,12.27
2021-10-26,11.303333
2021-10-27,15.143333
2021-10-28,14.599999
2021-10-29,13.053332
2021-10-30,10.38
2021-10-31,8.806666
2021-11-01,9.83
2021-11-02,7.77
2021-11-03,6.72
2021-11-04,7.396666
2021-11-05,6.9133334
2021-11-06,10.536667
2021-11-07,10.259999
2021-11-08,8.143333
2021-11-09,12.12
2021-11-10,11.356667
2021-11-11,10.223333
2021-11-12,11.216666
2021-11-13,12.006665
2021-11-14,10.963333
2021-11-15,10.02
2021-11-16,8.966666
2021-11-17,9.393333
2021-11-18,10.583333
2021-11-19,12.193333
2021-11-20,10.253333
2021-11-21,6.1299996
2021-11-22,5.5366664
2021-11-23,5.2666664
2021-11-24,6.843333
2021-11-25,4.0400004
2021-11-26,4.9566665
2021-11-27,2.993333
2021-11-28,1.06
2021-11-29,0.4433333
2021-11-30,7.1733327
2021-12-01,7.6633334
2021-12-02,2.8566666
2021-12-03,3.82
2021-12-04,5.8700004
2021-12-05,5.27
2021-12-06,2.9033334
2021-12-07,3.2966664
2021-12-08,5.4666667
2021-12-09,5.7400002
2021-12-10,5.4566665
2021-12-11,4.35
2021-12-12,10.253333
2021-12-13,10.329999
2021-12-14,9.063333
2021-12-15,10.0
2021-12-16,7.586666
2021-12-17,4.733333
2021-12-18,5.3666663
2021-12-19,3.1866665
2021-12-20,4.733333
2021-12-21,3.5533333
2021-12-22,0.43666664
2021-12-23,5.41
2021-12-24,6.3266664
2021-12-25,4.0899997
2021-12-26,3.6233332
2021-12-27,6.556667
2021-12-28,8.146667
2021-12-29,8.143333
2021-12-30,11.023334
2021-12-31,13.099999
