time,EL421
2021-08-11,16.611923
2021-08-12,17.13423
2021-08-13,18.674614
2021-08-14,18.273075
2021-08-15,17.156923
2021-08-16,18.242693
2021-08-17,16.640383
2021-08-18,14.997308
2021-08-19,15.341538
2021-08-20,15.729614
2021-08-21,15.161924
2021-08-22,14.182307
2021-08-23,13.738461
2021-08-24,11.606538
2021-08-25,11.593846
2021-08-26,13.070001
2021-08-27,15.101923
2021-08-28,16.867308
2021-08-29,16.30923
2021-08-30,15.686152
2021-08-31,14.845769
2021-09-01,13.243076
2021-09-02,11.741154
2021-09-03,11.957692
2021-09-04,9.195
2021-09-05,8.368461
2021-09-06,11.283076
2021-09-07,14.587309
2021-09-08,16.135384
2021-09-09,17.121538
2021-09-10,17.086924
2021-09-11,16.560768
2021-09-12,16.891153
2021-09-13,14.226923
2021-09-14,11.191538
2021-09-15,9.943461
2021-09-16,9.087307
2021-09-17,9.505769
2021-09-18,8.190385
2021-09-19,7.3888454
2021-09-20,6.140384
2021-09-21,6.530769
2021-09-22,7.120384
2021-09-23,7.321923
2021-09-24,10.156922
2021-09-25,11.780768
2021-09-26,10.215384
2021-09-27,9.143461
2021-09-28,10.435769
2021-09-29,9.916154
2021-09-30,9.543461
2021-10-01,9.626923
2021-10-02,10.145384
2021-10-03,11.628845
2021-10-04,12.021153
2021-10-05,12.374615
2021-10-06,12.586538
2021-10-07,9.7773075
2021-10-08,6.733077
2021-10-09,7.0930767
2021-10-10,8.816923
2021-10-11,6.803461
2021-10-12,6.4123077
2021-10-13,6.524615
2021-10-14,6.53423
2021-10-15,8.748461
2021-10-16,7.7546153
2021-10-17,7.5334616
2021-10-18,5.583846
2021-10-19,4.774231
2021-10-20,10.396539
2021-10-21,12.701153
2021-10-22,6.86
2021-10-23,4.9061537
2021-10-24,4.1492305
2021-10-25,6.219615
2021-10-26,6.231538
2021-10-27,9.330384
2021-10-28,11.36923
2021-10-29,10.489231
2021-10-30,8.830384
2021-10-31,9.283461
2021-11-01,7.8399997
2021-11-02,6.0857697
2021-11-03,6.64
2021-11-04,7.207692
2021-11-05,7.8173075
2021-11-06,6.4784617
2021-11-07,7.0465384
2021-11-08,3.6176922
2021-11-09,0.46999997
2021-11-10,5.4280767
2021-11-11,7.6603847
2021-11-12,6.236153
2021-11-13,2.4253845
2021-11-14,1.8015383
2021-11-15,-1.6553847
2021-11-16,1.681923
2021-11-17,3.661154
2021-11-18,5.0126925
2021-11-19,5.953077
2021-11-20,6.4315386
2021-11-21,3.46
2021-11-22,-0.99115384
2021-11-23,0.65999997
2021-11-24,4.3715386
2021-11-25,5.2223077
2021-11-26,2.7926924
2021-11-27,0.3007692
2021-11-28,-1.3923078
2021-11-29,-1.6980768
2021-11-30,-2.0811539
2021-12-01,-2.6103847
2021-12-02,-1.9342308
2021-12-03,-3.0288463
2021-12-04,-5.464231
2021-12-05,-8.796538
2021-12-06,-14.128462
2021-12-07,-14.671154
2021-12-08,-12.063075
2021-12-09,-11.658076
2021-12-10,-2.7334616
2021-12-11,1.3923075
2021-12-12,0.4184615
2021-12-13,-0.66461533
2021-12-14,0.3253846
2021-12-15,2.9173076
2021-12-16,4.3461537
2021-12-17,2.9861538
2021-12-18,3.395769
2021-12-19,2.2034616
2021-12-20,-4.93
2021-12-21,-8.506924
2021-12-22,-9.157308
2021-12-23,-6.678077
2021-12-24,-5.0749993
2021-12-25,-5.965769
2021-12-26,-5.4303846
2021-12-27,-3.3246155
2021-12-28,-7.1388464
2021-12-29,-7.05423
2021-12-30,-5.041538
2021-12-31,2.051154
