time,DEF0D
2021-08-20,26.174738
2021-08-21,27.259996
2021-08-22,26.885788
2021-08-23,26.13
2021-08-24,25.097895
2021-08-25,25.313683
2021-08-26,25.883156
2021-08-27,27.197369
2021-08-28,26.541052
2021-08-29,25.43895
2021-08-30,24.627367
2021-08-31,25.018946
2021-09-01,23.912104
2021-09-02,23.221054
2021-09-03,24.652632
2021-09-04,24.712105
2021-09-05,26.14105
2021-09-06,26.679474
2021-09-07,26.462103
2021-09-08,25.348946
2021-09-09,25.389471
2021-09-10,25.491053
2021-09-11,24.713158
2021-09-12,25.08263
2021-09-13,24.158422
2021-09-14,22.53158
2021-09-15,23.379475
2021-09-16,22.480524
2021-09-17,22.851051
2021-09-18,23.702631
2021-09-19,21.810001
2021-09-20,21.924736
2021-09-21,18.978418
2021-09-22,19.483685
2021-09-23,21.224737
2021-09-24,22.694738
2021-09-25,23.148422
2021-09-26,21.188421
2021-09-27,21.993158
2021-09-28,21.836315
2021-09-29,21.247368
2021-09-30,23.022106
2021-10-01,21.870525
2021-10-02,22.015265
2021-10-03,20.588945
2021-10-04,16.227367
2021-10-05,17.63
2021-10-06,19.806314
2021-10-07,20.02579
2021-10-08,19.693684
2021-10-09,19.962107
2021-10-10,19.097895
2021-10-11,18.715265
2021-10-12,18.613684
2021-10-13,17.574736
2021-10-14,18.067368
2021-10-15,18.979473
2021-10-16,18.586843
2021-10-17,19.979473
2021-10-18,19.171577
2021-10-19,19.581053
2021-10-20,19.246841
2021-10-21,19.28684
2021-10-22,15.571578
2021-10-23,15.801579
2021-10-24,15.801053
2021-10-25,14.958947
2021-10-26,16.164738
2021-10-27,16.049475
2021-10-28,16.568947
2021-10-29,16.916842
2021-10-30,18.556839
2021-10-31,21.122105
2021-11-01,19.446316
2021-11-02,15.330524
2021-11-03,13.291053
2021-11-04,11.127894
2021-11-05,10.607368
2021-11-06,10.854737
2021-11-07,10.352104
2021-11-08,11.048947
2021-11-09,11.641579
2021-11-10,13.896314
2021-11-11,13.100527
2021-11-12,13.60421
2021-11-13,13.771578
2021-11-14,13.3415785
2021-11-15,11.835263
2021-11-16,9.574737
2021-11-17,10.02842
2021-11-18,11.125262
2021-11-19,12.672631
2021-11-20,13.319473
2021-11-21,14.519999
2021-11-22,12.083158
2021-11-23,9.070525
2021-11-24,8.260526
2021-11-25,9.1947365
2021-11-26,8.088948
2021-11-27,8.085789
2021-11-28,7.3842106
2021-11-29,10.848947
2021-11-30,10.0199995
2021-12-01,8.425263
2021-12-02,9.636315
2021-12-03,9.65
2021-12-04,9.945264
2021-12-05,10.411579
2021-12-06,10.574736
2021-12-07,11.601579
2021-12-08,12.109473
2021-12-09,10.07
2021-12-10,12.542105
2021-12-11,14.909999
2021-12-12,12.055789
2021-12-13,10.643684
2021-12-14,10.013158
2021-12-15,10.69421
2021-12-16,10.501052
2021-12-17,10.31
2021-12-18,9.945788
2021-12-19,10.143684
2021-12-20,9.38421
2021-12-21,11.51842
2021-12-22,10.417894
2021-12-23,11.230527
2021-12-24,12.333158
2021-12-25,11.999474
2021-12-26,13.235263
2021-12-27,15.625789
2021-12-28,14.028947
2021-12-29,13.994211
2021-12-30,12.032631
2021-12-31,11.51
