time,DE40G
2021-01-01,0.54636365
2021-01-02,2.3972728
2021-01-03,1.7572727
2021-01-04,0.75909096
2021-01-05,-0.5327272
2021-01-06,0.11363632
2021-01-07,-0.98999995
2021-01-08,-1.4509088
2021-01-09,-0.580909
2021-01-10,-0.3527272
2021-01-11,-2.1318183
2021-01-12,-1.2690909
2021-01-13,4.092727
2021-01-14,4.609091
2021-01-15,2.1454544
2021-01-16,-0.4818182
2021-01-17,1.4136363
2021-01-18,0.8463636
2021-01-19,1.8672726
2021-01-20,3.1681817
2021-01-21,4.6254544
2021-01-22,5.526364
2021-01-23,2.879091
2021-01-24,2.5800002
2021-01-25,1.9900001
2021-01-26,1.0063636
2021-01-27,1.2645453
2021-01-28,4.79
2021-01-29,7.544545
2021-01-30,5.464545
2021-01-31,4.6081815
2021-02-01,3.7627273
2021-02-02,5.3245454
2021-02-03,6.4881806
2021-02-04,7.220909
2021-02-05,8.6
2021-02-06,7.7263637
2021-02-07,6.100909
2021-02-08,3.7081816
2021-02-09,5.675454
2021-02-10,6.0663633
2021-02-11,5.8572736
2021-02-12,1.4599999
2021-02-13,-1.9827272
2021-02-14,-1.3745456
2021-02-15,0.830909
2021-02-16,4.3909087
2021-02-17,5.811818
2021-02-18,5.8663635
2021-02-19,7.495455
2021-02-20,7.527272
2021-02-21,7.7099996
2021-02-22,8.690909
2021-02-23,10.482728
2021-02-24,10.811817
2021-02-25,10.038181
2021-02-26,9.523636
2021-02-27,8.772727
2021-02-28,6.8809085
2021-03-01,5.5181813
2021-03-02,6.225455
2021-03-03,7.904546
2021-03-04,6.411818
2021-03-05,6.8999987
2021-03-06,5.156364
2021-03-07,5.449091
2021-03-08,6.3736362
2021-03-09,5.0145454
2021-03-10,4.962727
2021-03-11,7.2254543
2021-03-12,7.5190907
2021-03-13,6.359091
2021-03-14,6.150909
2021-03-15,5.741818
2021-03-16,5.6663632
2021-03-17,4.343636
2021-03-18,2.2736363
2021-03-19,1.6981819
2021-03-20,1.1918181
2021-03-21,1.5872726
2021-03-22,4.300909
2021-03-23,5.348182
2021-03-24,7.3563643
2021-03-25,8.453636
2021-03-26,8.947272
2021-03-27,8.447272
2021-03-28,8.340909
2021-03-29,11.0827265
2021-03-30,13.395455
2021-03-31,13.650001
2021-04-01,13.688181
2021-04-02,13.453635
2021-04-03,10.435454
2021-04-04,7.7572727
2021-04-05,8.666363
2021-04-06,6.5718174
2021-04-07,2.22
2021-04-08,4.850909
2021-04-09,6.797272
2021-04-10,7.4881816
2021-04-11,7.4690905
2021-04-12,6.4290905
2021-04-13,5.3654547
2021-04-14,5.25
2021-04-15,4.7336364
2021-04-16,4.6609087
2021-04-17,5.3236365
2021-04-18,5.881818
2021-04-19,6.488182
2021-04-20,7.912727
2021-04-21,8.311818
2021-04-22,9.182727
2021-04-23,11.094546
2021-04-24,12.181818
2021-04-25,12.762727
2021-04-26,11.57
2021-04-27,10.308182
2021-04-28,10.652727
2021-04-29,9.991817
2021-04-30,10.844544
2021-05-01,9.562727
2021-05-02,9.339999
2021-05-03,9.220908
2021-05-04,9.682727
2021-05-05,11.364546
2021-05-06,10.3154545
2021-05-07,12.706363
2021-05-08,12.067272
2021-05-09,13.983636
2021-05-10,14.760907
2021-05-11,10.958182
2021-05-12,10.937273
2021-05-13,10.095455
2021-05-14,8.558182
2021-05-15,8.58909
2021-05-16,11.771817
2021-05-17,12.204545
2021-05-18,11.212727
2021-05-19,10.882727
2021-05-20,12.095453
2021-05-21,11.5654545
2021-05-22,11.861817
2021-05-23,13.234546
2021-05-24,10.983636
2021-05-25,11.778182
2021-05-26,12.281817
2021-05-27,13.519999
2021-05-28,14.753635
2021-05-29,15.648182
2021-05-30,14.850907
2021-05-31,14.679091
2021-06-01,15.353638
2021-06-02,14.576364
2021-06-03,16.139091
2021-06-04,17.91909
2021-06-05,16.56909
2021-06-06,15.714545
2021-06-07,16.20091
2021-06-08,16.22909
2021-06-09,17.540909
2021-06-10,18.05091
2021-06-11,18.33
2021-06-12,19.45909
2021-06-13,20.989998
2021-06-14,21.357271
2021-06-15,20.791819
2021-06-16,20.857271
2021-06-17,21.199091
2021-06-18,20.891817
2021-06-19,20.63636
2021-06-20,21.20818
2021-06-21,19.35909
2021-06-22,18.733637
2021-06-23,18.502726
2021-06-24,17.18182
2021-06-25,17.56091
2021-06-26,18.206366
2021-06-27,20.270908
2021-06-28,21.53818
2021-06-29,19.556362
2021-06-30,17.12091
2021-07-01,18.192726
2021-07-02,19.118181
2021-07-03,18.955454
2021-07-04,17.155455
2021-07-05,19.032726
2021-07-06,20.566362
2021-07-07,20.256365
2021-07-08,18.839092
2021-07-09,18.520906
2021-07-10,19.593637
2021-07-11,19.332726
2021-07-12,20.003637
2021-07-13,18.345455
2021-07-14,15.244544
2021-07-15,16.569092
2021-07-16,17.64818
2021-07-17,19.52909
2021-07-18,22.29
2021-07-19,22.391817
2021-07-20,21.743635
2021-07-21,21.83818
2021-07-22,21.502728
2021-07-23,21.870909
2021-07-24,22.478182
2021-07-25,20.84909
2021-07-26,20.252728
2021-07-27,20.029999
2021-07-28,19.972729
2021-07-29,20.87909
2021-07-30,21.164543
2021-07-31,20.661818
2021-08-01,17.770908
2021-08-02,17.372728
2021-08-03,17.434544
2021-08-04,16.716362
