time,DEA1A
2021-01-01,1.6166667
2021-01-02,-0.20666666
2021-01-03,0.29333332
2021-01-04,0.26
2021-01-05,0.41333333
2021-01-06,1.4699999
2021-01-07,1.0566666
2021-01-08,0.6933333
2021-01-09,0.5
2021-01-10,-0.3033333
2021-01-11,-0.47
2021-01-12,1.06
2021-01-13,1.4066666
2021-01-14,0.63333327
2021-01-15,-0.43999997
2021-01-16,-2.8466666
2021-01-17,-4.473333
2021-01-18,-0.8299999
2021-01-19,2.7666664
2021-01-20,5.806667
2021-01-21,8.366666
2021-01-22,7.33
2021-01-23,1.1733333
2021-01-24,0.55333334
2021-01-25,0.73999995
2021-01-26,-0.08
2021-01-27,1.3566666
2021-01-28,2.0566666
2021-01-29,-0.54
2021-01-30,-1.5833334
2021-01-31,-7.2599998
2021-02-01,-3.7833335
2021-02-02,2.47
2021-02-03,7.736666
2021-02-04,3.9399998
2021-02-05,1.18
2021-02-06,-0.79333335
2021-02-07,-6.2599998
2021-02-08,-9.849999
2021-02-09,-12.209999
2021-02-10,-11.88
2021-02-11,-7.0166664
2021-02-12,-8.336666
2021-02-13,-11.316666
2021-02-14,-10.793334
2021-02-15,-7.773333
2021-02-16,2.283333
2021-02-17,4.6200004
2021-02-18,6.566666
2021-02-19,5.853333
2021-02-20,5.99
2021-02-21,6.343333
2021-02-22,5.11
2021-02-23,9.426666
2021-02-24,11.053333
2021-02-25,10.673333
2021-02-26,5.273333
2021-02-27,3.9033334
2021-02-28,3.95
2021-03-01,2.6233332
2021-03-02,1.6433333
2021-03-03,5.11
2021-03-04,4.2433333
2021-03-05,1.2266666
2021-03-06,1.1166667
2021-03-07,2.59
2021-03-08,1.5333333
2021-03-09,-0.10333333
2021-03-10,1.9266666
2021-03-11,7.0766664
2021-03-12,7.0499997
2021-03-13,6.886667
2021-03-14,5.0366664
2021-03-15,4.2599998
2021-03-16,4.1633334
2021-03-17,1.9233333
2021-03-18,0.73
2021-03-19,0.82666665
2021-03-20,-0.33666667
2021-03-21,4.0099998
2021-03-22,4.146667
2021-03-23,5.5466666
2021-03-24,7.28
2021-03-25,8.326667
2021-03-26,8.923333
2021-03-27,6.4466667
2021-03-28,7.306666
2021-03-29,13.459999
2021-03-30,13.436666
2021-03-31,12.740001
2021-04-01,11.176666
2021-04-02,6.773333
2021-04-03,5.1
2021-04-04,3.5966666
2021-04-05,3.1633332
2021-04-06,1.3100001
2021-04-07,2.86
2021-04-08,3.7633333
2021-04-09,6.853333
2021-04-10,6.0266666
2021-04-11,12.496666
2021-04-12,4.1733336
2021-04-13,3.7833335
2021-04-14,3.51
2021-04-15,2.8433332
2021-04-16,5.6066666
2021-04-17,6.8033333
2021-04-18,6.8366666
2021-04-19,8.413333
2021-04-20,10.053332
2021-04-21,11.13
2021-04-22,6.9066663
2021-04-23,7.343333
2021-04-24,5.85
2021-04-25,5.483333
2021-04-26,3.8
2021-04-27,5.986666
2021-04-28,10.083333
2021-04-29,11.886666
2021-04-30,8.406667
2021-05-01,10.156667
2021-05-02,7.97
2021-05-03,7.4799995
2021-05-04,10.2
2021-05-05,8.986667
2021-05-06,7.486666
2021-05-07,6.4
2021-05-08,9.919999
2021-05-09,18.906668
2021-05-10,21.019999
2021-05-11,19.616667
2021-05-12,13.126666
2021-05-13,11.0
2021-05-14,11.436666
2021-05-15,12.543334
2021-05-16,12.403333
2021-05-17,12.686666
2021-05-18,12.146667
2021-05-19,10.973332
2021-05-20,12.32
2021-05-21,14.976666
2021-05-22,12.946667
2021-05-23,11.936667
2021-05-24,15.0199995
2021-05-25,12.086666
2021-05-26,10.88
2021-05-27,10.416667
2021-05-28,11.463333
2021-05-29,11.716666
2021-05-30,12.490001
2021-05-31,13.516666
2021-06-01,15.989999
2021-06-02,17.72
2021-06-03,19.93
2021-06-04,19.526667
2021-06-05,20.466665
2021-06-06,20.723333
2021-06-07,20.413332
2021-06-08,20.396666
2021-06-09,20.789999
2021-06-10,19.846666
2021-06-11,21.28
2021-06-12,18.586668
2021-06-13,14.27
2021-06-14,17.589998
2021-06-15,19.866667
2021-06-16,22.033333
2021-06-17,25.516665
2021-06-18,26.019999
2021-06-19,26.396667
2021-06-20,26.039999
2021-06-21,24.303335
2021-06-22,17.69
2021-06-23,17.51
2021-06-24,16.736666
2021-06-25,18.183332
2021-06-26,20.153332
2021-06-27,20.44
2021-06-28,23.153334
2021-06-29,21.906668
2021-06-30,18.04
2021-07-01,16.206667
2021-07-02,17.74
2021-07-03,18.916666
2021-07-04,21.26
2021-07-05,19.29
2021-07-06,22.113333
2021-07-07,17.956667
2021-07-08,17.98
2021-07-09,17.786667
2021-07-10,19.21
2021-07-11,20.576666
2021-07-12,20.5
2021-07-13,22.966665
2021-07-14,20.609999
2021-07-15,20.816668
2021-07-16,22.103333
2021-07-17,21.436666
2021-07-18,21.203333
