time,DE40E
2021-01-01,-4.082
2021-01-02,-2.832
2021-01-03,-3.166
2021-01-04,-2.8679998
2021-01-05,-4.328
2021-01-06,-6.082
2021-01-07,-7.634
2021-01-08,-8.198
2021-01-09,-5.9019995
2021-01-10,-5.564
2021-01-11,-6.4339995
2021-01-12,-4.724
2021-01-13,-0.23800011
2021-01-14,1.206
2021-01-15,-3.3439999
2021-01-16,-6.6019998
2021-01-17,-4.356
2021-01-18,-4.084
2021-01-19,-2.486
2021-01-20,-1.548
2021-01-21,-1.2479999
2021-01-22,-0.904
2021-01-23,-2.01
2021-01-24,-3.4880002
2021-01-25,-4.65
2021-01-26,-5.016
2021-01-27,-4.688
2021-01-28,-0.292
2021-01-29,1.3999999
2021-01-30,0.6559999
2021-01-31,-0.05
2021-02-01,0.10400005
2021-02-02,1.578
2021-02-03,1.8840001
2021-02-04,2.4880002
2021-02-05,3.64
2021-02-06,2.9520001
2021-02-07,-0.544
2021-02-08,-2.308
2021-02-09,-0.6079999
2021-02-10,-0.784
2021-02-11,-2.186
2021-02-12,-3.678
2021-02-13,-7.486
2021-02-14,-6.5360003
2021-02-15,-2.406
2021-02-16,1.6060002
2021-02-17,2.1620002
2021-02-18,1.4859998
2021-02-19,3.14
2021-02-20,3.652
2021-02-21,3.934
2021-02-22,4.054
2021-02-23,5.6080003
2021-02-24,6.678
2021-02-25,6.186
2021-02-26,5.9939995
2021-02-27,5.514
2021-02-28,3.4219997
2021-03-01,2.192
2021-03-02,3.0700002
2021-03-03,3.5399997
2021-03-04,3.27
2021-03-05,1.28
2021-03-06,-0.63600004
2021-03-07,-0.15799999
2021-03-08,0.20400009
2021-03-09,-0.98399985
2021-03-10,-0.21800008
2021-03-11,3.468
2021-03-12,1.536
2021-03-13,1.636
2021-03-14,-0.83599985
2021-03-15,-0.6999999
2021-03-16,-0.78
2021-03-17,-1.408
2021-03-18,-3.4239998
2021-03-19,-4.8079996
2021-03-20,-3.7819996
2021-03-21,-2.914
2021-03-22,-0.354
2021-03-23,0.98600006
2021-03-24,2.794
2021-03-25,4.0839996
2021-03-26,4.212
2021-03-27,3.074
2021-03-28,4.166
2021-03-29,7.412
2021-03-30,9.592
2021-03-31,9.83
2021-04-01,10.136
2021-04-02,9.575999
2021-04-03,5.582
2021-04-04,3.382
2021-04-05,3.8
2021-04-06,-2.0279999
2021-04-07,-4.0959997
2021-04-08,-0.446
2021-04-09,2.4520001
2021-04-10,2.756
2021-04-11,3.02
2021-04-12,0.602
2021-04-13,-0.33399993
2021-04-14,-1.1379999
2021-04-15,-1.9439999
2021-04-16,-0.4940001
2021-04-17,0.9540001
2021-04-18,0.858
2021-04-19,1.9739997
2021-04-20,3.89
2021-04-21,3.9080002
2021-04-22,5.258
2021-04-23,7.168
2021-04-24,8.846
2021-04-25,9.601999
2021-04-26,7.04
2021-04-27,6.0099998
2021-04-28,6.276
2021-04-29,5.174
2021-04-30,6.0699997
2021-05-01,4.882
2021-05-02,4.042
2021-05-03,4.738
