time,FRE11
2021-01-01,1.3633332
2021-01-02,3.2844443
2021-01-03,2.8799999
2021-01-04,3.1244442
2021-01-05,3.078889
2021-01-06,2.7499998
2021-01-07,0.41777772
2021-01-08,2.2699997
2021-01-09,1.1788889
2021-01-10,1.9844445
2021-01-11,6.7388887
2021-01-12,7.7977777
2021-01-13,6.797777
2021-01-14,8.302222
2021-01-15,3.071111
2021-01-16,6.081111
2021-01-17,6.2144446
2021-01-18,6.115556
2021-01-19,9.509999
2021-01-20,9.32
2021-01-21,4.1977777
2021-01-22,4.112222
2021-01-23,2.4277778
2021-01-24,0.65
2021-01-25,2.1111112
2021-01-26,4.26
2021-01-27,8.254444
2021-01-28,9.593333
2021-01-29,8.683332
2021-01-30,6.44
2021-01-31,1.311111
2021-02-01,3.76
2021-02-02,7.7599998
2021-02-03,7.744444
2021-02-04,7.7777777
2021-02-05,5.838888
2021-02-06,3.9166667
2021-02-07,2.3533335
2021-02-08,1.2955556
2021-02-09,0.096666664
2021-02-10,0.28444442
2021-02-11,-1.3766665
2021-02-12,1.0999999
2021-02-13,-0.22222222
2021-02-14,4.703333
2021-02-15,8.811111
2021-02-16,9.139999
2021-02-17,8.12
2021-02-18,7.077778
2021-02-19,6.8977776
2021-02-20,9.872222
2021-02-21,8.507777
2021-02-22,8.191112
2021-02-23,8.201112
2021-02-24,10.657779
2021-02-25,7.641111
2021-02-26,5.412222
2021-02-27,5.6366663
2021-02-28,5.4666667
2021-03-01,5.801111
2021-03-02,4.711111
2021-03-03,4.8222218
2021-03-04,5.085555
2021-03-05,4.038889
2021-03-06,2.4955556
2021-03-07,1.9822221
2021-03-08,3.8511107
2021-03-09,5.192222
2021-03-10,8.505556
2021-03-11,8.182222
2021-03-12,6.3877773
2021-03-13,5.48
2021-03-14,6.6888885
2021-03-15,8.557777
2021-03-16,8.864445
2021-03-17,7.1088886
2021-03-18,6.308889
2021-03-19,8.356667
2021-03-20,8.053333
2021-03-21,8.286666
2021-03-22,6.5144444
2021-03-23,7.9222226
2021-03-24,8.718889
2021-03-25,8.579999
2021-03-26,8.345555
2021-03-27,6.631111
2021-03-28,9.482222
2021-03-29,11.322223
2021-03-30,12.383334
2021-03-31,10.9766655
2021-04-01,10.675555
2021-04-02,7.1944437
2021-04-03,6.361111
2021-04-04,6.5966663
2021-04-05,5.103333
2021-04-06,3.2411108
2021-04-07,4.2311115
2021-04-08,7.0066667
2021-04-09,6.768889
2021-04-10,4.63
2021-04-11,3.7366667
2021-04-12,4.948889
2021-04-13,6.4677773
2021-04-14,6.0466666
2021-04-15,5.9922223
2021-04-16,5.6911106
2021-04-17,6.6644444
2021-04-18,7.193333
2021-04-19,8.593334
2021-04-20,9.581112
2021-04-21,10.74
2021-04-22,8.454444
2021-04-23,10.619999
2021-04-24,11.203334
2021-04-25,8.807777
2021-04-26,7.618889
2021-04-27,8.044444
2021-04-28,7.8044443
2021-04-29,6.882222
2021-04-30,6.031111
2021-05-01,5.9344444
2021-05-02,6.853333
2021-05-03,8.29
2021-05-04,8.332222
2021-05-05,6.4011106
2021-05-06,6.038889
2021-05-07,6.768889
2021-05-08,9.386666
2021-05-09,11.55222
2021-05-10,10.845555
2021-05-11,9.815556
2021-05-12,9.172222
2021-05-13,9.165555
2021-05-14,10.646667
2021-05-15,10.138889
2021-05-16,10.313333
2021-05-17,10.713333
2021-05-18,10.272222
2021-05-19,10.42
2021-05-20,9.886666
2021-05-21,9.59
2021-05-22,9.164445
2021-05-23,8.49111
2021-05-24,8.112223
2021-05-25,9.746667
