time,DEF0A
2021-08-21,27.897085
2021-08-22,28.602081
2021-08-23,27.716667
2021-08-24,26.21208
2021-08-25,24.793749
2021-08-26,26.455833
2021-08-27,26.87625
2021-08-28,24.92
2021-08-29,24.244165
2021-08-30,23.828749
2021-08-31,25.18958
2021-09-01,23.590834
2021-09-02,22.542084
2021-09-03,23.542917
2021-09-04,24.745415
2021-09-05,26.599165
2021-09-06,28.620417
2021-09-07,27.00458
2021-09-08,23.619583
2021-09-09,22.808334
2021-09-10,23.500418
2021-09-11,23.811666
2021-09-12,25.177917
2021-09-13,23.835
2021-09-14,20.249584
2021-09-15,20.25125
2021-09-16,20.70875
2021-09-17,21.71375
2021-09-18,22.0725
2021-09-19,20.929583
2021-09-20,20.85375
2021-09-21,18.812918
2021-09-22,19.2475
2021-09-23,21.117916
2021-09-24,21.085
2021-09-25,20.135834
2021-09-26,19.276249
2021-09-27,20.875835
2021-09-28,21.11875
2021-09-29,20.804165
2021-09-30,21.99125
2021-10-01,20.925415
2021-10-02,20.958748
2021-10-03,17.05375
2021-10-04,14.417916
2021-10-05,16.1675
2021-10-06,19.461668
2021-10-07,19.426666
2021-10-08,19.751665
2021-10-09,18.850414
2021-10-10,19.425417
2021-10-11,19.421667
2021-10-12,19.155832
2021-10-13,18.075834
2021-10-14,18.226665
2021-10-15,18.479166
2021-10-16,18.14875
2021-10-17,19.754166
2021-10-18,19.819998
2021-10-19,20.180416
2021-10-20,19.832499
2021-10-21,17.723333
2021-10-22,14.927083
2021-10-23,15.310416
2021-10-24,15.094583
2021-10-25,15.054584
2021-10-26,16.159582
2021-10-27,15.459583
2021-10-28,15.377083
2021-10-29,16.194166
2021-10-30,18.0525
2021-10-31,19.217916
2021-11-01,16.689165
2021-11-02,13.079999
2021-11-03,10.15
2021-11-04,8.427501
2021-11-05,7.7704167
2021-11-06,7.4908333
2021-11-07,7.838333
2021-11-08,9.09
2021-11-09,10.085416
2021-11-10,10.741666
2021-11-11,10.117499
2021-11-12,10.924583
2021-11-13,11.739583
2021-11-14,11.767085
2021-11-15,10.260417
2021-11-16,8.404584
2021-11-17,8.477083
2021-11-18,10.469167
2021-11-19,12.136666
2021-11-20,11.452915
2021-11-21,11.9325
2021-11-22,8.822499
2021-11-23,5.6008334
2021-11-24,5.4504166
2021-11-25,6.480833
2021-11-26,6.7491665
2021-11-27,5.18875
2021-11-28,3.7979164
2021-11-29,8.667916
2021-11-30,8.105832
2021-12-01,6.147917
2021-12-02,6.247083
2021-12-03,6.273333
