time,AL011
2021-01-01,2.6399999
2021-01-02,2.34
2021-01-03,1.66
2021-01-04,1.66
2021-01-05,2.01
2021-01-06,2.45
2021-01-07,2.02
2021-01-08,1.37
2021-01-09,0.48999998
2021-01-10,-2.3
2021-01-11,-2.3
2021-01-12,1.92
2021-01-13,1.26
2021-01-14,1.79
2021-01-15,-0.02
2021-01-16,-0.53
2021-01-17,-0.31
2021-01-18,3.21
2021-01-19,3.1
2021-01-20,5.68
2021-01-21,8.559999
2021-01-22,5.9
2021-01-23,3.8799999
2021-01-24,1.8499999
2021-01-25,1.05
2021-01-26,2.29
2021-01-27,1.11
2021-01-28,7.1499996
2021-01-29,9.74
2021-01-30,5.0
2021-01-31,1.53
2021-02-01,3.9099998
2021-02-02,8.309999
2021-02-03,10.9
2021-02-04,7.75
2021-02-05,6.16
2021-02-06,6.0099998
2021-02-07,3.57
2021-02-08,-3.35
2021-02-09,-6.44
2021-02-10,-7.39
2021-02-11,-5.79
2021-02-12,-5.0899997
2021-02-13,-4.95
2021-02-14,-2.95
2021-02-15,-0.38
2021-02-16,5.2999997
2021-02-17,7.6499996
2021-02-18,5.06
2021-02-19,7.24
2021-02-20,7.75
2021-02-21,6.91
2021-02-22,5.94
2021-02-23,9.969999
2021-02-24,10.5
2021-02-25,10.07
2021-02-26,5.47
2021-02-27,4.95
2021-02-28,4.27
2021-03-01,5.67
2021-03-02,6.1099997
2021-03-03,6.48
2021-03-04,8.7
2021-03-05,3.77
2021-03-06,1.41
2021-03-07,1.78
2021-03-08,2.4199998
2021-03-09,3.47
2021-03-10,6.91
2021-03-11,9.82
2021-03-12,7.4199996
2021-03-13,7.18
2021-03-14,5.2
2021-03-15,5.97
2021-03-16,5.67
2021-03-17,4.21
2021-03-18,3.1299999
2021-03-19,3.11
2021-03-20,2.45
2021-03-21,5.8199997
2021-03-22,5.77
2021-03-23,5.8799996
2021-03-24,6.24
2021-03-25,8.86
2021-03-26,10.929999
2021-03-27,8.07
2021-03-28,10.15
2021-03-29,12.54
2021-03-30,12.42
2021-03-31,14.04
2021-04-01,15.46
2021-04-02,8.48
2021-04-03,7.8399997
2021-04-04,6.24
2021-04-05,3.8899999
2021-04-06,2.54
2021-04-07,2.9199998
2021-04-08,4.33
2021-04-09,8.94
2021-04-10,11.36
2021-04-11,9.05
2021-04-12,4.62
2021-04-13,3.82
2021-04-14,4.13
2021-04-15,4.8199997
2021-04-16,5.39
2021-04-17,7.17
2021-04-18,8.47
2021-04-19,8.86
2021-04-20,9.38
2021-04-21,11.54
2021-04-22,9.599999
2021-04-23,9.05
2021-04-24,10.84
2021-04-25,9.82
2021-04-26,9.5199995
2021-04-27,10.389999
2021-04-28,12.37
2021-04-29,11.98
2021-04-30,6.96
2021-05-01,9.46
2021-05-02,9.679999
2021-05-03,9.13
2021-05-04,10.599999
2021-05-05,8.5
2021-05-06,7.3399997
2021-05-07,8.32
2021-05-08,10.32
2021-05-09,18.619999
2021-05-10,16.3
2021-05-11,13.37
2021-05-12,12.96
2021-05-13,12.259999
2021-05-14,12.91
2021-05-15,11.42
2021-05-16,12.62
2021-05-17,12.36
2021-05-18,11.8
2021-05-19,11.75
2021-05-20,13.009999
2021-05-21,14.09
2021-05-22,12.37
2021-05-23,12.259999
2021-05-24,12.13
2021-05-25,10.969999
2021-05-26,10.95
2021-05-27,11.429999
2021-05-28,13.2
2021-05-29,15.299999
2021-05-30,15.42
2021-05-31,16.01
2021-06-01,17.66
2021-06-02,19.949999
2021-06-03,20.689999
2021-06-04,20.34
2021-06-05,18.66
2021-06-06,17.44
2021-06-07,17.48
2021-06-08,19.83
2021-06-09,21.16
2021-06-10,21.49
2021-06-11,21.93
2021-06-12,21.1
2021-06-13,18.06
2021-06-14,20.17
2021-06-15,22.67
2021-06-16,24.76
2021-06-17,26.289999
2021-06-18,26.83
2021-06-19,26.8
2021-06-20,24.4
2021-06-21,21.48
2021-06-22,16.76
2021-06-23,19.529999
2021-06-24,17.73
2021-06-25,18.16
2021-06-26,19.71
2021-06-27,22.039999
2021-06-28,22.24
2021-06-29,18.89
2021-06-30,16.609999
2021-07-01,15.96
2021-07-02,18.4
2021-07-03,20.49
2021-07-04,19.05
2021-07-05,18.869999
2021-07-06,18.09
2021-07-07,19.32
2021-07-08,18.369999
2021-07-09,18.35
2021-07-10,19.84
2021-07-11,18.68
2021-07-12,20.24
2021-07-13,17.88
2021-07-14,16.57
2021-07-15,18.73
2021-07-16,19.67
2021-07-17,21.08
2021-07-18,22.119999
2021-07-19,21.16
2021-07-20,18.88
2021-07-21,19.33
2021-07-22,20.22
2021-07-23,20.89
2021-07-24,20.76
2021-07-25,21.06
2021-07-26,21.08
2021-07-27,20.65
2021-07-28,19.08
2021-07-29,18.98
2021-07-30,20.81
2021-07-31,19.23
2021-08-01,18.42
2021-08-02,16.49
2021-08-03,16.1
2021-08-04,17.13
2021-08-05,18.55
2021-08-06,18.43
2021-08-07,17.98
2021-08-08,16.75
2021-08-09,17.75
2021-08-10,19.199999
2021-08-11,20.72
2021-08-12,21.609999
2021-08-13,23.46
2021-08-14,22.66
2021-08-15,22.68
2021-08-16,18.64
2021-08-17,14.61
2021-08-18,17.5
2021-08-19,18.92
2021-08-20,19.64
2021-08-21,20.31
2021-08-22,18.08
2021-08-23,17.83
2021-08-24,16.05
2021-08-25,16.89
2021-08-26,16.33
2021-08-27,14.99
2021-08-28,15.219999
2021-08-29,15.25
2021-08-30,16.83
2021-08-31,16.279999
2021-09-01,15.809999
2021-09-02,17.34
2021-09-03,17.869999
2021-09-04,18.15
2021-09-05,19.369999
2021-09-06,19.32
2021-09-07,18.77
2021-09-08,19.02
2021-09-09,20.18
2021-09-10,20.43
2021-09-11,18.97
2021-09-12,16.85
2021-09-13,17.39
2021-09-14,19.15
2021-09-15,19.77
2021-09-16,16.93
2021-09-17,15.5
2021-09-18,15.32
2021-09-19,14.79
2021-09-20,14.34
2021-09-21,13.4
2021-09-22,11.84
2021-09-23,14.549999
2021-09-24,15.79
2021-09-25,15.62
2021-09-26,17.279999
2021-09-27,17.27
2021-09-28,13.67
2021-09-29,13.04
2021-09-30,10.7699995
2021-10-01,11.41
2021-10-02,16.27
2021-10-03,17.73
2021-10-04,12.969999
2021-10-05,13.25
2021-10-06,11.599999
2021-10-07,11.5
2021-10-08,11.75
2021-10-09,10.46
2021-10-10,7.77
2021-10-11,6.48
2021-10-12,9.23
2021-10-13,7.89
2021-10-14,9.51
2021-10-15,9.53
2021-10-16,7.52
2021-10-17,7.62
2021-10-18,8.66
2021-10-19,11.099999
2021-10-20,14.37
2021-10-21,12.4
2021-10-22,7.83
2021-10-23,7.6699996
2021-10-24,5.06
2021-10-25,6.15
2021-10-26,11.05
2021-10-27,9.78
2021-10-28,6.41
2021-10-29,6.5899997
2021-10-30,6.1
