time,FRL04
2021-01-01,6.0816665
2021-01-02,3.4075
2021-01-03,5.9833336
2021-01-04,7.605833
2021-01-05,6.8058333
2021-01-06,4.2416663
2021-01-07,6.582499
2021-01-08,2.5108333
2021-01-09,1.4683332
2021-01-10,0.22833334
2021-01-11,-0.0066667
2021-01-12,0.68499994
2021-01-13,0.6775
2021-01-14,-0.8341667
2021-01-15,-2.0516665
2021-01-16,-5.3266664
2021-01-17,-8.316667
2021-01-18,-5.3116665
2021-01-19,-7.728333
2021-01-20,-2.055833
2021-01-21,1.4266666
2021-01-22,2.9399998
2021-01-23,5.1141663
2021-01-24,6.4174995
2021-01-25,4.325833
2021-01-26,1.4458332
2021-01-27,-0.20750003
2021-01-28,-0.2033333
2021-01-29,0.2075
2021-01-30,4.5891666
2021-01-31,1.9425
2021-02-01,0.93333334
2021-02-02,1.4508333
2021-02-03,4.1141667
2021-02-04,7.799166
2021-02-05,6.5808334
2021-02-06,3.7241666
2021-02-07,0.87583333
2021-02-08,3.1841667
2021-02-09,8.52
2021-02-10,9.634999
2021-02-11,8.1425
2021-02-12,-1.5983334
2021-02-13,-7.1941667
2021-02-14,-3.625
2021-02-15,-1.6616665
2021-02-16,-4.4366665
2021-02-17,-3.6500003
2021-02-18,1.2724999
2021-02-19,-3.2216663
2021-02-20,-0.51916665
2021-02-21,2.7275
2021-02-22,0.9966666
2021-02-23,4.5516663
2021-02-24,2.6383333
2021-02-25,7.3775
2021-02-26,10.295
2021-02-27,8.090833
2021-02-28,5.5108333
2021-03-01,3.6258335
2021-03-02,6.0633335
2021-03-03,6.3833327
2021-03-04,6.6424994
2021-03-05,8.523334
2021-03-06,5.396667
2021-03-07,1.1658332
2021-03-08,2.0708334
2021-03-09,1.8224999
2021-03-10,0.6716666
2021-03-11,-0.24833335
2021-03-12,1.2391666
2021-03-13,3.4691665
2021-03-14,6.7675
2021-03-15,6.738333
2021-03-16,5.4891663
2021-03-17,3.8324997
2021-03-18,3.9633331
2021-03-19,2.8291667
