time,BG324
2021-01-01,2.4959998
2021-01-02,0.9434999
2021-01-03,1.019
2021-01-04,0.896
2021-01-05,-1.2865001
2021-01-06,-1.457
2021-01-07,-0.227
2021-01-08,-1.6200001
2021-01-09,-0.8354999
2021-01-10,0.709
2021-01-11,-1.0189999
2021-01-12,-0.9525
2021-01-13,-0.593
2021-01-14,-0.96500003
2021-01-15,-0.24850002
2021-01-16,0.545
2021-01-17,-0.13500002
2021-01-18,2.2044997
2021-01-19,2.6915
2021-01-20,8.213499
2021-01-21,9.851
2021-01-22,7.2175
2021-01-23,7.7280006
2021-01-24,7.9125
2021-01-25,10.383
2021-01-26,11.7365
2021-01-27,12.607499
2021-01-28,11.580999
2021-01-29,11.952
2021-01-30,8.6315
2021-01-31,10.312499
2021-02-01,9.8505
2021-02-02,10.427
2021-02-03,10.2005
2021-02-04,7.3780007
2021-02-05,7.992999
2021-02-06,6.5549994
2021-02-07,4.7285
2021-02-08,6.6045
2021-02-09,5.9705
2021-02-10,8.571501
2021-02-11,11.431999
2021-02-12,9.846999
2021-02-13,8.842
2021-02-14,9.728499
2021-02-15,10.821
2021-02-16,10.5525
2021-02-17,10.551001
2021-02-18,10.6755
2021-02-19,10.744
2021-02-20,10.99
2021-02-21,8.041499
2021-02-22,6.3529997
2021-02-23,7.4830003
2021-02-24,9.5345
2021-02-25,9.4125
2021-02-26,10.981001
2021-02-27,9.944999
2021-02-28,7.788999
2021-03-01,8.764501
2021-03-02,8.962999
2021-03-03,10.1965
2021-03-04,10.530001
2021-03-05,10.693499
2021-03-06,9.14
2021-03-07,8.8315
2021-03-08,6.8344984
2021-03-09,5.8674994
2021-03-10,7.5309997
2021-03-11,11.085
2021-03-12,8.0905
2021-03-13,6.9440002
2021-03-14,8.234501
2021-03-15,8.939501
2021-03-16,9.492499
2021-03-17,10.521501
2021-03-18,7.0875
2021-03-19,7.3300004
2021-03-20,5.4014997
2021-03-21,5.6365004
2021-03-22,7.6345
2021-03-23,9.342
2021-03-24,10.5355
2021-03-25,10.9875
2021-03-26,10.460501
2021-03-27,9.836
2021-03-28,12.901499
2021-03-29,14.201999
2021-03-30,15.041
2021-03-31,17.789
2021-04-01,16.5955
2021-04-02,13.268999
2021-04-03,12.741499
2021-04-04,11.009999
2021-04-05,12.469
2021-04-06,12.5164995
2021-04-07,10.803499
2021-04-08,13.415998
2021-04-09,12.442999
2021-04-10,13.045
2021-04-11,10.084499
2021-04-12,8.863501
2021-04-13,10.544998
2021-04-14,13.720999
2021-04-15,12.840001
2021-04-16,9.497499
2021-04-17,8.2245
2021-04-18,10.237999
2021-04-19,13.6685
2021-04-20,12.723999
2021-04-21,11.222
2021-04-22,13.1625
2021-04-23,13.656499
2021-04-24,14.848
2021-04-25,13.110499
2021-04-26,13.481999
2021-04-27,14.222
2021-04-28,12.9145
2021-04-29,10.918501
2021-04-30,10.1215
2021-05-01,10.351
2021-05-02,9.997001
2021-05-03,12.547998
2021-05-04,13.240999
2021-05-05,14.4885
2021-05-06,15.9965
2021-05-07,17.3335
2021-05-08,17.41
2021-05-09,10.656
2021-05-10,9.907999
2021-05-11,9.726
2021-05-12,12.374
2021-05-13,11.7395
2021-05-14,13.709
2021-05-15,15.634499
2021-05-16,15.5964985
2021-05-17,15.594
2021-05-18,16.325
2021-05-19,15.3815
2021-05-20,18.305998
2021-05-21,16.939
2021-05-22,11.524999
2021-05-23,12.253499
2021-05-24,13.324499
2021-05-25,14.7214985
2021-05-26,18.426
2021-05-27,18.928501
2021-05-28,20.803
2021-05-29,21.0805
2021-05-30,21.94
2021-05-31,21.831997
2021-06-01,17.5945
2021-06-02,17.646498
2021-06-03,17.9865
2021-06-04,17.89
2021-06-05,18.681498
2021-06-06,20.2035
2021-06-07,21.5235
2021-06-08,22.575
2021-06-09,22.755
2021-06-10,23.297499
2021-06-11,23.4225
