time,DE26A
2021-08-17,12.116666
2021-08-18,15.179999
2021-08-19,15.963332
2021-08-20,15.773334
2021-08-21,18.019999
2021-08-22,16.316666
2021-08-23,16.236666
2021-08-24,14.929999
2021-08-25,15.009999
2021-08-26,14.149999
2021-08-27,13.12
2021-08-28,13.876666
2021-08-29,13.623333
2021-08-30,15.113332
2021-08-31,14.303333
2021-09-01,14.079999
2021-09-02,15.046666
2021-09-03,16.596666
2021-09-04,16.82
2021-09-05,17.646666
2021-09-06,18.07
2021-09-07,18.063332
2021-09-08,18.363333
2021-09-09,17.573334
2021-09-10,17.72
2021-09-11,16.493334
2021-09-12,14.209999
2021-09-13,15.32
2021-09-14,16.236666
2021-09-15,17.369999
2021-09-16,14.166667
2021-09-17,13.816666
2021-09-18,13.866666
2021-09-19,13.756665
2021-09-20,13.443334
2021-09-21,11.886666
2021-09-22,11.206666
2021-09-23,13.009999
2021-09-24,13.670001
2021-09-25,14.196666
2021-09-26,15.243333
2021-09-27,13.906666
2021-09-28,11.176666
2021-09-29,9.426666
2021-09-30,8.356666
2021-10-01,10.54
2021-10-02,13.403333
2021-10-03,14.323334
2021-10-04,10.866666
2021-10-05,10.006666
2021-10-06,9.37
2021-10-07,10.153333
2021-10-08,10.166666
2021-10-09,9.563333
2021-10-10,7.433333
2021-10-11,8.026666
2021-10-12,8.563333
2021-10-13,6.3333335
2021-10-14,8.633333
2021-10-15,7.3366666
2021-10-16,6.9599996
2021-10-17,8.116666
2021-10-18,7.483333
2021-10-19,12.496666
2021-10-20,13.453334
2021-10-21,8.58
2021-10-22,5.523333
2021-10-23,6.7833333
2021-10-24,5.213333
2021-10-25,6.7033334
2021-10-26,10.259999
2021-10-27,9.889999
2021-10-28,7.3366666
2021-10-29,10.103333
2021-10-30,10.8966675
2021-10-31,12.136666
2021-11-01,8.663333
2021-11-02,6.3333335
2021-11-03,5.5333333
2021-11-04,5.806667
2021-11-05,5.9600005
2021-11-06,5.366667
2021-11-07,5.793333
2021-11-08,3.75
2021-11-09,3.03
2021-11-10,1.1733333
2021-11-11,1.3499999
2021-11-12,0.52
2021-11-13,6.136667
2021-11-14,7.386667
2021-11-15,5.64
2021-11-16,4.3199997
2021-11-17,4.86
2021-11-18,4.7466664
2021-11-19,7.2433333
2021-11-20,6.69
2021-11-21,4.753333
2021-11-22,3.2966664
2021-11-23,2.2666667
2021-11-24,2.5233333
2021-11-25,1.7166667
2021-11-26,1.2966666
2021-11-27,1.1633333
2021-11-28,1.0666666
2021-11-29,0.62999994
2021-11-30,3.1999998
2021-12-01,5.1433334
2021-12-02,1.4833332
2021-12-03,0.47333336
2021-12-04,2.1033332
2021-12-05,2.1233332
2021-12-06,0.67333335
2021-12-07,2.4466667
2021-12-08,2.9266665
2021-12-09,1.15
2021-12-10,0.74666667
2021-12-11,1.2599999
2021-12-12,3.2966664
2021-12-13,5.4966664
2021-12-14,5.2433333
2021-12-15,5.7099996
2021-12-16,7.08
2021-12-17,5.9
2021-12-18,3.3633335
2021-12-19,3.8466666
2021-12-20,2.02
2021-12-21,-2.4266665
2021-12-22,-3.61
2021-12-23,-0.14333333
2021-12-24,5.846667
2021-12-25,3.843333
2021-12-26,1.8133334
2021-12-27,5.4466667
2021-12-28,7.8199997
2021-12-29,8.136666
2021-12-30,11.779999
2021-12-31,9.836666
