time,DEC05
2021-01-01,6.699
2021-01-02,4.816
2021-01-03,4.24
2021-01-04,4.5369997
2021-01-05,2.192
2021-01-06,3.4169998
2021-01-07,4.5629997
2021-01-08,4.684
2021-01-09,3.459
2021-01-10,4.9639997
2021-01-11,4.074
2021-01-12,2.56
2021-01-13,2.8529997
2021-01-14,3.5559998
2021-01-15,4.8159995
2021-01-16,4.4589996
2021-01-17,5.6150002
2021-01-18,5.892
2021-01-19,5.968
2021-01-20,11.749
2021-01-21,12.434999
2021-01-22,10.805
2021-01-23,10.765
2021-01-24,12.014999
2021-01-25,13.789
2021-01-26,15.094998
2021-01-27,14.030001
2021-01-28,12.4279995
2021-01-29,11.775999
2021-01-30,12.101
2021-01-31,12.478
2021-02-01,12.82
2021-02-02,13.817999
2021-02-03,14.296999
2021-02-04,10.756
2021-02-05,9.324999
2021-02-06,9.582
2021-02-07,8.351
2021-02-08,11.145
2021-02-09,11.639
2021-02-10,12.969999
2021-02-11,14.537999
2021-02-12,13.164999
2021-02-13,12.776999
2021-02-14,13.204
2021-02-15,13.628
2021-02-16,11.926999
2021-02-17,12.347
2021-02-18,12.299999
2021-02-19,12.202
2021-02-20,12.42
2021-02-21,8.883
2021-02-22,8.905999
2021-02-23,10.806
2021-02-24,12.384
2021-02-25,11.648999
2021-02-26,13.177
2021-02-27,12.440001
2021-02-28,11.931001
2021-03-01,12.457999
2021-03-02,12.551001
2021-03-03,12.994
2021-03-04,13.196001
2021-03-05,12.748999
2021-03-06,12.981
2021-03-07,12.25
2021-03-08,10.206999
2021-03-09,10.754
2021-03-10,10.938999
2021-03-11,11.967
2021-03-12,12.089999
2021-03-13,10.626
2021-03-14,12.224999
2021-03-15,12.948999
2021-03-16,13.915998
2021-03-17,14.666
2021-03-18,12.490999
2021-03-19,10.99
2021-03-20,10.631
2021-03-21,9.571
2021-03-22,11.583
2021-03-23,12.538
2021-03-24,13.025
2021-03-25,12.223999
2021-03-26,12.412999
2021-03-27,14.223999
2021-03-28,16.262
2021-03-29,16.766998
2021-03-30,17.404
2021-03-31,20.514
2021-04-01,17.059998
2021-04-02,14.995
2021-04-03,15.353999
2021-04-04,16.16
2021-04-05,16.237999
2021-04-06,16.564001
2021-04-07,16.321999
2021-04-08,15.8619995
2021-04-09,15.764999
2021-04-10,15.4470005
2021-04-11,15.778999
2021-04-12,14.792999
2021-04-13,16.203
2021-04-14,16.47
2021-04-15,16.213
2021-04-16,15.400999
2021-04-17,14.284999
2021-04-18,15.117999
2021-04-19,17.087
2021-04-20,14.809
2021-04-21,13.741
2021-04-22,16.27
2021-04-23,16.397
2021-04-24,16.962
2021-04-25,15.648
2021-04-26,16.421999
2021-04-27,16.335
2021-04-28,14.619
2021-04-29,12.732
2021-04-30,11.946
2021-05-01,11.706999
2021-05-02,12.907999
2021-05-03,14.753
2021-05-04,16.123
2021-05-05,16.602
2021-05-06,17.544
2021-05-07,18.46
2021-05-08,18.267
2021-05-09,13.837
2021-05-10,11.666
2021-05-11,12.949
2021-05-12,15.648
2021-05-13,14.673999
2021-05-14,16.341
2021-05-15,17.628
2021-05-16,18.132
2021-05-17,18.429998
2021-05-18,17.896
2021-05-19,19.227001
2021-05-20,20.872
2021-05-21,18.657
2021-05-22,15.5269985
2021-05-23,14.792999
2021-05-24,15.731
2021-05-25,17.882
2021-05-26,20.136
2021-05-27,19.210999
2021-05-28,21.048
2021-05-29,21.918997
2021-05-30,22.873
2021-05-31,21.601002
2021-06-01,17.673
2021-06-02,18.328999
2021-06-03,17.884998
2021-06-04,18.344
2021-06-05,20.932997
2021-06-06,21.491001
2021-06-07,22.713999
2021-06-08,23.161999
2021-06-09,23.659
2021-06-10,23.802998
2021-06-11,23.668
2021-06-12,23.958
2021-06-13,23.449999
2021-06-14,23.032
2021-06-15,23.751999
2021-06-16,21.794
2021-06-17,18.756
2021-06-18,17.521
2021-06-19,17.221998
2021-06-20,16.918999
2021-06-21,17.014
2021-06-22,18.866001
2021-06-23,20.129
2021-06-24,22.449999
2021-06-25,24.316
2021-06-26,22.953
2021-06-27,19.049
2021-06-28,18.706999
2021-06-29,19.461998
2021-06-30,20.333
2021-07-01,21.256
2021-07-02,22.220999
2021-07-03,22.415997
2021-07-04,21.119
2021-07-05,22.179998
2021-07-06,19.105
2021-07-07,19.063
2021-07-08,21.658
2021-07-09,24.477001
2021-07-10,26.605999
2021-07-11,25.712997
2021-07-12,19.647
2021-07-13,20.001999
2021-07-14,22.938
2021-07-15,25.183
2021-07-16,27.633001
2021-07-17,27.635
2021-07-18,25.601002
2021-07-19,23.376999
2021-07-20,22.286999
2021-07-21,23.083998
2021-07-22,23.317999
2021-07-23,21.927
2021-07-24,21.694998
2021-07-25,21.408998
2021-07-26,23.430998
2021-07-27,23.903002
2021-07-28,24.721
2021-07-29,24.255001
2021-07-30,22.202
2021-07-31,20.265
2021-08-01,19.589
2021-08-02,22.608997
