time,DE21M
2021-01-01,1.1620001
2021-01-02,2.7219996
2021-01-03,2.522
2021-01-04,2.2879999
2021-01-05,2.731
2021-01-06,1.117
2021-01-07,0.487
2021-01-08,0.64199996
2021-01-09,1.2360001
2021-01-10,0.637
2021-01-11,2.302
2021-01-12,2.65
2021-01-13,1.3069999
2021-01-14,1.074
2021-01-15,-0.87200004
2021-01-16,-1.9759998
2021-01-17,-3.5849998
2021-01-18,0.492
2021-01-19,3.171
2021-01-20,6.811
2021-01-21,7.0220003
2021-01-22,5.1639996
2021-01-23,1.1209999
2021-01-24,0.83599997
2021-01-25,0.689
2021-01-26,-0.033999998
2021-01-27,1.308
2021-01-28,0.419
2021-01-29,-1.3929999
2021-01-30,-1.9599998
2021-01-31,-4.6950006
2021-02-01,-3.257
2021-02-02,-1.0979998
2021-02-03,0.32900006
2021-02-04,0.466
2021-02-05,-0.010000003
2021-02-06,-1.9470001
2021-02-07,-4.9449997
2021-02-08,-5.42
2021-02-09,-6.954
2021-02-10,-4.547
2021-02-11,-5.3929996
2021-02-12,-7.007
2021-02-13,-6.8900003
2021-02-14,-6.8690004
2021-02-15,-3.537
2021-02-16,1.6600001
2021-02-17,4.5020003
2021-02-18,6.2939997
2021-02-19,5.2819996
2021-02-20,6.5310006
2021-02-21,8.656
2021-02-22,8.311
2021-02-23,11.114
2021-02-24,12.203
2021-02-25,11.332999
2021-02-26,6.96
2021-02-27,4.799
2021-02-28,4.5629997
2021-03-01,4.118
2021-03-02,1.958
2021-03-03,5.2409997
2021-03-04,2.853
2021-03-05,1.0769999
2021-03-06,1.5049999
2021-03-07,3.102
2021-03-08,0.7759999
2021-03-09,1.3879999
2021-03-10,2.808
2021-03-11,6.523
2021-03-12,6.318
2021-03-13,5.151
2021-03-14,5.122
2021-03-15,4.5169997
2021-03-16,3.8489997
2021-03-17,2.415
2021-03-18,2.204
2021-03-19,0.28500003
2021-03-20,1.128
2021-03-21,5.7209997
2021-03-22,5.0140004
2021-03-23,5.579
2021-03-24,7.787
2021-03-25,8.007001
2021-03-26,10.129999
2021-03-27,5.9849997
2021-03-28,6.7559996
2021-03-29,12.435
2021-03-30,13.031
2021-03-31,13.631999
2021-04-01,8.229
2021-04-02,4.6120005
2021-04-03,4.9779997
2021-04-04,4.34
2021-04-05,3.2379997
2021-04-06,1.109
2021-04-07,2.098
2021-04-08,3.9329998
2021-04-09,6.3
2021-04-10,5.798
2021-04-11,7.183
2021-04-12,4.4919996
2021-04-13,4.004
2021-04-14,4.008
2021-04-15,4.6769996
2021-04-16,6.6
2021-04-17,8.539
2021-04-18,7.247
2021-04-19,8.929
2021-04-20,9.33
2021-04-21,8.052
2021-04-22,7.179
2021-04-23,8.108999
2021-04-24,6.588
2021-04-25,5.364
2021-04-26,4.751
2021-04-27,6.2200003
2021-04-28,10.059999
2021-04-29,8.087
2021-04-30,7.8439994
2021-05-01,7.8950005
2021-05-02,7.826
2021-05-03,7.0230002
2021-05-04,8.934
2021-05-05,7.3899994
2021-05-06,6.8809996
2021-05-07,6.1990004
2021-05-08,8.856
2021-05-09,18.434
2021-05-10,19.988998
2021-05-11,13.9869995
2021-05-12,12.343
2021-05-13,10.819
2021-05-14,9.101999
2021-05-15,10.540999
2021-05-16,11.457001
2021-05-17,12.006999
2021-05-18,11.194001
2021-05-19,10.669
2021-05-20,10.997999
2021-05-21,11.968
2021-05-22,11.358999
2021-05-23,11.347
2021-05-24,14.942999
2021-05-25,11.157
2021-05-26,10.951001
2021-05-27,11.096001
2021-05-28,11.489
2021-05-29,11.423
2021-05-30,13.681
2021-05-31,14.730998
2021-06-01,15.981001
2021-06-02,16.991001
2021-06-03,20.334002
2021-06-04,20.566
2021-06-05,20.71
2021-06-06,19.186
2021-06-07,19.098
2021-06-08,18.747997
2021-06-09,19.447998
2021-06-10,19.999
2021-06-11,20.518
2021-06-12,16.993
2021-06-13,15.259
2021-06-14,19.18
2021-06-15,17.132
2021-06-16,19.839998
2021-06-17,25.768997
2021-06-18,27.166
2021-06-19,26.562
2021-06-20,23.795
2021-06-21,19.803999
2021-06-22,16.053999
2021-06-23,16.279999
2021-06-24,17.118
2021-06-25,17.349998
2021-06-26,18.328999
2021-06-27,19.759998
2021-06-28,22.91
2021-06-29,21.081001
2021-06-30,18.241001
2021-07-01,16.762
2021-07-02,18.595001
2021-07-03,17.689
2021-07-04,20.226002
2021-07-05,18.533
2021-07-06,20.695
2021-07-07,19.673998
2021-07-08,19.566998
2021-07-09,17.034
2021-07-10,18.366999
2021-07-11,21.626
2021-07-12,22.149998
2021-07-13,23.388
2021-07-14,22.418999
2021-07-15,22.016
2021-07-16,22.948002
2021-07-17,22.466
2021-07-18,20.256
2021-07-19,16.317
2021-07-20,17.135998
2021-07-21,17.745
2021-07-22,16.890999
2021-07-23,16.185999
2021-07-24,21.739998
2021-07-25,22.703999
2021-07-26,21.61
2021-07-27,21.324001
2021-07-28,19.817
2021-07-29,18.022
2021-07-30,18.962
2021-07-31,17.435001
2021-08-01,17.049
2021-08-02,15.612999
2021-08-03,16.856998
2021-08-04,17.724
2021-08-05,19.097
2021-08-06,18.951
2021-08-07,18.519999
2021-08-08,17.047
2021-08-09,16.751999
2021-08-10,15.776001
2021-08-11,17.091
2021-08-12,20.05
2021-08-13,21.747997
2021-08-14,18.818
2021-08-15,18.885998
2021-08-16,15.584
2021-08-17,14.523999
2021-08-18,15.712
2021-08-19,16.575
2021-08-20,15.607
2021-08-21,16.508999
2021-08-22,16.349
2021-08-23,16.979
2021-08-24,15.147
2021-08-25,14.712999
2021-08-26,14.247
2021-08-27,14.787
2021-08-28,15.012001
2021-08-29,15.582001
2021-08-30,16.055
2021-08-31,16.249998
2021-09-01,16.496998
2021-09-02,14.836
2021-09-03,15.283999
2021-09-04,14.581999
2021-09-05,14.029999
2021-09-06,15.242999
2021-09-07,15.892001
2021-09-08,17.248
2021-09-09,19.019001
2021-09-10,19.41
2021-09-11,18.698002
2021-09-12,17.772999
2021-09-13,14.566999
2021-09-14,15.764999
2021-09-15,16.547998
2021-09-16,16.300999
2021-09-17,13.695999
2021-09-18,14.016001
2021-09-19,12.605
2021-09-20,12.046
2021-09-21,11.7439995
2021-09-22,13.962
2021-09-23,13.710999
2021-09-24,14.492999
2021-09-25,16.797
2021-09-26,18.158
2021-09-27,17.649
2021-09-28,14.339
2021-09-29,11.5339985
2021-09-30,11.715
2021-10-01,12.967
2021-10-02,13.356999
2021-10-03,17.609999
2021-10-04,13.023
2021-10-05,10.702
2021-10-06,11.870001
2021-10-07,10.097
2021-10-08,10.213999
2021-10-09,8.4279995
2021-10-10,7.3770003
2021-10-11,9.409
2021-10-12,8.0529995
2021-10-13,7.7859993
2021-10-14,11.340999
2021-10-15,10.793
2021-10-16,8.808
2021-10-17,9.209
2021-10-18,10.982
2021-10-19,12.368
2021-10-20,15.527
2021-10-21,10.344
2021-10-22,6.6069994
2021-10-23,7.7759995
2021-10-24,7.72
2021-10-25,7.47
2021-10-26,10.991
2021-10-27,13.0529995
2021-10-28,11.4939995
2021-10-29,9.375999
2021-10-30,10.09
2021-10-31,12.699999
2021-11-01,10.775999
2021-11-02,8.193
2021-11-03,7.011
2021-11-04,7.4359994
2021-11-05,8.280001
2021-11-06,8.719999
2021-11-07,8.75
2021-11-08,8.754
2021-11-09,8.196001
2021-11-10,6.5169997
2021-11-11,8.459001
2021-11-12,7.725
2021-11-13,5.3189993
2021-11-14,6.8159995
2021-11-15,5.967
2021-11-16,4.798
2021-11-17,5.2339997
2021-11-18,7.943
2021-11-19,11.683
2021-11-20,10.358
2021-11-21,7.449
2021-11-22,3.123
2021-11-23,6.755
2021-11-24,6.62
2021-11-25,4.9859996
2021-11-26,3.2919998
2021-11-27,2.255
2021-11-28,2.135
2021-11-29,1.6459999
2021-11-30,3.5039997
2021-12-01,5.2569995
2021-12-02,0.478
2021-12-03,0.9329999
2021-12-04,2.7489998
2021-12-05,0.74300003
2021-12-06,-0.201
2021-12-07,-0.17899999
2021-12-08,0.502
2021-12-09,-0.718
2021-12-10,0.287
2021-12-11,1.547
2021-12-12,3.3760002
2021-12-13,8.321
2021-12-14,7.514
2021-12-15,8.877001
2021-12-16,7.2649994
2021-12-17,5.494
2021-12-18,6.4379997
2021-12-19,5.775
2021-12-20,0.963
2021-12-21,-1.4979999
2021-12-22,-2.8549998
2021-12-23,-1.725
2021-12-24,-0.318
2021-12-25,-7.1449995
2021-12-26,-7.776
2021-12-27,-3.8409996
2021-12-28,0.098
2021-12-29,1.8370001
2021-12-30,8.454999
2021-12-31,11.983
