time,DEA1F
2021-08-11,17.361666
2021-08-12,15.946667
2021-08-13,17.964998
2021-08-14,19.937498
2021-08-15,21.378334
2021-08-16,20.553331
2021-08-17,13.316666
2021-08-18,11.930832
2021-08-19,13.764999
2021-08-20,15.446666
2021-08-21,15.5325
2021-08-22,17.011665
2021-08-23,15.294167
2021-08-24,12.66
2021-08-25,10.215833
2021-08-26,9.185
2021-08-27,10.2025
2021-08-28,10.379167
2021-08-29,10.557499
2021-08-30,10.585
2021-08-31,11.090833
2021-09-01,12.0475
2021-09-02,12.2475
2021-09-03,12.763332
2021-09-04,12.929166
2021-09-05,11.185
2021-09-06,10.508333
2021-09-07,12.235001
2021-09-08,13.2275
2021-09-09,13.619166
2021-09-10,13.410832
2021-09-11,14.424165
2021-09-12,15.126666
2021-09-13,15.165
2021-09-14,15.009999
2021-09-15,16.096666
2021-09-16,16.975834
2021-09-17,12.822499
2021-09-18,9.941667
2021-09-19,7.8958335
2021-09-20,7.2900004
2021-09-21,6.383333
2021-09-22,6.7999997
2021-09-23,9.177499
2021-09-24,11.4025
2021-09-25,12.659167
2021-09-26,13.680833
2021-09-27,13.827499
2021-09-28,12.261665
2021-09-29,10.554166
2021-09-30,8.770833
2021-10-01,8.190833
2021-10-02,10.780831
2021-10-03,11.426666
2021-10-04,13.8425
2021-10-05,14.7425
2021-10-06,9.88
2021-10-07,8.950833
2021-10-08,5.2316666
2021-10-09,3.1008332
2021-10-10,3.2583334
2021-10-11,4.9533334
2021-10-12,5.0966663
2021-10-13,2.5441663
2021-10-14,3.5033333
2021-10-15,5.6475005
2021-10-16,4.5958333
2021-10-17,3.7516663
2021-10-18,4.7691665
2021-10-19,7.2574997
2021-10-20,10.388333
2021-10-21,9.189166
2021-10-22,6.758333
2021-10-23,3.8825
2021-10-24,2.7633333
2021-10-25,5.1266665
2021-10-26,4.340833
2021-10-27,4.778333
2021-10-28,6.681667
2021-10-29,8.995
2021-10-30,9.310833
2021-10-31,9.044167
2021-11-01,7.055
2021-11-02,5.2766666
2021-11-03,6.0733333
2021-11-04,8.4675
2021-11-05,4.035
2021-11-06,1.9366666
2021-11-07,3.7058334
2021-11-08,4.3675
2021-11-09,2.4808333
2021-11-10,5.1558332
2021-11-11,4.9975
2021-11-12,2.6166666
2021-11-13,2.4133332
