time,NO071
2021-01-01,-1.9233335
2021-01-02,-0.14777777
2021-01-03,-1.9744443
2021-01-04,-0.9866667
2021-01-05,-4.4722223
2021-01-06,-7.1466656
2021-01-07,-5.032222
2021-01-08,-7.431111
2021-01-09,-4.928889
2021-01-10,-2.3333333
2021-01-11,0.70777774
2021-01-12,2.2833333
2021-01-13,-1.4755555
2021-01-14,-0.101111114
2021-01-15,-4.85
2021-01-16,-13.536667
2021-01-17,-3.282222
2021-01-18,-8.005556
2021-01-19,-8.262222
2021-01-20,-6.42
2021-01-21,-3.6866667
2021-01-22,-8.792223
2021-01-23,-12.514444
2021-01-24,-7.2355556
2021-01-25,-6.273333
2021-01-26,-8.673333
2021-01-27,-4.451111
2021-01-28,-0.59444445
2021-01-29,-1.2955556
2021-01-30,-2.9877777
2021-01-31,-2.831111
2021-02-01,3.8066664
2021-02-02,3.838889
2021-02-03,1.8566668
2021-02-04,0.90999997
2021-02-05,-0.98333335
2021-02-06,3.7377777
2021-02-07,5.4755554
2021-02-08,-0.2522222
2021-02-09,3.5144444
2021-02-10,0.6166666
2021-02-11,2.1255555
2021-02-12,-5.124444
2021-02-13,-12.785557
2021-02-14,-12.906668
2021-02-15,-6.2355556
2021-02-16,-2.7388887
2021-02-17,-2.5155554
2021-02-18,-8.334444
2021-02-19,-5.8133335
2021-02-20,-9.439999
2021-02-21,-6.4288883
2021-02-22,-7.3700004
2021-02-23,6.045555
2021-02-24,3.5666666
2021-02-25,-1.4955554
2021-02-26,0.12888889
2021-02-27,-6.871111
2021-02-28,-4.2355556
2021-03-01,-0.38444445
2021-03-02,0.3811111
2021-03-03,-2.2255557
2021-03-04,-0.38222224
2021-03-05,-3.2333333
2021-03-06,-6.188889
2021-03-07,1.9477779
2021-03-08,-2.801111
2021-03-09,-4.9355555
2021-03-10,-5.9777775
2021-03-11,-5.2899995
2021-03-12,-8.938889
2021-03-13,-9.896667
2021-03-14,-5.8277774
2021-03-15,-5.0355554
2021-03-16,-4.767778
2021-03-17,1.8411111
2021-03-18,-2.7833333
2021-03-19,-5.512222
2021-03-20,-8.179999
2021-03-21,-4.794444
2021-03-22,-5.9355555
2021-03-23,-10.34111
2021-03-24,-6.022222
2021-03-25,-6.6177773
2021-03-26,-4.7355556
2021-03-27,-4.5299997
2021-03-28,-8.320001
2021-03-29,-4.8033333
2021-03-30,-4.0899997
2021-03-31,-1.1577778
2021-04-01,-0.2788889
2021-04-02,-1.7111112
2021-04-03,-3.2533333
2021-04-04,-3.705556
2021-04-05,2.8811111
2021-04-06,-0.86777776
2021-04-07,0.18888888
2021-04-08,2.6288886
2021-04-09,2.1599998
2021-04-10,-1.1600001
2021-04-11,1.4955554
2021-04-12,6.519999
2021-04-13,-1.4288888
2021-04-14,-1.3755555
2021-04-15,2.04
2021-04-16,5.6944447
2021-04-17,9.032223
2021-04-18,6.7511115
2021-04-19,8.115556
2021-04-20,5.4622216
2021-04-21,6.284445
2021-04-22,3.7411108
2021-04-23,2.21
2021-04-24,4.057778
2021-04-25,7.855555
2021-04-26,8.964444
2021-04-27,2.5311112
2021-04-28,8.953333
2021-04-29,10.320001
2021-04-30,6.7988887
2021-05-01,10.326665
2021-05-02,7.671111
2021-05-03,10.616666
2021-05-04,10.121112
2021-05-05,4.3922224
2021-05-06,5.9333334
2021-05-07,7.7344446
2021-05-08,6.1311107
2021-05-09,11.454444
2021-05-10,6.0399995
2021-05-11,8.755556
2021-05-12,9.352222
2021-05-13,12.551111
2021-05-14,11.045556
2021-05-15,10.754444
2021-05-16,10.376667
2021-05-17,9.458889
2021-05-18,8.247777
2021-05-19,7.473333
2021-05-20,8.252223
2021-05-21,13.578889
2021-05-22,13.681111
2021-05-23,9.916667
2021-05-24,13.408889
2021-05-25,10.864445
2021-05-26,7.187778
2021-05-27,10.083333
2021-05-28,7.397778
2021-05-29,9.004444
2021-05-30,2.3333333
2021-05-31,6.91
2021-06-01,9.755556
2021-06-02,13.606667
2021-06-03,13.154446
2021-06-04,15.37
2021-06-05,9.948889
2021-06-06,8.256666
2021-06-07,4.621111
2021-06-08,8.514444
2021-06-09,11.861111
2021-06-10,10.864445
2021-06-11,11.155555
2021-06-12,11.037777
2021-06-13,6.8100004
2021-06-14,14.656667
2021-06-15,17.052223
2021-06-16,15.58
2021-06-17,14.124445
2021-06-18,19.2
2021-06-19,20.378887
2021-06-20,24.173332
2021-06-21,20.914442
2021-06-22,21.15
2021-06-23,16.568888
2021-06-24,14.937778
2021-06-25,13.488888
2021-06-26,11.838888
2021-06-27,16.079998
2021-06-28,14.322222
2021-06-29,16.227776
2021-06-30,14.418888
2021-07-01,17.631111
2021-07-02,16.353334
2021-07-03,17.788887
2021-07-04,20.62889
2021-07-05,17.142221
2021-07-06,19.27111
2021-07-07,20.138887
2021-07-08,19.985556
2021-07-09,15.768888
2021-07-10,16.607779
2021-07-11,15.695555
2021-07-12,20.618889
2021-07-13,21.583334
2021-07-14,17.412224
2021-07-15,17.943333
2021-07-16,14.105555
2021-07-17,16.075554
2021-07-18,19.867779
2021-07-19,17.039999
2021-07-20,18.968887
2021-07-21,17.183332
2021-07-22,11.363333
2021-07-23,10.578888
2021-07-24,14.185555
2021-07-25,15.084444
2021-07-26,22.197777
2021-07-27,22.458887
2021-07-28,16.87
2021-07-29,12.402224
2021-07-30,13.794444
2021-07-31,17.875555
2021-08-01,17.48
2021-08-02,17.306665
2021-08-03,15.9766655
2021-08-04,16.23
2021-08-05,19.055555
2021-08-06,20.23222
2021-08-07,24.723333
2021-08-08,22.007778
2021-08-09,19.555555
2021-08-10,16.063332
2021-08-11,13.984445
2021-08-12,15.911109
2021-08-13,16.844444
2021-08-14,13.553333
2021-08-15,15.447778
2021-08-16,17.055555
2021-08-17,15.429999
2021-08-18,15.352223
2021-08-19,15.7677765
2021-08-20,16.775555
2021-08-21,16.304445
2021-08-22,17.905556
2021-08-23,14.774445
2021-08-24,13.974443
2021-08-25,18.15
2021-08-26,20.536665
2021-08-27,17.106667
2021-08-28,17.731112
2021-08-29,15.857777
2021-08-30,18.297777
2021-08-31,18.07111
2021-09-01,12.821111
2021-09-02,7.562222
2021-09-03,9.867778
2021-09-04,6.433333
2021-09-05,8.345555
2021-09-06,8.06889
2021-09-07,9.747778
2021-09-08,7.6966662
2021-09-09,9.403333
2021-09-10,12.474444
2021-09-11,11.334444
2021-09-12,11.862222
2021-09-13,14.372223
2021-09-14,15.882222
2021-09-15,14.835554
2021-09-16,14.663334
2021-09-17,10.761111
2021-09-18,12.276667
2021-09-19,14.09111
2021-09-20,13.435555
2021-09-21,9.716666
2021-09-22,6.502222
2021-09-23,7.904444
2021-09-24,7.5944443
2021-09-25,8.786667
2021-09-26,7.946667
2021-09-27,9.596666
2021-09-28,7.2344446
2021-09-29,8.092222
2021-09-30,5.67
2021-10-01,0.9644444
2021-10-02,2.9955556
2021-10-03,5.751111
2021-10-04,10.174444
2021-10-05,2.9044445
2021-10-06,-1.3477777
2021-10-07,-3.7155554
2021-10-08,-3.9444444
2021-10-09,-3.5766666
2021-10-10,0.4511111
2021-10-11,1.6455554
2021-10-12,0.49777773
2021-10-13,0.8377778
2021-10-14,2.7666667
2021-10-15,5.684444
2021-10-16,5.616667
2021-10-17,8.777778
2021-10-18,
2021-10-19,4.3411107
2021-10-20,4.4666667
2021-10-21,0.67999995
2021-10-22,1.6833332
2021-10-23,2.9077778
2021-10-24,3.5199995
2021-10-25,5.162222
2021-10-26,6.5966663
2021-10-27,2.381111
2021-10-28,5.9822216
2021-10-29,5.7722225
2021-10-30,9.931111
2021-10-31,7.084444
2021-11-01,9.968888
2021-11-02,8.974445
2021-11-03,5.6866665
2021-11-04,0.6133333
2021-11-05,2.3733332
2021-11-06,2.1844447
2021-11-07,6.5433326
2021-11-08,3.2911108
2021-11-09,0.8033333
2021-11-10,2.4811108
2021-11-11,4.9622216
2021-11-12,5.3744445
2021-11-13,6.636667
2021-11-14,-1.8122221
2021-11-15,-0.6944444
2021-11-16,3.5699997
2021-11-17,-0.5744445
2021-11-18,-4.904444
2021-11-19,-5.256666
2021-11-20,3.5899997
2021-11-21,4.24
2021-11-22,-2.8166666
2021-11-23,-5.5633335
2021-11-24,-0.70666665
2021-11-25,2.1477778
2021-11-26,-2.5355556
2021-11-27,-5.2244434
2021-11-28,-5.167778
2021-11-29,-5.21
2021-11-30,-2.1477778
2021-12-01,-1.7466668
2021-12-02,-8.915555
2021-12-03,-9.876667
2021-12-04,0.66333324
2021-12-05,3.643333
2021-12-06,0.78999996
2021-12-07,-3.2155557
2021-12-08,9.223332
2021-12-09,4.7777777
2021-12-10,3.3744442
2021-12-11,-4.732222
2021-12-12,-4.4855556
2021-12-13,-0.33666667
2021-12-14,-3.0266666
2021-12-15,-5.1644444
2021-12-16,-0.9588889
2021-12-17,-9.557778
2021-12-18,-7.768888
2021-12-19,1.131111
2021-12-20,-5.8399997
2021-12-21,-7.26
2021-12-22,-7.983333
2021-12-23,-9.892221
2021-12-24,-8.825555
2021-12-25,-19.185555
2021-12-26,-5.707778
2021-12-27,0.41444445
2021-12-28,4.2266665
2021-12-29,-2.1144443
2021-12-30,-6.5611105
2021-12-31,-7.7233334
