time,ITG16
2021-01-01,0.84
2021-01-02,0.55
2021-01-03,2.1699998
2021-01-04,2.6799998
2021-01-05,1.9699999
2021-01-06,1.88
2021-01-07,-1.74
2021-01-08,-0.29
2021-01-09,1.5699999
2021-01-10,1.17
2021-01-11,5.17
2021-01-12,4.39
2021-01-13,1.4599999
2021-01-14,2.0
2021-01-15,0.17
2021-01-16,3.55
2021-01-17,5.2599998
2021-01-18,4.1
2021-01-19,7.83
2021-01-20,9.19
2021-01-21,3.4499998
2021-01-22,2.71
2021-01-23,0.59999996
2021-01-24,-1.43
2021-01-25,-0.02
2021-01-26,1.13
2021-01-27,4.92
2021-01-28,7.0099998
2021-01-29,7.74
2021-01-30,3.09
2021-01-31,0.34
2021-02-01,2.78
2021-02-02,2.49
2021-02-03,6.8199997
2021-02-04,4.7599998
2021-02-05,6.7999997
2021-02-06,5.23
2021-02-07,1.24
2021-02-08,-0.65999997
2021-02-09,-0.53
2021-02-10,-0.52
2021-02-11,-1.92
2021-02-12,-1.14
2021-02-13,-1.1899999
2021-02-14,1.37
2021-02-15,7.5099998
2021-02-16,8.94
2021-02-17,8.37
2021-02-18,8.63
2021-02-19,6.42
2021-02-20,10.809999
2021-02-21,9.469999
2021-02-22,8.429999
2021-02-23,8.38
2021-02-24,13.21
2021-02-25,9.639999
2021-02-26,5.85
2021-02-27,5.77
2021-02-28,5.21
2021-03-01,3.03
2021-03-02,4.04
2021-03-03,3.3999999
2021-03-04,4.83
2021-03-05,4.15
2021-03-06,2.77
2021-03-07,4.21
2021-03-08,5.2
2021-03-09,6.49
2021-03-10,7.58
2021-03-11,8.76
2021-03-12,6.21
2021-03-13,5.64
2021-03-14,6.06
2021-03-15,8.54
2021-03-16,10.19
2021-03-17,7.64
2021-03-18,7.64
2021-03-19,7.45
2021-03-20,8.7
2021-03-21,8.21
2021-03-22,6.5899997
2021-03-23,7.7
2021-03-24,9.37
2021-03-25,8.94
2021-03-26,8.95
2021-03-27,5.3599997
2021-03-28,10.45
2021-03-29,13.75
2021-03-30,12.66
2021-03-31,15.2
2021-04-01,7.8599997
2021-04-02,6.71
2021-04-03,6.67
2021-04-04,7.37
2021-04-05,4.0899997
2021-04-06,2.53
2021-04-07,2.1499999
2021-04-08,7.2
2021-04-09,6.1
2021-04-10,3.9399998
2021-04-11,3.74
2021-04-12,3.8899999
2021-04-13,5.08
2021-04-14,6.23
2021-04-15,4.85
2021-04-16,5.02
2021-04-17,5.96
2021-04-18,6.8999996
2021-04-19,8.32
2021-04-20,9.559999
2021-04-21,9.559999
2021-04-22,6.75
2021-04-23,8.73
2021-04-24,9.3
2021-04-25,6.97
2021-04-26,7.2999997
2021-04-27,7.8799996
2021-04-28,7.89
2021-04-29,5.7
2021-04-30,5.7
2021-05-01,6.44
2021-05-02,6.87
2021-05-03,7.64
2021-05-04,7.41
2021-05-05,5.64
2021-05-06,5.98
2021-05-07,7.06
2021-05-08,8.92
2021-05-09,14.92
2021-05-10,12.12
2021-05-11,10.2
2021-05-12,10.55
2021-05-13,11.929999
2021-05-14,9.38
2021-05-15,9.559999
2021-05-16,10.719999
2021-05-17,11.309999
2021-05-18,10.96
2021-05-19,11.059999
2021-05-20,8.59
2021-05-21,10.8
2021-05-22,9.42
2021-05-23,8.44
2021-05-24,9.03
2021-05-25,9.88
2021-05-26,10.53
2021-05-27,11.83
2021-05-28,13.65
2021-05-29,15.71
2021-05-30,13.0199995
2021-05-31,14.34
2021-06-01,16.199999
2021-06-02,17.289999
2021-06-03,16.779999
2021-06-04,14.309999
2021-06-05,15.21
2021-06-06,16.46
2021-06-07,17.25
2021-06-08,16.21
2021-06-09,17.52
2021-06-10,18.859999
2021-06-11,18.19
2021-06-12,15.21
2021-06-13,17.789999
2021-06-14,18.279999
2021-06-15,15.469999
2021-06-16,19.699999
2021-06-17,16.279999
2021-06-18,14.29
2021-06-19,12.7
2021-06-20,12.849999
2021-06-21,12.469999
2021-06-22,12.86
2021-06-23,13.69
2021-06-24,16.48
2021-06-25,13.75
2021-06-26,14.299999
2021-06-27,15.25
2021-06-28,13.92
2021-06-29,16.119999
2021-06-30,14.849999
2021-07-01,15.009999
2021-07-02,17.42
2021-07-03,18.359999
2021-07-04,17.51
2021-07-05,15.87
2021-07-06,15.48
2021-07-07,17.23
2021-07-08,17.699999
2021-07-09,17.359999
2021-07-10,18.029999
2021-07-11,16.33
2021-07-12,16.81
2021-07-13,18.119999
2021-07-14,17.98
2021-07-15,18.09
2021-07-16,19.359999
2021-07-17,22.21
2021-07-18,22.56
2021-07-19,22.029999
2021-07-20,21.779999
2021-07-21,21.32
2021-07-22,21.43
2021-07-23,17.58
2021-07-24,17.369999
2021-07-25,17.67
2021-07-26,20.08
2021-07-27,18.789999
2021-07-28,16.81
2021-07-29,15.53
2021-07-30,14.57
2021-07-31,16.26
2021-08-01,15.07
2021-08-02,15.219999
2021-08-03,15.24
2021-08-04,16.71
2021-08-05,16.18
2021-08-06,17.42
2021-08-07,15.849999
2021-08-08,15.929999
2021-08-09,16.07
2021-08-10,16.82
2021-08-11,16.88
2021-08-12,16.529999
2021-08-13,17.47
2021-08-14,17.42
2021-08-15,17.02
2021-08-16,14.98
2021-08-17,15.099999
2021-08-18,16.46
2021-08-19,16.42
2021-08-20,17.869999
2021-08-21,17.67
2021-08-22,17.76
2021-08-23,17.289999
2021-08-24,15.74
2021-08-25,16.42
2021-08-26,15.62
2021-08-27,14.17
2021-08-28,15.58
2021-08-29,14.179999
2021-08-30,15.42
2021-08-31,13.99
2021-09-01,14.49
2021-09-02,15.259999
2021-09-03,14.82
2021-09-04,15.469999
2021-09-05,17.5
2021-09-06,19.779999
2021-09-07,21.1
2021-09-08,21.07
2021-09-09,19.9
2021-09-10,19.279999
2021-09-11,18.109999
2021-09-12,14.86
2021-09-13,15.21
2021-09-14,14.849999
2021-09-15,16.27
2021-09-16,16.32
2021-09-17,15.549999
2021-09-18,16.82
2021-09-19,16.539999
2021-09-20,15.08
2021-09-21,15.0
2021-09-22,15.07
2021-09-23,15.92
2021-09-24,16.14
2021-09-25,18.49
2021-09-26,17.44
2021-09-27,15.49
2021-09-28,13.21
2021-09-29,10.44
2021-09-30,11.62
2021-10-01,13.24
2021-10-02,9.559999
2021-10-03,10.679999
2021-10-04,12.07
2021-10-05,10.84
2021-10-06,12.28
2021-10-07,15.719999
2021-10-08,15.63
2021-10-09,15.86
2021-10-10,14.549999
2021-10-11,11.58
2021-10-12,11.98
2021-10-13,12.46
2021-10-14,12.759999
2021-10-15,10.62
2021-10-16,9.86
2021-10-17,12.599999
2021-10-18,12.74
2021-10-19,16.21
2021-10-20,13.889999
2021-10-21,7.89
2021-10-22,9.13
2021-10-23,10.15
