time,DE27D
2021-01-01,3.072857
2021-01-02,5.282857
2021-01-03,6.643571
2021-01-04,5.235714
2021-01-05,4.5350003
2021-01-06,4.4635715
2021-01-07,3.1271427
2021-01-08,1.8964285
2021-01-09,0.7849999
2021-01-10,-0.8328571
2021-01-11,-0.46357146
2021-01-12,-1.1564286
2021-01-13,0.9707143
2021-01-14,0.19928572
2021-01-15,-0.5785714
2021-01-16,-2.767857
2021-01-17,-4.0442853
2021-01-18,-6.206428
2021-01-19,-0.41857144
2021-01-20,4.422857
2021-01-21,5.799286
2021-01-22,7.3085713
2021-01-23,8.8171425
2021-01-24,6.0914283
2021-01-25,2.5735714
2021-01-26,1.2728573
2021-01-27,0.3457143
2021-01-28,-0.50071424
2021-01-29,3.597143
2021-01-30,6.2821426
2021-01-31,0.71500003
2021-02-01,-1.1185714
2021-02-02,-0.022142842
2021-02-03,5.965714
2021-02-04,10.90857
2021-02-05,8.158571
2021-02-06,7.166429
2021-02-07,6.8664284
2021-02-08,6.6571426
2021-02-09,4.3914285
2021-02-10,5.6314282
2021-02-11,-1.6435715
2021-02-12,-5.5978575
2021-02-13,-6.8571434
2021-02-14,-2.6228573
2021-02-15,-1.9971428
2021-02-16,-1.8549999
2021-02-17,2.3585713
2021-02-18,6.4700007
2021-02-19,4.213571
2021-02-20,4.413571
2021-02-21,5.171428
2021-02-22,7.2650003
2021-02-23,8.0
2021-02-24,9.177856
2021-02-25,10.137143
2021-02-26,10.906428
2021-02-27,8.311429
2021-02-28,5.2807136
2021-03-01,5.176429
2021-03-02,5.4157143
2021-03-03,7.377143
2021-03-04,8.389999
2021-03-05,7.7764287
2021-03-06,3.1499999
2021-03-07,1.9357141
2021-03-08,2.624286
2021-03-09,1.7842857
2021-03-10,2.3657143
2021-03-11,2.0228572
2021-03-12,8.200714
2021-03-13,9.338572
2021-03-14,9.865714
2021-03-15,6.0671425
2021-03-16,6.1185713
2021-03-17,5.7692857
2021-03-18,4.2935715
2021-03-19,2.8978572
2021-03-20,1.6742855
2021-03-21,1.3078573
2021-03-22,3.045714
2021-03-23,4.4957147
2021-03-24,6.375714
2021-03-25,5.1621428
2021-03-26,7.7757144
2021-03-27,10.815713
2021-03-28,10.360715
2021-03-29,9.534285
2021-03-30,13.352858
2021-03-31,14.932856
2021-04-01,14.992143
2021-04-02,14.782858
2021-04-03,9.062142
2021-04-04,5.8107142
2021-04-05,6.5592856
2021-04-06,4.9021425
2021-04-07,2.8714287
2021-04-08,3.7664285
2021-04-09,5.997143
2021-04-10,10.20357
2021-04-11,10.680715
2021-04-12,13.56357
2021-04-13,6.305
2021-04-14,4.587143
2021-04-15,4.9057136
2021-04-16,4.676429
2021-04-17,6.710714
2021-04-18,7.2399993
2021-04-19,8.46
2021-04-20,10.457857
2021-04-21,11.673571
2021-04-22,12.802856
2021-04-23,10.200714
2021-04-24,9.647142
2021-04-25,10.77857
2021-04-26,8.861428
2021-04-27,9.052142
2021-04-28,10.7678585
2021-04-29,15.922857
2021-04-30,17.713572
2021-05-01,18.84643
2021-05-02,19.684284
2021-05-03,11.754999
2021-05-04,11.707144
2021-05-05,15.918571
2021-05-06,12.129286
2021-05-07,12.101428
2021-05-08,10.406428
2021-05-09,12.728571
2021-05-10,17.687143
2021-05-11,19.932856
2021-05-12,17.739998
2021-05-13,14.897141
2021-05-14,15.219285
2021-05-15,15.1214285
2021-05-16,15.978572
2021-05-17,13.484285
2021-05-18,14.89357
2021-05-19,12.627856
2021-05-20,12.535713
2021-05-21,14.547857
2021-05-22,15.443571
2021-05-23,16.882856
2021-05-24,13.047856
