time,FRJ15
2021-01-01,9.429999
2021-01-02,7.85
2021-01-03,7.3999996
2021-01-04,7.54
2021-01-05,5.7599998
2021-01-06,5.75
2021-01-07,7.23
2021-01-08,8.11
2021-01-09,11.73
2021-01-10,10.48
2021-01-11,7.8799996
2021-01-12,8.059999
2021-01-13,10.17
2021-01-14,9.639999
2021-01-15,11.04
2021-01-16,9.5199995
2021-01-17,11.78
2021-01-18,9.36
2021-01-19,9.889999
2021-01-20,12.7699995
2021-01-21,14.599999
2021-01-22,13.0
2021-01-23,12.78
2021-01-24,12.25
2021-01-25,12.469999
2021-01-26,11.0199995
2021-01-27,13.5199995
2021-01-28,14.45
2021-01-29,16.13
2021-01-30,12.96
2021-01-31,12.21
2021-02-01,14.719999
2021-02-02,15.799999
2021-02-03,13.83
2021-02-04,13.19
2021-02-05,15.139999
2021-02-06,14.49
2021-02-07,9.37
2021-02-08,11.95
2021-02-09,13.29
2021-02-10,11.41
2021-02-11,11.92
2021-02-12,11.12
2021-02-13,12.36
2021-02-14,8.0
2021-02-15,8.11
2021-02-16,10.7699995
2021-02-17,10.28
2021-02-18,12.15
2021-02-19,10.84
2021-02-20,12.389999
2021-02-21,14.13
2021-02-22,13.71
2021-02-23,13.98
2021-02-24,11.91
2021-02-25,11.62
2021-02-26,10.8
2021-02-27,10.57
2021-02-28,11.92
2021-03-01,13.309999
2021-03-02,12.5199995
2021-03-03,12.74
2021-03-04,11.66
2021-03-05,11.7699995
2021-03-06,11.59
2021-03-07,12.54
2021-03-08,11.889999
2021-03-09,11.309999
2021-03-10,11.25
2021-03-11,12.17
2021-03-12,13.25
2021-03-13,11.889999
2021-03-14,13.679999
2021-03-15,12.08
2021-03-16,12.0
2021-03-17,13.2
2021-03-18,11.32
2021-03-19,8.46
2021-03-20,9.4
2021-03-21,9.309999
2021-03-22,11.509999
2021-03-23,11.219999
2021-03-24,12.05
2021-03-25,11.92
2021-03-26,14.41
2021-03-27,13.24
2021-03-28,12.799999
2021-03-29,13.86
2021-03-30,14.179999
2021-03-31,14.48
2021-04-01,14.48
2021-04-02,15.38
2021-04-03,17.01
2021-04-04,14.929999
2021-04-05,14.719999
2021-04-06,14.799999
2021-04-07,10.139999
2021-04-08,9.309999
2021-04-09,12.55
2021-04-10,13.99
2021-04-11,14.17
2021-04-12,10.849999
2021-04-13,11.71
2021-04-14,12.25
2021-04-15,12.61
2021-04-16,12.25
2021-04-17,9.95
2021-04-18,11.759999
2021-04-19,13.2
2021-04-20,12.42
2021-04-21,14.49
2021-04-22,13.4
2021-04-23,13.969999
2021-04-24,13.82
2021-04-25,15.67
2021-04-26,16.529999
2021-04-27,16.609999
2021-04-28,16.13
2021-04-29,17.949999
2021-04-30,17.46
2021-05-01,14.7699995
2021-05-02,14.9
2021-05-03,14.849999
2021-05-04,15.0199995
2021-05-05,16.15
2021-05-06,15.82
2021-05-07,17.69
2021-05-08,17.199999
2021-05-09,19.52
2021-05-10,17.81
2021-05-11,15.38
2021-05-12,15.99
2021-05-13,17.13
2021-05-14,16.199999
2021-05-15,17.48
2021-05-16,21.74
2021-05-17,16.43
2021-05-18,15.99
2021-05-19,16.33
2021-05-20,17.4
2021-05-21,17.33
2021-05-22,17.73
2021-05-23,16.359999
2021-05-24,16.98
2021-05-25,16.47
2021-05-26,16.3
2021-05-27,17.46
2021-05-28,18.859999
2021-05-29,19.31
2021-05-30,21.31
2021-05-31,21.27
2021-06-01,20.619999
2021-06-02,21.68
2021-06-03,21.039999
2021-06-04,21.81
2021-06-05,20.77
2021-06-06,20.93
2021-06-07,20.789999
2021-06-08,21.77
2021-06-09,23.199999
2021-06-10,23.48
2021-06-11,23.519999
2021-06-12,24.91
2021-06-13,25.33
2021-06-14,25.47
2021-06-15,26.4
2021-06-16,25.75
2021-06-17,24.88
2021-06-18,24.84
2021-06-19,26.51
2021-06-20,23.88
2021-06-21,23.46
2021-06-22,24.34
2021-06-23,22.9
2021-06-24,22.279999
2021-06-25,22.65
2021-06-26,22.15
2021-06-27,24.1
2021-06-28,24.09
2021-06-29,24.15
2021-06-30,23.369999
2021-07-01,23.369999
2021-07-02,22.939999
2021-07-03,24.189999
2021-07-04,25.56
2021-07-05,24.779999
2021-07-06,25.869999
2021-07-07,25.939999
2021-07-08,24.269999
2021-07-09,23.72
2021-07-10,23.84
2021-07-11,25.199999
2021-07-12,25.17
2021-07-13,21.92
2021-07-14,22.39
2021-07-15,23.449999
2021-07-16,24.22
2021-07-17,25.01
2021-07-18,25.74
2021-07-19,25.89
2021-07-20,25.3
2021-07-21,25.76
2021-07-22,26.43
2021-07-23,26.599998
2021-07-24,28.3
2021-07-25,25.98
2021-07-26,24.46
2021-07-27,25.16
2021-07-28,25.0
2021-07-29,26.24
2021-07-30,25.199999
2021-07-31,24.56
2021-08-01,22.05
2021-08-02,23.49
2021-08-03,24.949999
2021-08-04,24.109999
2021-08-05,24.93
2021-08-06,25.24
2021-08-07,26.619999
2021-08-08,24.699999
2021-08-09,25.18
2021-08-10,26.5
2021-08-11,27.73
2021-08-12,29.56
2021-08-13,28.26
2021-08-14,28.039999
2021-08-15,28.22
2021-08-16,26.46
2021-08-17,24.289999
2021-08-18,24.289999
2021-08-19,24.41
2021-08-20,24.38
2021-08-21,25.75
2021-08-22,26.42
2021-08-23,25.31
2021-08-24,24.92
2021-08-25,23.97
2021-08-26,23.57
2021-08-27,25.51
2021-08-28,24.05
2021-08-29,23.67
2021-08-30,22.9
2021-08-31,23.609999
2021-09-01,24.619999
2021-09-02,26.15
2021-09-03,25.529999
2021-09-04,24.51
2021-09-05,24.22
2021-09-06,24.55
2021-09-07,25.75
2021-09-08,26.17
2021-09-09,26.119999
2021-09-10,24.5
2021-09-11,24.109999
2021-09-12,23.81
2021-09-13,23.96
2021-09-14,26.019999
2021-09-15,25.63
2021-09-16,24.449999
2021-09-17,24.09
2021-09-18,23.91
2021-09-19,21.75
2021-09-20,21.96
2021-09-21,20.06
