time,ITI13
2021-01-01,2.6
2021-01-02,0.32
2021-01-03,1.99
2021-01-04,2.25
2021-01-05,2.87
2021-01-06,1.28
2021-01-07,-0.42999998
2021-01-08,0.049999997
2021-01-09,-1.64
2021-01-10,1.5799999
2021-01-11,5.8399997
2021-01-12,2.3899999
2021-01-13,1.5
2021-01-14,4.3199997
2021-01-15,2.3799999
2021-01-16,4.8399997
2021-01-17,4.58
2021-01-18,4.5499997
2021-01-19,3.6299999
2021-01-20,2.8899999
2021-01-21,2.75
2021-01-22,2.77
2021-01-23,-1.01
2021-01-24,-0.74
2021-01-25,1.22
2021-01-26,1.67
2021-01-27,3.56
2021-01-28,4.22
2021-01-29,4.3399997
2021-01-30,2.28
2021-01-31,0.48
2021-02-01,1.24
2021-02-02,2.1
2021-02-03,4.27
2021-02-04,4.31
2021-02-05,3.72
2021-02-06,3.49
2021-02-07,1.0799999
2021-02-08,-0.19999999
2021-02-09,0.02
2021-02-10,-1.2099999
2021-02-11,-1.7199999
2021-02-12,-0.41
2021-02-13,0.65
2021-02-14,3.1399999
2021-02-15,7.37
2021-02-16,8.33
2021-02-17,5.7999997
2021-02-18,5.5499997
2021-02-19,5.66
2021-02-20,8.429999
2021-02-21,7.8399997
2021-02-22,6.0699997
2021-02-23,6.43
2021-02-24,9.57
2021-02-25,6.17
2021-02-26,5.0299997
2021-02-27,7.3599997
2021-02-28,6.22
2021-03-01,4.94
2021-03-02,3.48
2021-03-03,2.34
2021-03-04,3.6499999
2021-03-05,3.01
2021-03-06,2.82
2021-03-07,4.91
2021-03-08,6.8799996
2021-03-09,7.5
2021-03-10,7.02
2021-03-11,6.24
2021-03-12,4.74
2021-03-13,3.73
2021-03-14,5.66
2021-03-15,6.75
2021-03-16,9.63
2021-03-17,7.31
2021-03-18,8.67
2021-03-19,8.389999
2021-03-20,8.26
2021-03-21,7.79
2021-03-22,6.8999996
2021-03-23,7.98
2021-03-24,7.04
2021-03-25,7.8399997
2021-03-26,6.42
2021-03-27,4.39
2021-03-28,8.47
2021-03-29,11.5
2021-03-30,11.28
2021-03-31,8.42
2021-04-01,5.58
2021-04-02,5.3399997
2021-04-03,6.25
2021-04-04,6.33
2021-04-05,2.32
2021-04-06,2.1299999
2021-04-07,2.5
2021-04-08,6.14
2021-04-09,4.11
2021-04-10,1.62
2021-04-11,1.76
2021-04-12,3.12
2021-04-13,4.02
2021-04-14,5.49
2021-04-15,5.65
2021-04-16,6.17
2021-04-17,6.7999997
2021-04-18,6.62
2021-04-19,8.98
2021-04-20,8.45
2021-04-21,7.27
2021-04-22,6.75
2021-04-23,7.5699997
2021-04-24,8.63
2021-04-25,6.87
2021-04-26,7.2799997
2021-04-27,7.19
2021-04-28,6.3199997
2021-04-29,4.87
2021-04-30,5.41
2021-05-01,4.89
2021-05-02,5.95
2021-05-03,6.06
2021-05-04,6.83
2021-05-05,5.99
2021-05-06,4.2799997
2021-05-07,5.83
2021-05-08,6.68
2021-05-09,9.58
2021-05-10,10.99
2021-05-11,11.429999
2021-05-12,8.98
2021-05-13,7.7999997
2021-05-14,8.75
2021-05-15,8.84
2021-05-16,9.44
2021-05-17,9.73
2021-05-18,9.429999
2021-05-19,9.12
2021-05-20,8.86
2021-05-21,9.32
2021-05-22,7.3399997
2021-05-23,7.1299996
2021-05-24,7.96
2021-05-25,9.09
2021-05-26,9.96
2021-05-27,10.639999
2021-05-28,10.38
2021-05-29,13.54
2021-05-30,12.99
2021-05-31,12.9
2021-06-01,13.92
2021-06-02,13.69
2021-06-03,14.139999
2021-06-04,13.549999
2021-06-05,13.03
2021-06-06,14.13
2021-06-07,13.34
2021-06-08,14.41
2021-06-09,16.27
2021-06-10,16.619999
2021-06-11,15.21
2021-06-12,13.7699995
2021-06-13,16.66
2021-06-14,13.929999
2021-06-15,11.889999
2021-06-16,14.23
2021-06-17,13.57
2021-06-18,10.96
2021-06-19,12.13
2021-06-20,13.36
2021-06-21,11.849999
2021-06-22,11.05
2021-06-23,13.99
2021-06-24,15.99
2021-06-25,11.65
2021-06-26,11.9
2021-06-27,14.099999
2021-06-28,14.679999
2021-06-29,15.0
2021-06-30,13.5199995
2021-07-01,12.79
2021-07-02,13.719999
2021-07-03,15.48
2021-07-04,16.49
2021-07-05,14.88
2021-07-06,13.19
2021-07-07,14.929999
2021-07-08,14.549999
2021-07-09,15.29
2021-07-10,15.2699995
2021-07-11,16.359999
2021-07-12,16.24
2021-07-13,15.929999
2021-07-14,16.369999
2021-07-15,16.539999
2021-07-16,18.14
2021-07-17,19.369999
2021-07-18,17.82
2021-07-19,17.68
2021-07-20,18.529999
2021-07-21,18.58
