time,DE21K
2021-01-01,2.1399999
2021-01-02,3.12
2021-01-03,3.24
2021-01-04,3.0024998
2021-01-05,3.2724998
2021-01-06,1.56
2021-01-07,0.76
2021-01-08,0.9425
2021-01-09,1.6075
2021-01-10,0.8925
2021-01-11,2.905
2021-01-12,3.1200001
2021-01-13,1.4775
2021-01-14,1.505
2021-01-15,-0.50749993
2021-01-16,-1.4325
2021-01-17,-2.8174999
2021-01-18,0.91249996
2021-01-19,3.3625
2021-01-20,7.06
2021-01-21,7.0849996
2021-01-22,4.7599998
2021-01-23,1.5849999
2021-01-24,0.71500003
2021-01-25,0.88
2021-01-26,0.23499998
2021-01-27,1.3825
2021-01-28,0.3775
2021-01-29,-0.8275
2021-01-30,-1.3325
2021-01-31,-3.7075
2021-02-01,-3.175
2021-02-02,-1.2624999
2021-02-03,0.09
2021-02-04,0.8275
2021-02-05,-0.082499996
2021-02-06,-1.655
2021-02-07,-4.3525
2021-02-08,-3.7150002
2021-02-09,-5.3450003
2021-02-10,-3.2975
2021-02-11,-4.7425
2021-02-12,-6.375
2021-02-13,-6.4974995
2021-02-14,-7.2324996
2021-02-15,-3.105
2021-02-16,1.3325
2021-02-17,4.1724997
2021-02-18,6.2400002
2021-02-19,5.2925
2021-02-20,6.9875
2021-02-21,8.094999
2021-02-22,8.3324995
2021-02-23,10.237499
2021-02-24,12.21
2021-02-25,10.905001
2021-02-26,6.6324997
2021-02-27,4.99
2021-02-28,4.9674997
2021-03-01,4.015
2021-03-02,1.41
2021-03-03,4.1425
2021-03-04,2.76
2021-03-05,1.2225
2021-03-06,1.9675
2021-03-07,3.4925
2021-03-08,0.82
2021-03-09,1.6800001
2021-03-10,2.8025
2021-03-11,6.5225
2021-03-12,6.155
2021-03-13,4.7475
2021-03-14,5.2075
2021-03-15,4.495
2021-03-16,3.4724998
2021-03-17,2.5724998
2021-03-18,2.81
2021-03-19,0.73
2021-03-20,1.5775
2021-03-21,5.5724998
2021-03-22,4.4375
2021-03-23,5.565
2021-03-24,8.202499
2021-03-25,8.005
2021-03-26,9.844999
2021-03-27,6.0175
2021-03-28,6.5924997
2021-03-29,11.502501
2021-03-30,12.2175
2021-03-31,12.07
2021-04-01,7.1949997
2021-04-02,4.9575
2021-04-03,4.9325
2021-04-04,4.575
2021-04-05,3.2549996
2021-04-06,1.6024998
2021-04-07,2.57
2021-04-08,4.1375
2021-04-09,5.6799994
2021-04-10,5.3175
2021-04-11,6.3199997
2021-04-12,4.3424997
2021-04-13,4.085
2021-04-14,4.1499996
2021-04-15,5.0925
2021-04-16,6.4424996
2021-04-17,7.53
2021-04-18,7.2875
2021-04-19,7.6099997
2021-04-20,8.9175
2021-04-21,7.5699997
2021-04-22,7.1925
2021-04-23,7.7699995
2021-04-24,6.4300003
2021-04-25,5.9124994
2021-04-26,4.8675
2021-04-27,5.7325
2021-04-28,9.5475
2021-04-29,7.3675
2021-04-30,8.0425
2021-05-01,8.175
2021-05-02,7.6475
2021-05-03,7.2225
2021-05-04,8.5075
2021-05-05,6.9175
2021-05-06,6.695
2021-05-07,6.005
2021-05-08,8.6975
2021-05-09,18.085
2021-05-10,18.9175
2021-05-11,12.264999
2021-05-12,12.272499
2021-05-13,10.442499
2021-05-14,9.122499
2021-05-15,10.022499
2021-05-16,11.2525
2021-05-17,11.3025
2021-05-18,11.2425
2021-05-19,10.5125
2021-05-20,10.595
2021-05-21,11.7175
2021-05-22,11.017499
2021-05-23,11.094999
2021-05-24,14.5525
2021-05-25,10.8825
2021-05-26,10.5525
2021-05-27,10.857499
2021-05-28,10.9775
2021-05-29,11.215
