time,HR031
2021-01-01,-0.65789473
2021-01-02,1.4173684
2021-01-03,-0.69052625
2021-01-04,-0.112631574
2021-01-05,-3.446842
2021-01-06,-6.306842
2021-01-07,-4.0010524
2021-01-08,-5.696316
2021-01-09,-2.6847367
2021-01-10,0.032631572
2021-01-11,0.9105263
2021-01-12,2.4152632
2021-01-13,-0.54947364
2021-01-14,0.64052635
2021-01-15,-3.809474
2021-01-16,-12.232105
2021-01-17,-2.2447367
2021-01-18,-6.082105
2021-01-19,-7.117894
2021-01-20,-4.3989472
2021-01-21,-1.9294736
2021-01-22,-7.7073684
2021-01-23,-10.981579
2021-01-24,-5.981579
2021-01-25,-5.104737
2021-01-26,-6.773684
2021-01-27,-2.953158
2021-01-28,0.518421
2021-01-29,0.41315788
2021-01-30,-1.856842
2021-01-31,-1.348421
2021-02-01,5.1410522
2021-02-02,5.543158
2021-02-03,4.2336845
2021-02-04,3.2710526
2021-02-05,1.0036842
2021-02-06,4.848947
2021-02-07,6.602105
2021-02-08,2.05
2021-02-09,5.165789
2021-02-10,2.771579
2021-02-11,3.5926313
2021-02-12,-3.9484212
2021-02-13,-11.68158
2021-02-14,-11.013684
2021-02-15,-5.424737
2021-02-16,-1.3178948
2021-02-17,-0.9163158
2021-02-18,-6.787368
2021-02-19,-4.262105
2021-02-20,-7.669999
2021-02-21,-4.148421
2021-02-22,-5.131579
2021-02-23,7.6636844
2021-02-24,4.8168426
2021-02-25,-1.1757895
2021-02-26,0.82894737
2021-02-27,-5.260526
2021-02-28,-3.4952629
2021-03-01,0.38526314
2021-03-02,1.7063156
2021-03-03,-0.8173684
2021-03-04,0.82315785
2021-03-05,-1.7578946
2021-03-06,-3.7163157
2021-03-07,3.2878945
2021-03-08,-1.2452631
2021-03-09,-3.0378947
2021-03-10,-3.1678948
2021-03-11,-2.6510527
2021-03-12,-6.702632
2021-03-13,-7.8894734
2021-03-14,-4.463684
2021-03-15,-3.843158
2021-03-16,-3.0073683
2021-03-17,3.5078948
2021-03-18,-0.5589474
2021-03-19,-3.8542104
2021-03-20,-6.915789
2021-03-21,-3.3426316
2021-03-22,-3.6315784
2021-03-23,-7.661579
2021-03-24,-4.3589473
2021-03-25,-4.7821054
2021-03-26,-2.9968421
2021-03-27,-3.9910524
2021-03-28,-7.274737
2021-03-29,-3.6684208
2021-03-30,-2.6426315
2021-03-31,0.20999996
2021-04-01,1.8936841
2021-04-02,-0.12473684
2021-04-03,-0.88105273
2021-04-04,-1.2094736
2021-04-05,5.5673685
2021-04-06,1.0663157
2021-04-07,2.4915788
2021-04-08,5.3878946
2021-04-09,3.738421
2021-04-10,0.5615789
2021-04-11,2.7157893
2021-04-12,7.3957887
2021-04-13,-0.9578948
2021-04-14,-0.04631577
2021-04-15,3.86
2021-04-16,7.5773683
2021-04-17,10.922631
2021-04-18,9.394737
2021-04-19,10.677368
2021-04-20,8.065263
2021-04-21,8.043683
2021-04-22,4.674737
2021-04-23,3.9157891
2021-04-24,5.958421
2021-04-25,9.378947
2021-04-26,10.37
2021-04-27,3.9994736
2021-04-28,10.815789
2021-04-29,12.584736
2021-04-30,9.012105
2021-05-01,11.783684
2021-05-02,9.573158
2021-05-03,11.875263
2021-05-04,11.756842
2021-05-05,5.5921054
2021-05-06,7.2563157
2021-05-07,9.080526
2021-05-08,7.6573677
2021-05-09,13.4131565
2021-05-10,7.85579
2021-05-11,9.878946
2021-05-12,11.131053
2021-05-13,13.94158
2021-05-14,13.146842
2021-05-15,12.536841
2021-05-16,12.658948
2021-05-17,11.169473
2021-05-18,9.912631
2021-05-19,9.437895
2021-05-20,10.343684
2021-05-21,15.99
2021-05-22,15.277895
2021-05-23,10.741052
2021-05-24,13.929999
2021-05-25,12.141579
2021-05-26,9.030525
2021-05-27,11.233685
2021-05-28,9.246316
2021-05-29,10.642104
2021-05-30,5.025263
2021-05-31,10.067894
2021-06-01,12.3415785
2021-06-02,15.36579
2021-06-03,14.649473
2021-06-04,16.973684
2021-06-05,11.777895
2021-06-06,9.793683
2021-06-07,6.458421
2021-06-08,10.314737
2021-06-09,13.119473
2021-06-10,12.410525
2021-06-11,12.727894
2021-06-12,12.293157
2021-06-13,8.491052
2021-06-14,16.193157
2021-06-15,18.483685
2021-06-16,16.960526
2021-06-17,15.632104
2021-06-18,20.586315
2021-06-19,21.21842
2021-06-20,25.266315
2021-06-21,22.18526
2021-06-22,22.00842
2021-06-23,18.176315
2021-06-24,16.234735
2021-06-25,14.697369
2021-06-26,13.819474
2021-06-27,17.519474
2021-06-28,16.158947
2021-06-29,17.678946
2021-06-30,15.828947
2021-07-01,18.595263
2021-07-02,17.981054
2021-07-03,19.313158
2021-07-04,22.138947
2021-07-05,18.445263
2021-07-06,19.837368
2021-07-07,21.45579
2021-07-08,21.35421
2021-07-09,17.578947
2021-07-10,17.324738
2021-07-11,16.952105
2021-07-12,21.392632
2021-07-13,22.823156
2021-07-14,18.146317
2021-07-15,19.148949
2021-07-16,15.649472
2021-07-17,17.720526
2021-07-18,21.736315
2021-07-19,18.601578
2021-07-20,20.893684
2021-07-21,19.411053
2021-07-22,13.625263
2021-07-23,12.600525
2021-07-24,15.71579
2021-07-25,15.984736
2021-07-26,23.270525
2021-07-27,23.323156
2021-07-28,18.40263
2021-07-29,13.553157
2021-07-30,15.493685
2021-07-31,19.227896
2021-08-01,18.925262
2021-08-02,18.159472
2021-08-03,17.909473
2021-08-04,18.392105
2021-08-05,20.344736
2021-08-06,21.515263
2021-08-07,26.35421
2021-08-08,23.18158
2021-08-09,21.027895
2021-08-10,17.731054
2021-08-11,16.158947
2021-08-12,17.862633
2021-08-13,19.301579
2021-08-14,16.533686
2021-08-15,17.78263
2021-08-16,18.325788
2021-08-17,16.02842
2021-08-18,16.180527
2021-08-19,17.033157
2021-08-20,18.863155
2021-08-21,18.083685
2021-08-22,19.651052
2021-08-23,16.355263
2021-08-24,15.784736
2021-08-25,19.455261
2021-08-26,22.041052
2021-08-27,18.837894
2021-08-28,18.968948
2021-08-29,17.53842
2021-08-30,19.91421
2021-08-31,19.752104
2021-09-01,14.770526
2021-09-02,9.111579
2021-09-03,11.93
2021-09-04,8.903684
2021-09-05,11.0636835
2021-09-06,10.839474
2021-09-07,11.546314
2021-09-08,9.302105
2021-09-09,10.566316
2021-09-10,13.890526
2021-09-11,12.834737
2021-09-12,13.135789
2021-09-13,15.947894
2021-09-14,17.167368
2021-09-15,15.970527
2021-09-16,16.192633
2021-09-17,12.812631
2021-09-18,13.937895
2021-09-19,15.5952635
2021-09-20,15.367368
2021-09-21,12.072105
2021-09-22,9.052105
2021-09-23,9.894737
2021-09-24,9.360526
2021-09-25,10.291052
2021-09-26,9.465789
2021-09-27,11.093684
2021-09-28,9.027895
2021-09-29,9.883158
2021-09-30,7.6568427
2021-10-01,2.634737
2021-10-02,4.9315786
2021-10-03,7.2831573
2021-10-04,10.933683
2021-10-05,4.2210526
2021-10-06,-0.023684226
2021-10-07,-2.3468418
2021-10-08,-1.7094736
2021-10-09,-1.93
2021-10-10,1.2168422
2021-10-11,2.4452631
2021-10-12,2.13
2021-10-13,2.6526318
2021-10-14,4.8257895
2021-10-15,7.3163157
2021-10-16,7.201579
2021-10-17,10.383684
2021-10-18,
2021-10-19,6.233684
2021-10-20,6.668947
2021-10-21,2.226842
2021-10-22,3.1336842
2021-10-23,4.296842
2021-10-24,5.6394734
2021-10-25,6.21421
2021-10-26,7.5921054
2021-10-27,3.2657893
2021-10-28,7.132631
2021-10-29,7.6384215
2021-10-30,11.491052
2021-10-31,9.350527
2021-11-01,11.406842
2021-11-02,10.75842
2021-11-03,7.263158
2021-11-04,2.3563156
2021-11-05,4.043684
2021-11-06,4.274737
2021-11-07,7.4078946
2021-11-08,4.6357894
2021-11-09,2.8442106
2021-11-10,3.689474
2021-11-11,5.325263
2021-11-12,5.8152633
2021-11-13,7.513158
2021-11-14,-0.15894738
2021-11-15,1.2768421
2021-11-16,4.408947
2021-11-17,0.79999995
2021-11-18,-3.6594737
2021-11-19,-3.4736843
2021-11-20,4.3426313
2021-11-21,4.8152633
2021-11-22,-1.1905262
2021-11-23,-2.7752628
2021-11-24,0.94789475
2021-11-25,3.1426315
2021-11-26,-1.0594735
2021-11-27,-3.8410523
2021-11-28,-3.4521055
2021-11-29,-3.2573683
2021-11-30,0.07947372
2021-12-01,-1.1
2021-12-02,-7.465263
2021-12-03,-7.898947
2021-12-04,1.7626314
2021-12-05,5.333684
2021-12-06,3.1710525
2021-12-07,-1.7568421
2021-12-08,9.524737
2021-12-09,5.4094734
2021-12-10,3.8005264
2021-12-11,-3.0615788
2021-12-12,-3.0278947
2021-12-13,0.30105263
2021-12-14,-2.2921052
2021-12-15,-4.0752625
2021-12-16,0.02842105
2021-12-17,-8.89
2021-12-18,-6.5931573
2021-12-19,1.6673683
2021-12-20,-4.7542105
2021-12-21,-5.875263
2021-12-22,-6.691052
2021-12-23,-8.328947
2021-12-24,-6.036842
2021-12-25,-17.174738
2021-12-26,-4.025263
2021-12-27,2.648421
2021-12-28,6.5384207
2021-12-29,0.518421
2021-12-30,-3.8642104
2021-12-31,-4.8678946
