time,DEB3D
2021-08-08,15.058518
2021-08-09,14.613703
2021-08-10,14.9377775
2021-08-11,14.545431
2021-08-12,14.909629
2021-08-13,15.21827
2021-08-14,12.908642
2021-08-15,12.192716
2021-08-16,12.194074
2021-08-17,11.969629
2021-08-18,11.456049
2021-08-19,11.203333
2021-08-20,10.769135
2021-08-21,10.486667
2021-08-22,9.4279
2021-08-23,9.800123
2021-08-24,11.136049
2021-08-25,11.114692
2021-08-26,9.182222
2021-08-27,10.572099
2021-08-28,11.98642
2021-08-29,12.96469
2021-08-30,12.489012
2021-08-31,11.483086
2021-09-01,11.85926
2021-09-02,12.0611105
2021-09-03,9.000988
2021-09-04,6.909506
2021-09-05,8.409752
2021-09-06,9.965926
2021-09-07,12.2303705
2021-09-08,16.109505
2021-09-09,15.550246
2021-09-10,12.867161
2021-09-11,13.931233
2021-09-12,12.922592
2021-09-13,7.9912343
2021-09-14,7.6693826
2021-09-15,7.5922217
2021-09-16,6.79
2021-09-17,6.1954317
2021-09-18,6.362716
2021-09-19,6.41679
2021-09-20,5.3612347
2021-09-21,6.020247
2021-09-22,8.725432
2021-09-23,8.722098
2021-09-24,5.6554317
2021-09-25,7.3383946
2021-09-26,7.0287657
2021-09-27,8.2288885
2021-09-28,9.041605
2021-09-29,8.690124
2021-09-30,7.9341974
2021-10-01,8.657654
2021-10-02,9.091728
2021-10-03,10.524692
2021-10-04,9.837901
2021-10-05,9.155679
2021-10-06,9.100864
2021-10-07,8.4383955
2021-10-08,10.4377775
2021-10-09,11.426789
2021-10-10,9.463826
2021-10-11,5.3501234
2021-10-12,3.1402469
2021-10-13,1.3406172
2021-10-14,6.6124687
2021-10-15,4.6651855
2021-10-16,2.5432098
2021-10-17,0.44901237
2021-10-18,-0.33999997
2021-10-19,-0.0517284
2021-10-20,8.172221
2021-10-21,5.0039506
2021-10-22,2.2353086
2021-10-23,0.46283948
2021-10-24,5.100247
2021-10-25,7.3590126
2021-10-26,5.430864
2021-10-27,5.3858023
2021-10-28,8.557284
2021-10-29,9.100987
2021-10-30,6.779506
2021-10-31,5.971235
2021-11-01,6.6282716
2021-11-02,6.4306173
2021-11-03,4.984074
2021-11-04,3.7206173
2021-11-05,1.3079011
2021-11-06,-0.87629634
2021-11-07,-0.6966666
2021-11-08,-3.867284
2021-11-09,0.23283951
2021-11-10,3.6502466
2021-11-11,1.9853086
2021-11-12,-1.028395
2021-11-13,-2.0820987
2021-11-14,-1.9885185
2021-11-15,1.6492592
2021-11-16,4.4933333
2021-11-17,3.0196295
2021-11-18,-1.9493827
2021-11-19,2.430864
2021-11-20,-0.39839506
2021-11-21,-4.26679
2021-11-22,-4.7323456
2021-11-23,-0.79802465
2021-11-24,-0.10444448
2021-11-25,-3.4722223
2021-11-26,-9.429629
2021-11-27,-8.507654
2021-11-28,-7.1930866
2021-11-29,-11.321976
