time,DE94D
2021-01-01,1.6199999
2021-01-02,3.605
2021-01-03,4.93
2021-01-04,4.4700003
2021-01-05,4.725
2021-01-06,3.3249998
2021-01-07,3.12
2021-01-08,1.5
2021-01-09,0.775
2021-01-10,1.04
2021-01-11,-0.47499996
2021-01-12,-0.049999997
2021-01-13,4.9049997
2021-01-14,4.0299997
2021-01-15,3.915
2021-01-16,1.085
2021-01-17,1.15
2021-01-18,-0.76
2021-01-19,-0.33499998
2021-01-20,2.0349998
2021-01-21,2.625
2021-01-22,3.9999998
2021-01-23,6.88
2021-01-24,4.5299997
2021-01-25,2.7
2021-01-26,4.49
2021-01-27,1.66
2021-01-28,3.74
2021-01-29,3.5149999
2021-01-30,5.9799995
2021-01-31,7.435
2021-02-01,5.575
2021-02-02,3.57
2021-02-03,4.5249996
2021-02-04,7.295
2021-02-05,8.299999
2021-02-06,9.405
2021-02-07,7.7
2021-02-08,8.18
2021-02-09,8.02
2021-02-10,8.355
2021-02-11,6.5249996
2021-02-12,3.1599998
2021-02-13,0.13
2021-02-14,0.24499999
2021-02-15,1.92
2021-02-16,4.19
2021-02-17,8.82
2021-02-18,7.06
2021-02-19,8.7
2021-02-20,9.504999
2021-02-21,9.49
2021-02-22,8.645
2021-02-23,10.32
2021-02-24,12.369999
2021-02-25,11.71
2021-02-26,11.94
2021-02-27,11.61
2021-02-28,9.414999
2021-03-01,8.16
2021-03-02,8.264999
2021-03-03,8.195
2021-03-04,8.174999
2021-03-05,10.219999
2021-03-06,7.42
2021-03-07,5.64
2021-03-08,6.305
2021-03-09,6.8949995
2021-03-10,7.4649997
2021-03-11,7.9399996
2021-03-12,10.195
2021-03-13,8.815001
2021-03-14,9.54
2021-03-15,8.495
2021-03-16,10.29
2021-03-17,8.695
2021-03-18,6.5199995
2021-03-19,5.64
2021-03-20,4.9449997
2021-03-21,3.995
2021-03-22,7.4349995
2021-03-23,8.645
2021-03-24,9.165
2021-03-25,11.325
2021-03-26,11.53
2021-03-27,12.65
2021-03-28,12.155
2021-03-29,13.934999
2021-03-30,15.49
2021-03-31,16.48
2021-04-01,16.98
2021-04-02,18.025
2021-04-03,14.84
2021-04-04,11.0
2021-04-05,10.615
2021-04-06,9.28
2021-04-07,5.545
2021-04-08,7.115
2021-04-09,9.65
2021-04-10,10.79
2021-04-11,9.385
2021-04-12,10.535
2021-04-13,9.885
2021-04-14,8.005
2021-04-15,7.9399996
2021-04-16,7.9349995
2021-04-17,8.665
2021-04-18,10.355
2021-04-19,10.83
2021-04-20,11.955
2021-04-21,12.105
2021-04-22,12.655
2021-04-23,14.074999
2021-04-24,15.335
2021-04-25,16.494999
2021-04-26,14.059999
2021-04-27,12.17
2021-04-28,14.315
2021-04-29,13.594999
2021-04-30,14.99
2021-05-01,14.139999
2021-05-02,15.49
2021-05-03,14.03
2021-05-04,13.985
2021-05-05,15.145
2021-05-06,13.235
2021-05-07,17.075
2021-05-08,15.045
2021-05-09,16.13
2021-05-10,17.414999
2021-05-11,13.645
2021-05-12,16.125
2021-05-13,16.779999
2021-05-14,14.059999
2021-05-15,13.285
2021-05-16,13.7
2021-05-17,17.17
2021-05-18,15.84
2021-05-19,15.93
