time,FRC12
2021-01-01,3.9099998
2021-01-02,4.7349997
2021-01-03,5.18
2021-01-04,4.49
2021-01-05,5.585
2021-01-06,4.105
2021-01-07,1.165
2021-01-08,0.745
2021-01-09,-0.82
2021-01-10,-0.66999996
2021-01-11,-1.18
2021-01-12,-1.9649999
2021-01-13,0.21000001
2021-01-14,0.26999998
2021-01-15,-0.66999996
2021-01-16,-1.185
2021-01-17,-2.105
2021-01-18,-2.05
2021-01-19,1.535
2021-01-20,7.3549995
2021-01-21,8.92
2021-01-22,11.19
2021-01-23,8.225
2021-01-24,3.53
2021-01-25,0.585
2021-01-26,1.06
2021-01-27,0.77
2021-01-28,2.2350001
2021-01-29,6.37
2021-01-30,4.785
2021-01-31,-0.53999996
2021-02-01,-1.7249999
2021-02-02,-1.03
2021-02-03,7.17
2021-02-04,11.485001
2021-02-05,9.835
2021-02-06,8.42
2021-02-07,9.264999
2021-02-08,6.1349998
2021-02-09,2.7999997
2021-02-10,3.4299998
2021-02-11,-3.085
2021-02-12,-5.26
2021-02-13,-5.0
2021-02-14,-1.77
2021-02-15,-1.52
2021-02-16,2.115
2021-02-17,4.1099997
2021-02-18,4.7799997
2021-02-19,8.335
2021-02-20,6.1949997
2021-02-21,7.995
2021-02-22,10.349999
2021-02-23,9.065
2021-02-24,10.559999
2021-02-25,11.105
2021-02-26,10.48
2021-02-27,7.1949997
2021-02-28,4.54
2021-03-01,4.765
2021-03-02,4.87
2021-03-03,6.54
2021-03-04,8.805
2021-03-05,8.205
2021-03-06,2.34
2021-03-07,1.525
2021-03-08,4.48
2021-03-09,4.0950003
2021-03-10,2.925
2021-03-11,4.8599997
2021-03-12,9.605
2021-03-13,9.29
2021-03-14,7.495
2021-03-15,5.8949995
2021-03-16,4.93
2021-03-17,4.365
2021-03-18,4.27
2021-03-19,1.885
2021-03-20,1.415
2021-03-21,1.085
2021-03-22,4.345
2021-03-23,4.995
2021-03-24,6.95
2021-03-25,7.005
2021-03-26,9.66
2021-03-27,13.139999
