time,DK021
2021-01-01,2.03
2021-01-02,3.4399998
2021-01-03,3.29
2021-01-04,2.6
2021-01-05,2.46
2021-01-06,1.4499999
2021-01-07,1.93
2021-01-08,1.38
2021-01-09,1.1
2021-01-10,1.42
2021-01-11,4.7999997
2021-01-12,4.62
2021-01-13,3.11
2021-01-14,-0.31
2021-01-15,0.29999998
2021-01-16,-0.04
2021-01-17,1.86
2021-01-18,3.75
2021-01-19,7.04
2021-01-20,8.389999
2021-01-21,6.91
2021-01-22,3.59
2021-01-23,2.11
2021-01-24,0.68
2021-01-25,0.28
2021-01-26,2.81
2021-01-27,3.4499998
2021-01-28,2.73
2021-01-29,3.37
2021-01-30,-1.1
2021-01-31,-2.32
2021-02-01,-0.93
2021-02-02,0.41
2021-02-03,6.3199997
2021-02-04,4.22
2021-02-05,3.3
2021-02-06,0.42
2021-02-07,-4.7599998
2021-02-08,-4.81
2021-02-09,-3.76
2021-02-10,-3.8799999
2021-02-11,-4.94
2021-02-12,-6.5299997
2021-02-13,-7.1099997
2021-02-14,-3.5
2021-02-15,1.62
2021-02-16,5.29
2021-02-17,7.8599997
2021-02-18,8.38
2021-02-19,6.49
2021-02-20,11.509999
2021-02-21,10.67
2021-02-22,10.58
2021-02-23,12.16
2021-02-24,12.929999
2021-02-25,10.53
2021-02-26,6.0699997
2021-02-27,4.2999997
2021-02-28,2.6
2021-03-01,4.5099998
2021-03-02,5.14
2021-03-03,3.4199998
2021-03-04,3.1999998
2021-03-05,1.37
2021-03-06,2.18
2021-03-07,3.07
2021-03-08,4.18
2021-03-09,4.17
2021-03-10,5.13
2021-03-11,8.04
2021-03-12,5.96
2021-03-13,6.23
2021-03-14,5.99
2021-03-15,5.91
2021-03-16,5.8399997
2021-03-17,3.62
2021-03-18,3.26
2021-03-19,3.3
2021-03-20,3.27
2021-03-21,5.77
2021-03-22,5.67
2021-03-23,6.99
2021-03-24,7.3199997
2021-03-25,7.3199997
2021-03-26,9.76
2021-03-27,5.5699997
2021-03-28,8.4
2021-03-29,11.44
2021-03-30,11.59
2021-03-31,13.57
2021-04-01,7.95
2021-04-02,5.25
2021-04-03,6.5699997
2021-04-04,6.0699997
2021-04-05,2.9299998
2021-04-06,1.8499999
2021-04-07,3.04
2021-04-08,4.9
2021-04-09,6.5899997
2021-04-10,4.65
2021-04-11,3.57
2021-04-12,3.1499999
2021-04-13,4.12
2021-04-14,3.9299998
2021-04-15,5.0
2021-04-16,5.9
2021-04-17,6.14
2021-04-18,8.15
2021-04-19,9.76
2021-04-20,10.5199995
2021-04-21,6.87
2021-04-22,6.37
2021-04-23,6.27
2021-04-24,6.46
2021-04-25,6.2
2021-04-26,5.39
2021-04-27,7.54
2021-04-28,9.59
2021-04-29,7.8599997
2021-04-30,8.23
2021-05-01,8.099999
2021-05-02,6.67
2021-05-03,8.66
2021-05-04,8.32
2021-05-05,6.8199997
2021-05-06,5.58
2021-05-07,6.77
2021-05-08,8.86
2021-05-09,18.06
2021-05-10,15.809999
2021-05-11,13.25
2021-05-12,13.009999
2021-05-13,11.59
2021-05-14,9.2699995
2021-05-15,10.24
2021-05-16,10.929999
2021-05-17,10.94
2021-05-18,10.26
2021-05-19,9.66
2021-05-20,11.45
2021-05-21,12.66
2021-05-22,10.29
2021-05-23,10.42
2021-05-24,11.69
2021-05-25,9.67
2021-05-26,10.469999
2021-05-27,10.66
2021-05-28,11.88
2021-05-29,11.53
2021-05-30,12.9
2021-05-31,14.5
2021-06-01,17.97
2021-06-02,18.83
2021-06-03,20.15
2021-06-04,19.6
2021-06-05,15.99
2021-06-06,14.5
2021-06-07,15.799999
2021-06-08,17.06
2021-06-09,18.99
2021-06-10,19.1
2021-06-11,19.189999
2021-06-12,16.05
2021-06-13,15.929999
2021-06-14,19.039999
2021-06-15,16.31
2021-06-16,20.76
2021-06-17,24.4
2021-06-18,21.32
2021-06-19,19.06
2021-06-20,17.949999
2021-06-21,12.94
2021-06-22,13.929999
2021-06-23,13.95
2021-06-24,14.34
2021-06-25,15.469999
2021-06-26,19.189999
2021-06-27,19.449999
2021-06-28,20.109999
2021-06-29,16.34
2021-06-30,14.11
2021-07-01,16.13
2021-07-02,16.44
2021-07-03,18.69
2021-07-04,18.43
2021-07-05,17.24
2021-07-06,17.99
2021-07-07,17.279999
2021-07-08,17.89
2021-07-09,17.76
2021-07-10,17.4
2021-07-11,19.189999
2021-07-12,20.189999
2021-07-13,19.369999
2021-07-14,20.09
2021-07-15,18.21
2021-07-16,17.279999
2021-07-17,19.22
2021-07-18,19.0
2021-07-19,16.58
2021-07-20,17.14
2021-07-21,18.039999
2021-07-22,17.15
2021-07-23,16.74
2021-07-24,19.27
2021-07-25,19.64
2021-07-26,19.81
2021-07-27,18.69
2021-07-28,17.26
2021-07-29,16.619999
2021-07-30,16.56
2021-07-31,16.76
2021-08-01,15.349999
2021-08-02,15.07
2021-08-03,15.2
2021-08-04,16.69
2021-08-05,17.65
2021-08-06,17.69
2021-08-07,17.31
2021-08-08,16.619999
2021-08-09,16.13
2021-08-10,16.14
2021-08-11,17.51
2021-08-12,18.84
2021-08-13,17.38
2021-08-14,17.74
2021-08-15,19.06
2021-08-16,15.9
2021-08-17,15.53
2021-08-18,16.67
2021-08-19,16.16
2021-08-20,17.0
2021-08-21,18.199999
2021-08-22,17.779999
2021-08-23,17.609999
2021-08-24,16.539999
2021-08-25,15.24
2021-08-26,16.26
2021-08-27,15.5
2021-08-28,16.46
2021-08-29,16.27
2021-08-30,17.4
2021-08-31,16.27
2021-09-01,15.509999
2021-09-02,14.37
2021-09-03,14.259999
2021-09-04,15.2699995
2021-09-05,14.37
2021-09-06,15.45
2021-09-07,18.35
2021-09-08,19.08
2021-09-09,19.779999
2021-09-10,19.42
2021-09-11,17.869999
2021-09-12,16.1
2021-09-13,14.91
2021-09-14,16.47
2021-09-15,17.55
2021-09-16,15.589999
2021-09-17,14.929999
2021-09-18,14.7
2021-09-19,14.23
2021-09-20,11.349999
2021-09-21,13.11
2021-09-22,13.92
2021-09-23,14.62
2021-09-24,17.0
2021-09-25,17.59
2021-09-26,17.359999
2021-09-27,15.349999
2021-09-28,12.98
2021-09-29,11.04
2021-09-30,11.95
2021-10-01,13.28
2021-10-02,14.08
2021-10-03,13.03
2021-10-04,13.2699995
2021-10-05,12.37
2021-10-06,10.76
2021-10-07,8.13
2021-10-08,9.7699995
2021-10-09,9.86
2021-10-10,9.59
2021-10-11,11.46
2021-10-12,10.12
2021-10-13,10.62
2021-10-14,13.25
2021-10-15,10.55
2021-10-16,9.429999
2021-10-17,10.82
2021-10-18,11.41
2021-10-19,15.339999
2021-10-20,15.37
2021-10-21,9.309999
2021-10-22,8.059999
2021-10-23,8.82
2021-10-24,7.7599998
2021-10-25,9.5199995
2021-10-26,11.849999
2021-10-27,13.17
2021-10-28,11.349999
2021-10-29,12.84
2021-10-30,12.03
2021-10-31,11.7
2021-11-01,9.76
2021-11-02,7.1299996
2021-11-03,5.72
2021-11-04,6.49
2021-11-05,8.099999
2021-11-06,9.8
2021-11-07,9.08
2021-11-08,8.2699995
2021-11-09,8.05
2021-11-10,8.62
2021-11-11,9.46
2021-11-12,8.07
2021-11-13,10.099999
2021-11-14,8.679999
2021-11-15,6.3199997
2021-11-16,4.71
2021-11-17,7.71
2021-11-18,9.98
2021-11-19,11.889999
2021-11-20,10.4
2021-11-21,8.22
2021-11-22,4.89
2021-11-23,7.1499996
2021-11-24,6.58
2021-11-25,5.0099998
2021-11-26,4.23
2021-11-27,3.9599998
2021-11-28,3.28
2021-11-29,3.1
2021-11-30,7.54
2021-12-01,7.9199996
2021-12-02,2.09
2021-12-03,3.23
2021-12-04,4.65
2021-12-05,3.78
2021-12-06,2.57
2021-12-07,3.32
2021-12-08,4.93
2021-12-09,2.69
2021-12-10,2.73
2021-12-11,1.2099999
2021-12-12,7.35
2021-12-13,9.21
2021-12-14,8.98
2021-12-15,9.76
2021-12-16,8.639999
2021-12-17,8.49
2021-12-18,7.3599997
2021-12-19,6.93
2021-12-20,2.51
2021-12-21,-0.7
2021-12-22,-2.6799998
2021-12-23,1.37
2021-12-24,5.3599997
2021-12-25,-1.1
2021-12-26,-1.66
2021-12-27,2.22
2021-12-28,6.73
2021-12-29,7.3399997
2021-12-30,11.45
2021-12-31,12.98
