time,FRJ28
2021-08-13,19.046667
2021-08-14,22.344444
2021-08-15,23.135555
2021-08-16,23.08889
2021-08-17,17.936668
2021-08-18,15.18111
2021-08-19,16.24
2021-08-20,18.916666
2021-08-21,18.192223
2021-08-22,18.153334
2021-08-23,18.38
2021-08-24,14.6033325
2021-08-25,12.471111
2021-08-26,11.557778
2021-08-27,13.09111
2021-08-28,12.887778
2021-08-29,13.492222
2021-08-30,12.967777
2021-08-31,13.856667
2021-09-01,14.820001
2021-09-02,14.863334
2021-09-03,15.117776
2021-09-04,14.484445
2021-09-05,12.304445
2021-09-06,11.84
2021-09-07,14.259999
2021-09-08,16.166666
2021-09-09,16.118889
2021-09-10,16.37889
2021-09-11,16.563332
2021-09-12,17.433334
2021-09-13,17.877777
2021-09-14,16.905556
2021-09-15,16.996666
2021-09-16,18.67222
2021-09-17,15.945555
2021-09-18,12.802222
2021-09-19,9.829999
2021-09-20,9.448889
2021-09-21,8.928888
2021-09-22,9.298889
2021-09-23,11.932222
2021-09-24,13.376667
2021-09-25,14.205555
2021-09-26,16.708889
2021-09-27,16.338888
2021-09-28,12.314445
2021-09-29,10.838887
2021-09-30,11.617778
2021-10-01,10.088889
2021-10-02,12.695555
2021-10-03,12.826667
2021-10-04,15.351111
2021-10-05,16.230001
2021-10-06,13.512222
2021-10-07,12.141111
2021-10-08,7.578889
2021-10-09,5.4711103
2021-10-10,4.9344444
2021-10-11,6.057778
2021-10-12,7.848888
2021-10-13,5.611111
2021-10-14,6.5477777
2021-10-15,9.091111
2021-10-16,8.078889
2021-10-17,6.565555
2021-10-18,6.838888
2021-10-19,10.075557
2021-10-20,13.292222
2021-10-21,12.83
2021-10-22,10.212223
2021-10-23,6.4888887
2021-10-24,5.5899997
2021-10-25,6.1622224
2021-10-26,5.714444
2021-10-27,8.392222
2021-10-28,8.15
2021-10-29,9.155555
2021-10-30,10.404444
2021-10-31,10.6044445
2021-11-01,8.193333
2021-11-02,6.726667
2021-11-03,8.233334
2021-11-04,11.799999
2021-11-05,6.6788883
2021-11-06,6.677778
2021-11-07,4.9166665
2021-11-08,6.307778
2021-11-09,5.8500004
2021-11-10,5.386667
2021-11-11,5.024444
2021-11-12,2.6022222
2021-11-13,3.9944446
2021-11-14,3.797778
2021-11-15,4.6533337
2021-11-16,4.0899997
2021-11-17,2.8422222
2021-11-18,5.5855556
2021-11-19,6.9266663
2021-11-20,9.793334
2021-11-21,7.2388883
2021-11-22,5.0499997
2021-11-23,2.1055555
2021-11-24,3.2755556
2021-11-25,1.318889
2021-11-26,1.3711112
2021-11-27,2.4177778
2021-11-28,2.1244442
2021-11-29,1.8355556
2021-11-30,1.241111
2021-12-01,2.6755552
2021-12-02,5.4433336
2021-12-03,0.54999995
2021-12-04,-1.9022223
2021-12-05,0.2955556
2021-12-06,0.7722222
2021-12-07,-1.1744444
2021-12-08,-3.1744444
2021-12-09,-2.8455555
2021-12-10,-0.58000004
2021-12-11,-1.8222222
2021-12-12,-1.4633334
2021-12-13,-3.2833333
2021-12-14,-1.9000001
2021-12-15,1.5744444
2021-12-16,4.561111
2021-12-17,3.9022222
2021-12-18,1.7522221
2021-12-19,3.5666666
