time,DEC01
2021-01-01,7.708
2021-01-02,6.2339997
2021-01-03,5.4639997
2021-01-04,5.932
2021-01-05,5.724
2021-01-06,6.5239997
2021-01-07,6.8199997
2021-01-08,7.314
2021-01-09,5.528
2021-01-10,7.0199995
2021-01-11,5.4519997
2021-01-12,4.988
2021-01-13,4.4040003
2021-01-14,5.106
2021-01-15,6.5479994
2021-01-16,5.266
2021-01-17,6.7860003
2021-01-18,7.4379997
2021-01-19,8.15
2021-01-20,13.645999
2021-01-21,13.488001
2021-01-22,11.256
2021-01-23,13.042
2021-01-24,13.166
2021-01-25,15.351999
2021-01-26,16.174
2021-01-27,15.075999
2021-01-28,13.416
2021-01-29,13.637999
2021-01-30,13.129999
2021-01-31,15.381999
2021-02-01,13.359999
2021-02-02,15.688001
2021-02-03,16.844
2021-02-04,11.196
2021-02-05,9.865999
2021-02-06,11.075999
2021-02-07,9.723999
2021-02-08,13.195999
2021-02-09,14.232
2021-02-10,14.4019985
2021-02-11,15.4419985
2021-02-12,14.632001
2021-02-13,14.25
2021-02-14,14.582001
2021-02-15,15.669998
2021-02-16,12.262
2021-02-17,12.354
2021-02-18,12.367999
2021-02-19,12.99
2021-02-20,12.78
2021-02-21,8.338
2021-02-22,9.747999
2021-02-23,11.356
2021-02-24,13.51
2021-02-25,12.478
2021-02-26,14.922
2021-02-27,14.001999
2021-02-28,13.858
2021-03-01,13.37
2021-03-02,13.648
2021-03-03,12.634001
2021-03-04,15.033999
2021-03-05,14.75
2021-03-06,13.912
2021-03-07,12.931999
2021-03-08,11.435999
2021-03-09,12.159999
2021-03-10,12.202
2021-03-11,12.923999
2021-03-12,13.132001
2021-03-13,11.294
2021-03-14,12.713999
2021-03-15,14.201999
2021-03-16,14.742
2021-03-17,16.203999
2021-03-18,14.19
2021-03-19,13.022
2021-03-20,12.712
2021-03-21,11.179999
2021-03-22,12.486
2021-03-23,13.123999
2021-03-24,13.039999
2021-03-25,12.12
2021-03-26,11.774
2021-03-27,15.553999
2021-03-28,16.924
2021-03-29,16.296
2021-03-30,16.574
2021-03-31,20.744
2021-04-01,16.816
2021-04-02,14.49
2021-04-03,15.81
2021-04-04,16.564
2021-04-05,16.824
2021-04-06,16.679998
2021-04-07,16.876
2021-04-08,15.684
2021-04-09,15.811999
2021-04-10,15.782
2021-04-11,16.59
2021-04-12,16.05
2021-04-13,15.864
2021-04-14,17.034
2021-04-15,17.45
2021-04-16,16.044
2021-04-17,15.75
2021-04-18,15.878
2021-04-19,16.679998
2021-04-20,14.301999
2021-04-21,14.19
2021-04-22,17.05
2021-04-23,16.081999
2021-04-24,17.3
2021-04-25,15.594
2021-04-26,17.023998
2021-04-27,17.012
2021-04-28,15.018
2021-04-29,13.702001
2021-04-30,12.319999
2021-05-01,11.728
2021-05-02,13.081999
2021-05-03,14.788
2021-05-04,15.644
2021-05-05,17.06
2021-05-06,17.198
2021-05-07,18.364
2021-05-08,17.474
2021-05-09,12.945999
2021-05-10,11.358
2021-05-11,13.176
2021-05-12,14.783999
2021-05-13,15.254001
2021-05-14,16.014
2021-05-15,17.467999
2021-05-16,17.738
2021-05-17,18.048
2021-05-18,17.401999
2021-05-19,18.973999
2021-05-20,20.278
2021-05-21,17.467999
2021-05-22,16.236
2021-05-23,15.008
2021-05-24,15.960001
2021-05-25,18.3
2021-05-26,19.432001
2021-05-27,18.65
2021-05-28,19.564
2021-05-29,20.845999
2021-05-30,21.566
2021-05-31,20.107998
2021-06-01,16.15
2021-06-02,17.144001
2021-06-03,16.274
2021-06-04,18.057999
2021-06-05,20.421999
2021-06-06,21.036
2021-06-07,21.960001
2021-06-08,22.18
2021-06-09,22.55
2021-06-10,22.807999
2021-06-11,22.66
2021-06-12,23.49
2021-06-13,22.458
2021-06-14,21.314
2021-06-15,22.485998
2021-06-16,20.36
2021-06-17,17.492
2021-06-18,16.675999
2021-06-19,16.336
2021-06-20,16.085999
2021-06-21,16.473999
2021-06-22,19.067999
2021-06-23,20.542
2021-06-24,22.067999
2021-06-25,23.119999
2021-06-26,19.952
2021-06-27,17.641998
2021-06-28,17.401999
2021-06-29,17.464
2021-06-30,18.947998
2021-07-01,18.892
2021-07-02,20.118
2021-07-03,21.169998
2021-07-04,19.723999
2021-07-05,21.204
2021-07-06,18.99
2021-07-07,18.476002
2021-07-08,20.710001
2021-07-09,23.14
2021-07-10,24.52
2021-07-11,23.105999
2021-07-12,18.935999
2021-07-13,18.42
2021-07-14,21.842
2021-07-15,24.334
2021-07-16,27.372
2021-07-17,26.721996
2021-07-18,23.745998
2021-07-19,21.737999
2021-07-20,19.876
2021-07-21,20.731998
2021-07-22,19.866001
2021-07-23,19.81
2021-07-24,20.123999
2021-07-25,20.404001
2021-07-26,22.661999
2021-07-27,23.287998
2021-07-28,23.217999
2021-07-29,22.734
2021-07-30,20.485998
2021-07-31,19.814
2021-08-01,18.506
2021-08-02,21.118
2021-08-03,20.518
2021-08-04,22.076
2021-08-05,21.416
2021-08-06,20.123999
2021-08-07,18.964
2021-08-08,19.396
2021-08-09,19.65
2021-08-10,22.738
2021-08-11,22.897999
2021-08-12,22.717999
2021-08-13,24.812
2021-08-14,24.174
2021-08-15,24.526
2021-08-16,25.206
2021-08-17,23.721998
2021-08-18,22.273998
2021-08-19,21.796
2021-08-20,20.291998
2021-08-21,21.094
2021-08-22,23.548
2021-08-23,25.207998
2021-08-24,24.039999
2021-08-25,22.588001
2021-08-26,22.308
2021-08-27,21.595999
2021-08-28,20.289999
2021-08-29,19.99
2021-08-30,21.355999
2021-08-31,21.88
2021-09-01,21.136
2021-09-02,21.174
2021-09-03,20.536
2021-09-04,21.651999
2021-09-05,24.734
2021-09-06,26.547998
2021-09-07,22.633999
2021-09-08,20.522
2021-09-09,20.716
2021-09-10,21.516
2021-09-11,22.303999
2021-09-12,23.428
2021-09-13,21.578
2021-09-14,19.619999
2021-09-15,20.845999
2021-09-16,21.264
2021-09-17,19.707998
2021-09-18,18.137999
2021-09-19,19.675999
2021-09-20,20.022
2021-09-21,20.467999
2021-09-22,20.079998
2021-09-23,18.706
2021-09-24,19.256
2021-09-25,17.344
2021-09-26,18.888
2021-09-27,19.485998
2021-09-28,18.642
2021-09-29,18.939999
2021-09-30,19.286
2021-10-01,20.952
2021-10-02,21.312
2021-10-03,16.456
2021-10-04,17.814
2021-10-05,19.164
2021-10-06,21.156
2021-10-07,21.963999
2021-10-08,21.592001
2021-10-09,21.466
2021-10-10,21.778
2021-10-11,21.322
2021-10-12,20.844
2021-10-13,21.278
2021-10-14,19.844
2021-10-15,18.848
2021-10-16,19.441998
2021-10-17,20.598
2021-10-18,22.065998
2021-10-19,21.374
2021-10-20,20.814
2021-10-21,18.258
2021-10-22,17.766
2021-10-23,16.843998
2021-10-24,16.857998
2021-10-25,17.397999
2021-10-26,17.460001
2021-10-27,16.973999
2021-10-28,16.432001
2021-10-29,16.616001
2021-10-30,19.882
2021-10-31,19.39
2021-11-01,18.113998
2021-11-02,15.648001
2021-11-03,13.495999
2021-11-04,11.822
2021-11-05,11.575999
2021-11-06,11.252001
2021-11-07,10.264
2021-11-08,13.194
2021-11-09,14.229999
2021-11-10,12.431999
2021-11-11,12.227999
2021-11-12,10.690001
2021-11-13,12.572
2021-11-14,12.761999
2021-11-15,11.41
2021-11-16,13.422
2021-11-17,12.794
2021-11-18,13.123999
2021-11-19,14.581999
2021-11-20,14.289999
2021-11-21,12.496
2021-11-22,11.406
2021-11-23,8.858
2021-11-24,9.747999
2021-11-25,9.696
2021-11-26,8.28
2021-11-27,10.110001
2021-11-28,9.078
2021-11-29,12.068
2021-11-30,8.858
2021-12-01,9.8220005
2021-12-02,10.8619995
2021-12-03,9.606
2021-12-04,12.526
2021-12-05,12.429999
2021-12-06,12.176001
2021-12-07,11.693999
2021-12-08,11.67
2021-12-09,13.35
2021-12-10,13.036
2021-12-11,12.011999
2021-12-12,12.521999
2021-12-13,13.223999
2021-12-14,11.774
2021-12-15,11.25
2021-12-16,12.231999
2021-12-17,11.931999
2021-12-18,10.935999
2021-12-19,12.914
2021-12-20,14.823999
2021-12-21,16.293999
2021-12-22,17.366001
2021-12-23,15.1519985
2021-12-24,14.757998
2021-12-25,14.987999
2021-12-26,15.95
2021-12-27,17.362
2021-12-28,17.418
2021-12-29,15.1519985
2021-12-30,14.537999
2021-12-31,14.334
