time,DEA44
2021-01-01,2.022
2021-01-02,3.4059997
2021-01-03,3.35
2021-01-04,1.99
2021-01-05,2.272
2021-01-06,2.38
2021-01-07,1.278
2021-01-08,0.123999976
2021-01-09,-1.3399999
2021-01-10,-0.78199995
2021-01-11,-2.4299998
2021-01-12,-1.9619999
2021-01-13,-1.444
2021-01-14,0.16999997
2021-01-15,-1.6040001
2021-01-16,-2.23
2021-01-17,-1.6299999
2021-01-18,-1.658
2021-01-19,-3.006
2021-01-20,-0.596
2021-01-21,1.924
2021-01-22,4.7580004
2021-01-23,4.946
2021-01-24,1.874
2021-01-25,0.08800003
2021-01-26,0.51199996
2021-01-27,-0.67399997
2021-01-28,0.21000001
2021-01-29,2.0259998
2021-01-30,4.37
2021-01-31,4.878
2021-02-01,2.698
2021-02-02,3.9900002
2021-02-03,4.924
2021-02-04,7.1619997
2021-02-05,6.792
2021-02-06,6.8160005
2021-02-07,7.9659996
2021-02-08,7.6940002
2021-02-09,7.512
2021-02-10,6.864
2021-02-11,3.6419997
2021-02-12,0.17799999
2021-02-13,-1.2039999
2021-02-14,-1.148
2021-02-15,-1.772
2021-02-16,2.8219998
2021-02-17,5.4679995
2021-02-18,5.988
2021-02-19,6.304
2021-02-20,6.0779996
2021-02-21,5.266
2021-02-22,6.114
2021-02-23,5.894
2021-02-24,7.9619994
2021-02-25,8.672
2021-02-26,9.74
2021-02-27,8.242
2021-02-28,4.9259996
2021-03-01,5.7440004
2021-03-02,6.116
2021-03-03,5.768
2021-03-04,8.033999
2021-03-05,9.374001
2021-03-06,4.832
2021-03-07,3.6959999
2021-03-08,4.8300004
2021-03-09,6.1459994
2021-03-10,6.102
2021-03-11,7.867999
2021-03-12,9.854
2021-03-13,9.026
2021-03-14,7.1019998
2021-03-15,6.132
2021-03-16,6.9
2021-03-17,6.244
2021-03-18,5.114
2021-03-19,2.9580002
2021-03-20,2.514
2021-03-21,3.508
2021-03-22,5.136
2021-03-23,5.726
2021-03-24,7.078
2021-03-25,8.566
2021-03-26,9.426
2021-03-27,10.016
2021-03-28,10.946
2021-03-29,11.566
2021-03-30,13.426
2021-03-31,14.449999
2021-04-01,16.425999
2021-04-02,16.834
2021-04-03,12.298
2021-04-04,8.834
2021-04-05,9.021999
2021-04-06,6.1619997
2021-04-07,3.4759998
2021-04-08,7.104
2021-04-09,8.786
2021-04-10,10.556
2021-04-11,10.34
2021-04-12,12.051999
2021-04-13,7.002
2021-04-14,6.7419996
2021-04-15,6.85
2021-04-16,7.181999
2021-04-17,8.994
2021-04-18,9.219999
2021-04-19,10.102
2021-04-20,11.1119995
2021-04-21,11.586
2021-04-22,12.41
2021-04-23,12.397999
2021-04-24,13.468
2021-04-25,14.85
2021-04-26,12.554
2021-04-27,11.092
2021-04-28,13.129999
2021-04-29,14.523999
2021-04-30,15.688001
2021-05-01,15.287999
2021-05-02,14.917999
2021-05-03,12.926
2021-05-04,13.379999
2021-05-05,15.271998
2021-05-06,13.882001
2021-05-07,16.008
2021-05-08,13.786
2021-05-09,15.186
2021-05-10,16.972
2021-05-11,15.1779995
2021-05-12,14.589999
2021-05-13,15.05
2021-05-14,14.339999
2021-05-15,14.934
2021-05-16,15.872
2021-05-17,15.457998
2021-05-18,15.778
2021-05-19,13.603999
2021-05-20,14.660001
2021-05-21,16.232
2021-05-22,16.723999
2021-05-23,17.758001
2021-05-24,13.614
2021-05-25,15.756
2021-05-26,15.258
2021-05-27,16.953999
2021-05-28,16.675999
2021-05-29,18.135998
2021-05-30,16.694
2021-05-31,15.846001
2021-06-01,17.09
2021-06-02,18.567999
2021-06-03,20.605999
2021-06-04,21.362
2021-06-05,22.411999
2021-06-06,19.944
2021-06-07,19.706
2021-06-08,21.036
2021-06-09,22.082
2021-06-10,21.805998
2021-06-11,20.99
2021-06-12,22.831999
2021-06-13,24.578
2021-06-14,22.222
2021-06-15,22.476
2021-06-16,23.0
2021-06-17,24.231998
2021-06-18,24.481998
2021-06-19,25.773998
2021-06-20,25.999996
2021-06-21,26.612
2021-06-22,25.396
2021-06-23,25.415998
2021-06-24,25.273998
2021-06-25,23.015999
2021-06-26,23.541998
2021-06-27,24.688
2021-06-28,25.117998
2021-06-29,25.481998
2021-06-30,24.38
2021-07-01,21.88
2021-07-02,22.81
2021-07-03,24.05
2021-07-04,21.558
2021-07-05,22.509998
2021-07-06,24.359999
2021-07-07,25.558
2021-07-08,24.598001
2021-07-09,23.404
2021-07-10,23.537998
2021-07-11,24.016
2021-07-12,24.626
2021-07-13,22.702
2021-07-14,20.223999
2021-07-15,20.513998
2021-07-16,20.396
2021-07-17,21.452
2021-07-18,24.254
2021-07-19,25.127998
2021-07-20,25.023998
2021-07-21,24.600002
2021-07-22,24.397999
2021-07-23,24.034
2021-07-24,25.112
2021-07-25,25.278
2021-07-26,23.852
2021-07-27,23.163998
2021-07-28,24.388
2021-07-29,24.786
2021-07-30,25.174
2021-07-31,25.349998
2021-08-01,23.338001
2021-08-02,21.026
2021-08-03,21.322
2021-08-04,21.717999
2021-08-05,22.261997
2021-08-06,23.023998
2021-08-07,23.604
2021-08-08,24.872
2021-08-09,23.984
2021-08-10,24.189999
2021-08-11,25.651999
2021-08-12,26.148
2021-08-13,26.466
2021-08-14,27.75
2021-08-15,27.882
2021-08-16,25.9
2021-08-17,21.56
2021-08-18,20.678
2021-08-19,21.457998
2021-08-20,23.342001
2021-08-21,24.079998
2021-08-22,24.36
2021-08-23,20.23
2021-08-24,20.358
2021-08-25,20.2
2021-08-26,20.216
2021-08-27,17.526
2021-08-28,17.228
2021-08-29,17.15
2021-08-30,17.838001
2021-08-31,18.095999
2021-09-01,19.498
2021-09-02,19.3
2021-09-03,19.581999
2021-09-04,20.254
2021-09-05,20.633999
2021-09-06,20.646
2021-09-07,20.324
2021-09-08,20.362
2021-09-09,19.707998
2021-09-10,20.763998
2021-09-11,20.574001
2021-09-12,21.363998
2021-09-13,22.518
2021-09-14,23.008
2021-09-15,22.486
2021-09-16,21.13
2021-09-17,21.065998
2021-09-18,20.070002
2021-09-19,18.776
2021-09-20,17.486
2021-09-21,17.014002
2021-09-22,15.547999
2021-09-23,15.808001
2021-09-24,18.102001
2021-09-25,18.978
2021-09-26,18.551998
2021-09-27,18.541998
2021-09-28,19.06
2021-09-29,19.05
2021-09-30,17.392
2021-10-01,15.5
2021-10-02,15.834
2021-10-03,17.892
2021-10-04,19.102001
2021-10-05,18.265997
2021-10-06,14.892
2021-10-07,12.685999
2021-10-08,14.586
2021-10-09,12.521999
2021-10-10,10.379999
2021-10-11,10.99
2021-10-12,10.717999
2021-10-13,10.504
2021-10-14,8.828
2021-10-15,9.886
2021-10-16,11.151999
2021-10-17,10.779999
2021-10-18,11.164
2021-10-19,11.248
2021-10-20,13.667999
2021-10-21,15.522
2021-10-22,12.608
2021-10-23,11.906
2021-10-24,9.901999
2021-10-25,8.314
2021-10-26,9.764
2021-10-27,10.018
2021-10-28,8.832
2021-10-29,8.492
2021-10-30,8.809999
2021-10-31,10.634
2021-11-01,10.825999
2021-11-02,10.308
2021-11-03,10.594
2021-11-04,10.101999
2021-11-05,7.942
