time,FRG04
2021-01-01,-1.7172726
2021-01-02,-0.5709091
2021-01-03,1.210909
2021-01-04,1.3790908
2021-01-05,1.1636363
2021-01-06,1.1590909
2021-01-07,0.30545458
2021-01-08,0.49272725
2021-01-09,-0.08272727
2021-01-10,-0.08181818
2021-01-11,-1.35
2021-01-12,-0.16454545
2021-01-13,0.021818183
2021-01-14,-0.25909087
2021-01-15,-2.120909
2021-01-16,-3.3945456
2021-01-17,-9.165455
2021-01-18,-11.547273
2021-01-19,-2.3872726
2021-01-20,3.6536362
2021-01-21,4.6654544
2021-01-22,6.644545
2021-01-23,5.708182
2021-01-24,2.2381818
2021-01-25,0.9681818
2021-01-26,0.21090908
2021-01-27,0.18545455
2021-01-28,-0.07545455
2021-01-29,-1.4290909
2021-01-30,-1.9599999
2021-01-31,-5.112727
2021-02-01,-7.6072726
2021-02-02,-0.7981818
2021-02-03,4.320909
2021-02-04,3.220909
2021-02-05,-0.760909
2021-02-06,-2.1245453
2021-02-07,-5.874545
2021-02-08,-8.580909
2021-02-09,-8.595454
2021-02-10,-9.064546
2021-02-11,-9.45909
2021-02-12,-10.282726
2021-02-13,-4.981818
2021-02-14,-3.8363633
2021-02-15,-6.2390914
2021-02-16,-3.890909
2021-02-17,0.88636357
2021-02-18,2.3636363
2021-02-19,3.1672723
2021-02-20,3.6027267
2021-02-21,5.1418185
2021-02-22,4.417273
2021-02-23,6.002727
2021-02-24,9.445454
2021-02-25,9.941818
2021-02-26,8.118181
2021-02-27,5.452728
2021-02-28,4.4690905
2021-03-01,4.27
2021-03-02,5.4636364
2021-03-03,6.1
2021-03-04,6.404546
2021-03-05,1.4381818
2021-03-06,0.47
2021-03-07,2.4236364
2021-03-08,0.8763636
2021-03-09,-0.58363634
2021-03-10,0.01
2021-03-11,1.460909
2021-03-12,6.753636
2021-03-13,6.6009083
2021-03-14,6.3809094
2021-03-15,4.668182
2021-03-16,3.863636
2021-03-17,3.5363634
2021-03-18,1.5854546
2021-03-19,0.5199999
2021-03-20,-2.103636
2021-03-21,0.80454546
2021-03-22,2.95
2021-03-23,5.112727
2021-03-24,5.9309087
2021-03-25,7.547273
2021-03-26,9.715454
2021-03-27,11.070909
2021-03-28,7.0000005
2021-03-29,9.749999
2021-03-30,14.473637
2021-03-31,14.386364
2021-04-01,13.57818
2021-04-02,8.0199995
2021-04-03,5.293637
2021-04-04,3.6436365
2021-04-05,5.518182
2021-04-06,3.319091
2021-04-07,2.41
2021-04-08,3.5745451
2021-04-09,6.3072724
2021-04-10,8.134545
2021-04-11,11.37909
2021-04-12,9.602728
2021-04-13,5.3581815
2021-04-14,4.703636
2021-04-15,3.0972726
2021-04-16,4.095454
2021-04-17,5.9363637
2021-04-18,8.257272
2021-04-19,10.503635
2021-04-20,10.069999
2021-04-21,11.193637
2021-04-22,8.724545
2021-04-23,6.03
2021-04-24,7.114545
2021-04-25,5.995455
2021-04-26,3.8854544
2021-04-27,4.0445457
2021-04-28,9.159091
2021-04-29,12.178181
2021-04-30,11.787273
2021-05-01,8.347274
2021-05-02,7.8809094
2021-05-03,6.895455
2021-05-04,9.45
2021-05-05,10.958182
2021-05-06,8.692727
2021-05-07,8.264545
2021-05-08,8.04
2021-05-09,13.841818
2021-05-10,18.30909
2021-05-11,21.07273
2021-05-12,20.839092
2021-05-13,17.603636
2021-05-14,13.938183
2021-05-15,13.37909
2021-05-16,14.380909
2021-05-17,12.898182
2021-05-18,13.633636
2021-05-19,12.227271
2021-05-20,12.065454
2021-05-21,13.335453
2021-05-22,13.763638
2021-05-23,12.710908
2021-05-24,12.635455
2021-05-25,14.440909
2021-05-26,12.677273
2021-05-27,13.832727
2021-05-28,11.724545
2021-05-29,11.629998
2021-05-30,12.888183
2021-05-31,12.662726
2021-06-01,12.924544
2021-06-02,16.601816
2021-06-03,15.932727
2021-06-04,16.530907
2021-06-05,19.231817
2021-06-06,18.330908
2021-06-07,18.660908
2021-06-08,18.88727
2021-06-09,19.012726
2021-06-10,17.73182
2021-06-11,18.74727
2021-06-12,19.294544
2021-06-13,14.76818
2021-06-14,15.405456
2021-06-15,18.462729
2021-06-16,20.16
2021-06-17,22.343636
2021-06-18,23.885454
2021-06-19,25.218182
2021-06-20,26.000908
2021-06-21,26.434542
2021-06-22,23.526365
2021-06-23,20.716362
2021-06-24,21.239092
2021-06-25,19.287271
2021-06-26,19.315454
2021-06-27,19.416363
2021-06-28,20.635454
2021-06-29,21.709091
2021-06-30,21.749092
2021-07-01,19.160908
2021-07-02,18.045454
2021-07-03,19.36273
2021-07-04,19.838179
2021-07-05,20.515453
2021-07-06,21.781816
2021-07-07,23.239092
2021-07-08,20.961819
2021-07-09,21.131817
2021-07-10,19.412727
2021-07-11,19.191818
2021-07-12,21.197273
2021-07-13,22.708181
2021-07-14,24.662727
2021-07-15,22.655455
2021-07-16,23.168182
2021-07-17,23.587273
2021-07-18,23.353636
2021-07-19,20.059092
2021-07-20,17.9
2021-07-21,17.619091
2021-07-22,18.94
2021-07-23,19.867271
2021-07-24,20.501818
2021-07-25,21.85
2021-07-26,23.111818
2021-07-27,23.101818
2021-07-28,23.304546
2021-07-29,21.671816
2021-07-30,20.473635
2021-07-31,21.095453
2021-08-01,19.075453
2021-08-02,18.153637
2021-08-03,17.690907
2021-08-04,17.82909
2021-08-05,16.583635
2021-08-06,17.960909
2021-08-07,18.917273
2021-08-08,20.43
2021-08-09,19.350906
2021-08-10,20.17818
2021-08-11,18.944544
2021-08-12,18.535454
2021-08-13,21.09909
2021-08-14,23.369091
2021-08-15,22.330906
2021-08-16,22.963636
2021-08-17,18.418182
2021-08-18,16.448181
2021-08-19,18.440907
2021-08-20,19.09909
2021-08-21,18.18
2021-08-22,19.017273
2021-08-23,18.05
2021-08-24,15.782726
2021-08-25,13.813636
2021-08-26,15.301819
2021-08-27,14.215455
2021-08-28,14.040909
2021-08-29,15.295455
2021-08-30,14.98818
2021-08-31,15.730908
2021-09-01,16.136364
2021-09-02,16.125454
2021-09-03,15.617272
2021-09-04,15.027273
2021-09-05,14.6845455
2021-09-06,14.11
2021-09-07,16.691818
2021-09-08,17.019997
2021-09-09,18.704544
2021-09-10,19.47
2021-09-11,18.993635
2021-09-12,19.089998
2021-09-13,18.052727
2021-09-14,16.76364
2021-09-15,18.000908
2021-09-16,19.65
2021-09-17,15.798182
2021-09-18,13.225454
2021-09-19,10.78
2021-09-20,10.382727
2021-09-21,10.060909
2021-09-22,11.032726
2021-09-23,14.006364
2021-09-24,14.904545
2021-09-25,16.528181
2021-09-26,17.166363
2021-09-27,16.475452
2021-09-28,15.048182
2021-09-29,12.344544
2021-09-30,12.462727
2021-10-01,10.48909
2021-10-02,14.120908
2021-10-03,15.260909
2021-10-04,15.901818
2021-10-05,17.526365
2021-10-06,15.88273
2021-10-07,13.119091
2021-10-08,9.431818
2021-10-09,7.7518177
2021-10-10,6.796364
2021-10-11,6.548181
2021-10-12,9.179091
2021-10-13,6.933636
2021-10-14,7.308182
2021-10-15,11.810909
2021-10-16,8.886364
2021-10-17,8.459091
2021-10-18,9.476363
2021-10-19,11.2927265
2021-10-20,15.688183
2021-10-21,14.859091
2021-10-22,9.238181
2021-10-23,7.398181
2021-10-24,5.7845454
2021-10-25,8.215455
2021-10-26,7.8363643
2021-10-27,10.0145445
2021-10-28,10.63
2021-10-29,10.341818
2021-10-30,11.614545
2021-10-31,13.438183
2021-11-01,11.893635
2021-11-02,8.729091
2021-11-03,8.068182
2021-11-04,9.8381815
2021-11-05,8.196363
2021-11-06,7.9600005
2021-11-07,6.5963635
