time,DE91C
2021-08-16,27.16857
2021-08-17,25.561428
2021-08-18,18.275715
2021-08-19,17.97
2021-08-20,19.281427
2021-08-21,20.824284
2021-08-22,21.878572
2021-08-23,22.897142
2021-08-24,20.412857
2021-08-25,16.302858
2021-08-26,18.105715
2021-08-27,16.088572
2021-08-28,16.312857
2021-08-29,14.861428
2021-08-30,16.337143
2021-08-31,16.354284
2021-09-01,15.921428
2021-09-02,17.337143
2021-09-03,16.054285
2021-09-04,16.692856
2021-09-05,18.182858
2021-09-06,17.312857
2021-09-07,16.378572
2021-09-08,16.644285
2021-09-09,16.767141
2021-09-10,18.62857
2021-09-11,18.695713
2021-09-12,19.262857
2021-09-13,19.098572
2021-09-14,19.945713
2021-09-15,20.922855
2021-09-16,21.995714
2021-09-17,23.954285
2021-09-18,17.751429
2021-09-19,17.224285
2021-09-20,15.74
2021-09-21,12.557143
2021-09-22,10.772857
2021-09-23,11.085714
2021-09-24,13.894285
2021-09-25,17.337143
2021-09-26,19.630001
2021-09-27,20.351427
2021-09-28,17.1
2021-09-29,14.388571
2021-09-30,14.271428
2021-10-01,14.435715
2021-10-02,11.348572
2021-10-03,14.597143
2021-10-04,15.947142
2021-10-05,14.841429
2021-10-06,12.968572
2021-10-07,12.498572
2021-10-08,9.331429
2021-10-09,6.8857145
2021-10-10,7.9
2021-10-11,8.471428
2021-10-12,8.8714285
2021-10-13,7.767143
2021-10-14,6.028571
2021-10-15,6.724285
2021-10-16,9.4
2021-10-17,10.458571
2021-10-18,9.712857
2021-10-19,10.404286
2021-10-20,10.744286
2021-10-21,14.24857
2021-10-22,15.032857
2021-10-23,11.658571
2021-10-24,7.691428
2021-10-25,6.752857
2021-10-26,7.998571
2021-10-27,6.7871428
2021-10-28,6.901428
2021-10-29,9.650001
2021-10-30,10.912857
2021-10-31,10.425714
2021-11-01,10.018571
2021-11-02,9.864285
2021-11-03,11.585714
2021-11-04,15.935714
2021-11-05,14.387141
2021-11-06,8.874286
2021-11-07,10.809999
2021-11-08,10.232857
2021-11-09,7.4799995
2021-11-10,4.927143
2021-11-11,6.441428
2021-11-12,4.7814283
2021-11-13,6.395714
2021-11-14,7.7157145
2021-11-15,5.968571
2021-11-16,6.7057137
2021-11-17,6.015714
2021-11-18,4.3042855
2021-11-19,5.421428
2021-11-20,8.674285
2021-11-21,8.561429
2021-11-22,7.1500006
2021-11-23,6.3957143
2021-11-24,1.6757143
2021-11-25,6.062857
2021-11-26,5.3442855
2021-11-27,9.14857
2021-11-28,11.49
2021-11-29,6.5657134
2021-11-30,1.6828572
2021-12-01,5.248571
2021-12-02,7.628571
2021-12-03,7.0414286
2021-12-04,1.5842857
2021-12-05,3.7299998
2021-12-06,4.172857
2021-12-07,1.2714285
2021-12-08,1.0785714
2021-12-09,1.192857
2021-12-10,3.4214284
2021-12-11,1.8657143
2021-12-12,1.1957144
2021-12-13,-0.36714283
2021-12-14,0.4157143
2021-12-15,-0.38571432
2021-12-16,1.0242857
2021-12-17,3.317143
2021-12-18,2.1185713
2021-12-19,1.7214285
2021-12-20,2.2485714
2021-12-21,-0.24857143
2021-12-22,-2.535714
2021-12-23,-3.9671426
2021-12-24,5.2957144
2021-12-25,8.605715
2021-12-26,7.701428
2021-12-27,1.8228571
2021-12-28,1.9914285
2021-12-29,2.35
2021-12-30,3.904286
2021-12-31,5.535714
