time,FRC21
2021-01-01,3.2799997
2021-01-02,5.2749996
2021-01-03,5.8199997
2021-01-04,5.225
2021-01-05,4.125
2021-01-06,4.51
2021-01-07,1.6099999
2021-01-08,1.5
2021-01-09,0.67499995
2021-01-10,-0.049999997
2021-01-11,-0.66499996
2021-01-12,-1.605
2021-01-13,-0.415
2021-01-14,-0.805
2021-01-15,-1.4
2021-01-16,-2.6399999
2021-01-17,-3.24
2021-01-18,-3.715
2021-01-19,-0.32999998
2021-01-20,5.255
2021-01-21,7.34
2021-01-22,8.684999
2021-01-23,9.325
2021-01-24,5.95
2021-01-25,1.27
2021-01-26,0.95
2021-01-27,0.225
2021-01-28,0.06999999
2021-01-29,5.73
2021-01-30,7.3549995
2021-01-31,2.625
2021-02-01,0.67499995
2021-02-02,1.145
2021-02-03,6.4399996
2021-02-04,11.03
2021-02-05,9.275
2021-02-06,9.15
2021-02-07,10.355
2021-02-08,9.67
2021-02-09,5.745
2021-02-10,7.38
2021-02-11,-0.32999998
2021-02-12,-4.895
2021-02-13,-5.5199995
2021-02-14,-3.0249999
2021-02-15,-2.05
2021-02-16,-0.355
2021-02-17,3.085
2021-02-18,5.8549995
2021-02-19,7.1049995
2021-02-20,6.685
2021-02-21,6.915
2021-02-22,9.34
2021-02-23,9.92
2021-02-24,10.275
2021-02-25,11.11
2021-02-26,11.684999
2021-02-27,8.860001
2021-02-28,5.915
2021-03-01,5.7
2021-03-02,5.85
2021-03-03,7.575
2021-03-04,9.2
2021-03-05,9.28
2021-03-06,3.0949998
2021-03-07,1.645
2021-03-08,4.08
2021-03-09,3.2199998
2021-03-10,3.2350001
2021-03-11,3.425
2021-03-12,8.215
2021-03-13,9.09
2021-03-14,9.03
2021-03-15,5.0699997
2021-03-16,5.19
2021-03-17,4.46
2021-03-18,3.425
2021-03-19,1.645
2021-03-20,2.395
2021-03-21,1.005
2021-03-22,3.32
2021-03-23,4.06
2021-03-24,6.83
2021-03-25,6.125
2021-03-26,9.075
2021-03-27,11.36
2021-03-28,10.584999
2021-03-29,10.335
2021-03-30,13.87
2021-03-31,14.555
2021-04-01,15.41
2021-04-02,15.44
2021-04-03,9.355
2021-04-04,5.375
2021-04-05,6.7749996
2021-04-06,3.7399998
2021-04-07,1.875
2021-04-08,3.475
2021-04-09,6.39
2021-04-10,10.415
2021-04-11,10.844999
2021-04-12,13.469999
2021-04-13,4.7799997
2021-04-14,4.5
2021-04-15,4.83
2021-04-16,5.425
2021-04-17,5.875
2021-04-18,6.0299997
2021-04-19,7.615
2021-04-20,8.860001
2021-04-21,11.07
2021-04-22,12.75
2021-04-23,10.79
2021-04-24,10.059999
2021-04-25,11.809999
2021-04-26,10.195
2021-04-27,8.299999
2021-04-28,10.17
2021-04-29,15.32
2021-04-30,18.105
2021-05-01,19.05
2021-05-02,19.029999
2021-05-03,11.525
2021-05-04,12.545
2021-05-05,15.985001
2021-05-06,11.99
2021-05-07,12.82
2021-05-08,10.575
2021-05-09,13.785
2021-05-10,17.759998
2021-05-11,20.419998
2021-05-12,16.314999
2021-05-13,14.775
2021-05-14,15.065
2021-05-15,14.594999
2021-05-16,16.165
2021-05-17,14.1449995
2021-05-18,14.4
2021-05-19,12.59
2021-05-20,11.684999
2021-05-21,14.16
2021-05-22,15.715
2021-05-23,17.36
2021-05-24,14.49
2021-05-25,15.879999
2021-05-26,14.145
2021-05-27,16.439999
2021-05-28,15.16
2021-05-29,14.69
2021-05-30,13.295
2021-05-31,13.95
2021-06-01,14.035
2021-06-02,14.934999
2021-06-03,17.17
2021-06-04,18.14
2021-06-05,20.09
2021-06-06,19.27
2021-06-07,20.064999
2021-06-08,20.3
2021-06-09,21.404999
2021-06-10,20.54
2021-06-11,19.724998
2021-06-12,20.494999
2021-06-13,19.545
2021-06-14,16.125
