time,BE224
2021-08-18,16.324167
2021-08-19,17.684166
2021-08-20,18.264166
2021-08-21,19.801666
2021-08-22,18.381666
2021-08-23,17.601667
2021-08-24,16.830833
2021-08-25,16.424166
2021-08-26,14.908333
2021-08-27,14.888333
2021-08-28,14.295834
2021-08-29,14.670833
2021-08-30,16.431665
2021-08-31,15.6225
2021-09-01,15.816667
2021-09-02,16.796667
2021-09-03,18.178333
2021-09-04,18.363333
2021-09-05,18.8725
2021-09-06,19.505
2021-09-07,19.239166
2021-09-08,19.656668
2021-09-09,19.549166
2021-09-10,18.574999
2021-09-11,18.078333
2021-09-12,16.683332
2021-09-13,17.92
2021-09-14,18.291666
2021-09-15,19.093332
2021-09-16,16.72
2021-09-17,14.902499
2021-09-18,15.465833
2021-09-19,14.716667
2021-09-20,14.961667
2021-09-21,13.378333
2021-09-22,12.7300005
2021-09-23,14.035
2021-09-24,15.055
2021-09-25,16.179167
2021-09-26,16.728333
2021-09-27,16.088333
2021-09-28,12.8675
2021-09-29,11.654999
2021-09-30,9.729167
2021-10-01,11.579166
2021-10-02,15.4975
2021-10-03,16.865833
2021-10-04,12.730832
2021-10-05,12.1125
2021-10-06,10.833333
2021-10-07,11.6225
2021-10-08,11.485833
2021-10-09,11.148334
2021-10-10,8.89
2021-10-11,7.694166
2021-10-12,8.925
2021-10-13,7.280833
2021-10-14,8.775001
2021-10-15,8.963333
2021-10-16,8.7491665
2021-10-17,8.509167
2021-10-18,8.306667
2021-10-19,13.572499
2021-10-20,14.915001
2021-10-21,11.474998
2021-10-22,6.5341663
2021-10-23,8.427501
2021-10-24,6.56
2021-10-25,9.003333
2021-10-26,10.869167
2021-10-27,9.984166
2021-10-28,8.585
2021-10-29,11.569167
2021-10-30,10.852501
2021-10-31,14.359166
2021-11-01,10.735833
2021-11-02,7.445833
2021-11-03,7.1241665
2021-11-04,6.244166
2021-11-05,7.4625
2021-11-06,5.0158334
2021-11-07,5.3025002
2021-11-08,4.588333
2021-11-09,4.2149997
