time,LU000
2021-08-21,17.67
2021-08-22,17.549997
2021-08-23,16.243334
2021-08-24,16.363333
2021-08-25,15.793334
2021-08-26,16.526667
2021-08-27,13.286666
2021-08-28,14.363332
2021-08-29,14.583333
2021-08-30,15.599999
2021-08-31,15.026666
2021-09-01,15.616666
2021-09-02,15.889999
2021-09-03,17.006666
2021-09-04,16.306665
2021-09-05,18.016668
2021-09-06,20.239998
2021-09-07,21.626665
2021-09-08,20.816668
2021-09-09,18.303331
2021-09-10,17.883333
2021-09-11,17.536667
2021-09-12,14.806666
2021-09-13,15.973332
2021-09-14,16.413332
2021-09-15,15.793332
2021-09-16,16.136667
2021-09-17,15.8533325
2021-09-18,17.5
2021-09-19,16.296667
2021-09-20,13.7
2021-09-21,14.193333
2021-09-22,14.19
2021-09-23,15.79
2021-09-24,15.616666
2021-09-25,17.093334
2021-09-26,16.38
2021-09-27,14.406667
2021-09-28,13.263333
2021-09-29,11.306666
2021-09-30,11.553333
2021-10-01,14.636665
2021-10-02,10.743333
2021-10-03,11.886666
2021-10-04,12.403333
2021-10-05,12.1033325
2021-10-06,12.990001
2021-10-07,15.98
2021-10-08,14.983333
2021-10-09,13.849999
2021-10-10,14.683333
2021-10-11,10.7
2021-10-12,11.123333
2021-10-13,13.09
2021-10-14,12.503334
2021-10-15,12.083333
2021-10-16,12.533333
2021-10-17,13.513333
2021-10-18,13.09
2021-10-19,16.47
2021-10-20,14.72
2021-10-21,10.19
2021-10-22,8.976666
2021-10-23,10.966667
2021-10-24,12.62
2021-10-25,12.639999
2021-10-26,12.126666
2021-10-27,14.87
2021-10-28,14.69
2021-10-29,12.826667
2021-10-30,11.246666
2021-10-31,10.346667
2021-11-01,9.923333
2021-11-02,7.263334
2021-11-03,5.49
2021-11-04,6.72
2021-11-05,5.86
2021-11-06,10.743333
2021-11-07,9.766667
2021-11-08,6.9733334
2021-11-09,12.07
2021-11-10,11.969998
2021-11-11,11.323333
2021-11-12,10.903333
2021-11-13,11.743333
2021-11-14,9.743333
2021-11-15,8.499999
2021-11-16,8.626667
2021-11-17,9.556666
2021-11-18,10.2
2021-11-19,10.766666
2021-11-20,9.37
2021-11-21,6.9966664
2021-11-22,4.653333
2021-11-23,3.9133332
2021-11-24,6.0866666
2021-11-25,5.0099998
2021-11-26,5.2466664
2021-11-27,3.9366665
2021-11-28,2.6733334
2021-11-29,1.5266666
2021-11-30,7.816666
2021-12-01,8.26
2021-12-02,2.7666664
2021-12-03,4.933333
2021-12-04,6.556666
2021-12-05,5.383333
2021-12-06,4.8333335
2021-12-07,5.27
2021-12-08,5.9799995
2021-12-09,6.3199997
2021-12-10,6.2533336
2021-12-11,6.4666657
2021-12-12,11.523334
2021-12-13,10.643333
2021-12-14,10.106667
2021-12-15,10.866666
2021-12-16,9.253333
2021-12-17,7.9666667
2021-12-18,7.16
2021-12-19,4.953333
2021-12-20,4.806667
2021-12-21,4.11
2021-12-22,2.283333
2021-12-23,7.7966666
2021-12-24,7.67
2021-12-25,7.8099995
2021-12-26,8.88
2021-12-27,8.523334
2021-12-28,9.313333
2021-12-29,10.086667
2021-12-30,12.736667
2021-12-31,13.099999
