time,NO081
2021-01-01,1.7825001
2021-01-02,2.9866664
2021-01-03,1.6691666
2021-01-04,2.8249996
2021-01-05,0.4041667
2021-01-06,-2.8566666
2021-01-07,-0.9316666
2021-01-08,-2.6591666
2021-01-09,-0.14916669
2021-01-10,1.4341668
2021-01-11,1.8633333
2021-01-12,4.1349998
2021-01-13,2.5225
2021-01-14,2.6224997
2021-01-15,-1.1008333
2021-01-16,-7.751667
2021-01-17,-0.107499994
2021-01-18,-3.91
2021-01-19,-5.1975
2021-01-20,-4.498333
2021-01-21,-2.0433333
2021-01-22,-4.5816665
2021-01-23,-7.1083336
2021-01-24,-2.4333334
2021-01-25,-0.8958333
2021-01-26,-3.2658331
2021-01-27,0.39166665
2021-01-28,2.96
2021-01-29,1.8233331
2021-01-30,0.60583335
2021-01-31,0.6558333
2021-02-01,5.5008335
2021-02-02,6.588333
2021-02-03,5.4858336
2021-02-04,5.123333
2021-02-05,2.0525
2021-02-06,5.1516666
2021-02-07,6.711666
2021-02-08,3.506666
2021-02-09,6.8233333
2021-02-10,4.338333
2021-02-11,4.7316666
2021-02-12,0.3158333
2021-02-13,-8.37
2021-02-14,-7.241667
2021-02-15,-3.3025
2021-02-16,-1.2583332
2021-02-17,-1.5916667
2021-02-18,-5.1316667
2021-02-19,-3.64
2021-02-20,-6.459166
2021-02-21,-3.299166
2021-02-22,-3.805
2021-02-23,6.7741666
2021-02-24,4.1249995
2021-02-25,0.49500003
2021-02-26,3.0233333
2021-02-27,-2.03
2021-02-28,-1.5450001
2021-03-01,0.9049999
2021-03-02,1.9641665
2021-03-03,-0.2775
2021-03-04,2.2458332
2021-03-05,0.09250002
2021-03-06,-1.3391666
2021-03-07,3.1841667
2021-03-08,-0.07249999
2021-03-09,-1.6341667
2021-03-10,-1.9858333
2021-03-11,-1.2891666
2021-03-12,-6.1725
2021-03-13,-5.8591666
2021-03-14,-2.12
2021-03-15,-0.7416666
2021-03-16,0.085000016
2021-03-17,4.8375
2021-03-18,0.6225
2021-03-19,-1.5933332
2021-03-20,-3.8949997
2021-03-21,-1.7583333
2021-03-22,-1.6958333
2021-03-23,-4.284167
2021-03-24,-3.0475
2021-03-25,-3.059167
2021-03-26,-1.2858331
2021-03-27,-1.6733332
2021-03-28,-4.015
2021-03-29,-0.9524999
2021-03-30,-0.7841666
2021-03-31,1.4925
2021-04-01,3.6591666
2021-04-02,2.29
2021-04-03,0.9891665
2021-04-04,1.1458333
2021-04-05,6.0100007
2021-04-06,2.7941666
2021-04-07,5.103333
2021-04-08,6.836666
2021-04-09,3.8999996
2021-04-10,1.0641667
2021-04-11,2.6916666
2021-04-12,6.8858333
2021-04-13,1.5
2021-04-14,2.720833
2021-04-15,5.370833
2021-04-16,8.306666
2021-04-17,10.3375
2021-04-18,10.2283325
2021-04-19,11.160834
2021-04-20,9.466666
2021-04-21,8.6849985
2021-04-22,6.1266665
2021-04-23,5.956667
2021-04-24,7.0825
2021-04-25,9.48
2021-04-26,10.089999
2021-04-27,5.330833
2021-04-28,10.769166
2021-04-29,12.573334
2021-04-30,10.288333
2021-05-01,12.595833
2021-05-02,10.596666
2021-05-03,13.848332
2021-05-04,12.194167
2021-05-05,7.2024994
2021-05-06,8.822499
2021-05-07,9.958333
2021-05-08,9.369166
2021-05-09,12.937499
2021-05-10,7.4183326
2021-05-11,9.391666
2021-05-12,9.974167
2021-05-13,13.569165
2021-05-14,14.146665
2021-05-15,12.607501
2021-05-16,13.255
2021-05-17,11.525832
2021-05-18,10.946667
2021-05-19,10.080833
2021-05-20,11.448333
2021-05-21,16.286665
2021-05-22,15.037501
2021-05-23,11.088333
2021-05-24,13.498332
2021-05-25,12.198334
2021-05-26,10.38
2021-05-27,12.550832
2021-05-28,10.905
2021-05-29,12.429999
2021-05-30,6.9125004
2021-05-31,10.360833
2021-06-01,12.360832
2021-06-02,14.528333
2021-06-03,14.109166
2021-06-04,15.628333
2021-06-05,11.631667
2021-06-06,10.333333
2021-06-07,7.9966664
2021-06-08,11.014167
2021-06-09,13.829166
2021-06-10,13.563333
2021-06-11,13.594166
2021-06-12,13.510833
2021-06-13,10.074167
2021-06-14,16.718332
2021-06-15,18.59583
2021-06-16,17.404167
2021-06-17,15.3075
2021-06-18,19.4825
2021-06-19,20.324999
2021-06-20,23.261667
2021-06-21,22.014166
2021-06-22,21.610832
2021-06-23,18.35
2021-06-24,17.363333
2021-06-25,16.0075
2021-06-26,15.367499
2021-06-27,18.075834
2021-06-28,16.66
2021-06-29,17.745
2021-06-30,17.256666
2021-07-01,19.382498
2021-07-02,19.330833
2021-07-03,20.464167
2021-07-04,21.475836
2021-07-05,18.899168
2021-07-06,20.045002
2021-07-07,21.045832
2021-07-08,20.999998
2021-07-09,17.814165
2021-07-10,18.852497
2021-07-11,18.979164
2021-07-12,21.71583
2021-07-13,22.43833
2021-07-14,18.894163
2021-07-15,20.359999
2021-07-16,17.718332
2021-07-17,19.759165
2021-07-18,22.402498
2021-07-19,20.676668
2021-07-20,22.339167
2021-07-21,20.199167
2021-07-22,14.925
2021-07-23,14.003333
2021-07-24,17.305834
2021-07-25,17.6575
2021-07-26,23.289999
2021-07-27,23.426666
2021-07-28,19.391665
2021-07-29,16.34
2021-07-30,17.138334
2021-07-31,20.025833
2021-08-01,19.498331
2021-08-02,19.753332
2021-08-03,18.68
2021-08-04,18.700834
2021-08-05,20.849167
2021-08-06,22.514168
2021-08-07,25.3575
2021-08-08,22.714998
2021-08-09,21.4525
2021-08-10,18.816666
2021-08-11,17.565
2021-08-12,18.921667
2021-08-13,19.352499
2021-08-14,16.671665
2021-08-15,17.83417
2021-08-16,19.030832
2021-08-17,17.151667
2021-08-18,17.537498
2021-08-19,17.906664
2021-08-20,18.296667
2021-08-21,18.41
