time,PL214
2021-08-13,21.326
2021-08-14,19.161999
2021-08-15,19.948666
2021-08-16,19.758
2021-08-17,16.255333
2021-08-18,17.328667
2021-08-19,18.174665
2021-08-20,19.599333
2021-08-21,19.667334
2021-08-22,20.024666
2021-08-23,16.094666
2021-08-24,16.131334
2021-08-25,21.515331
2021-08-26,23.286665
2021-08-27,19.915333
2021-08-28,18.472002
2021-08-29,17.533333
2021-08-30,19.845333
2021-08-31,20.589333
2021-09-01,16.034
2021-09-02,11.299333
2021-09-03,13.960667
2021-09-04,12.194667
2021-09-05,13.832666
2021-09-06,12.608
2021-09-07,13.221999
2021-09-08,11.778
2021-09-09,12.755334
2021-09-10,14.892666
2021-09-11,14.681998
2021-09-12,15.328666
2021-09-13,17.352665
2021-09-14,17.364002
2021-09-15,16.593332
2021-09-16,16.693333
2021-09-17,14.228
2021-09-18,16.044666
2021-09-19,16.654
2021-09-20,16.948666
2021-09-21,13.534666
2021-09-22,10.190665
2021-09-23,11.293333
2021-09-24,11.300668
2021-09-25,11.446667
2021-09-26,10.578668
2021-09-27,12.953333
2021-09-28,11.645999
2021-09-29,11.658666
2021-09-30,9.908667
2021-10-01,6.4719996
2021-10-02,8.712
2021-10-03,10.500667
2021-10-04,12.934666
2021-10-05,6.761333
2021-10-06,3.1686666
2021-10-07,0.5100001
2021-10-08,1.7573334
2021-10-09,2.3013332
2021-10-10,4.175333
2021-10-11,4.561333
2021-10-12,5.269333
2021-10-13,5.8093333
2021-10-14,6.8713326
2021-10-15,9.445333
2021-10-16,9.513333
2021-10-17,13.114667
2021-10-18,
2021-10-19,8.731334
2021-10-20,10.0199995
2021-10-21,6.1953335
2021-10-22,6.098666
2021-10-23,7.6213326
2021-10-24,9.400667
2021-10-25,9.08
2021-10-26,10.115999
2021-10-27,6.8473334
2021-10-28,11.361332
2021-10-29,12.664667
2021-10-30,16.390665
2021-10-31,13.100666
2021-11-01,15.492665
2021-11-02,13.567143
2021-11-03,10.422667
2021-11-04,3.8686666
2021-11-05,7.6026664
2021-11-06,7.946
2021-11-07,9.8933325
2021-11-08,8.030667
2021-11-09,7.276666
2021-11-10,5.040666
2021-11-11,7.729333
2021-11-12,7.7446666
2021-11-13,11.158667
2021-11-14,4.2926664
2021-11-15,4.9506664
2021-11-16,6.2926664
2021-11-17,4.408
2021-11-18,-0.32000002
2021-11-19,0.20266668
2021-11-20,6.7819996
2021-11-21,7.8606663
2021-11-22,3.4333334
2021-11-23,-0.3586667
2021-11-24,3.5486667
2021-11-25,5.7460003
2021-11-26,1.8786666
2021-11-27,0.12866668
2021-11-28,-0.8739999
2021-11-29,0.8539999
2021-11-30,2.75
2021-12-01,1.9133333
2021-12-02,-4.1913333
2021-12-03,-4.322
2021-12-04,5.888
2021-12-05,9.746667
2021-12-06,6.4926667
2021-12-07,3.8053334
2021-12-08,12.081333
