time,PT184
2021-01-01,5.435
2021-01-02,6.661667
2021-01-03,5.0924997
2021-01-04,6.4816666
2021-01-05,1.8274999
2021-01-06,-0.95583326
2021-01-07,3.015
2021-01-08,-0.46
2021-01-09,-0.047500014
2021-01-10,0.8341666
2021-01-11,2.6299999
2021-01-12,6.0466666
2021-01-13,5.06
2021-01-14,2.8141663
2021-01-15,-0.67083335
2021-01-16,-4.75
2021-01-17,-0.2825
2021-01-18,-1.9908333
2021-01-19,-1.7733334
2021-01-20,-1.4266666
2021-01-21,-0.9549999
2021-01-22,-0.4958333
2021-01-23,-0.6266667
2021-01-24,3.1083336
2021-01-25,3.1116664
2021-01-26,-1.1650001
2021-01-27,3.0516665
2021-01-28,3.3824997
2021-01-29,3.5508335
2021-01-30,3.0566666
2021-01-31,3.8083332
2021-02-01,5.085
2021-02-02,5.2141666
2021-02-03,6.556666
2021-02-04,6.1066666
2021-02-05,2.2883332
2021-02-06,4.799166
2021-02-07,8.140834
2021-02-08,3.8158333
2021-02-09,7.603333
2021-02-10,5.1225
2021-02-11,4.6349998
2021-02-12,-0.6091667
2021-02-13,-10.235833
2021-02-14,-7.4
2021-02-15,-4.090833
2021-02-16,-2.7791665
2021-02-17,-2.2016666
2021-02-18,-2.7099998
2021-02-19,-3.1266663
2021-02-20,-7.1475005
2021-02-21,-0.8833334
2021-02-22,-0.8983334
2021-02-23,9.1725
2021-02-24,4.748333
2021-02-25,3.8566666
2021-02-26,8.094167
2021-02-27,1.3183334
2021-02-28,-0.028333345
2021-03-01,0.3175
2021-03-02,2.6475
2021-03-03,0.53416663
2021-03-04,4.52
2021-03-05,3.0575
2021-03-06,-0.2658333
2021-03-07,1.9358331
2021-03-08,3.1025
2021-03-09,0.2308333
2021-03-10,-1.3508333
2021-03-11,-1.4241667
2021-03-12,-4.9266663
2021-03-13,-5.2991667
2021-03-14,-3.1841667
2021-03-15,1.2016666
2021-03-16,0.5083334
2021-03-17,3.6691666
2021-03-18,-0.07999996
2021-03-19,-0.57916665
2021-03-20,-2.5491667
2021-03-21,-0.30916664
2021-03-22,-0.30416667
2021-03-23,
2021-03-24,-3.4566667
2021-03-25,-2.4366665
2021-03-26,0.30416664
2021-03-27,-0.005833348
2021-03-28,-3.2058334
2021-03-29,-0.785
2021-03-30,-1.1541666
2021-03-31,2.14
2021-04-01,3.5716667
2021-04-02,4.886667
2021-04-03,2.6266665
2021-04-04,0.6083333
2021-04-05,4.2016664
2021-04-06,4.6124997
2021-04-07,4.8058333
2021-04-08,4.713333
2021-04-09,1.9908333
2021-04-10,0.24416669
2021-04-11,0.49416664
2021-04-12,4.885
2021-04-13,2.118333
2021-04-14,3.1116664
2021-04-15,4.235833
2021-04-16,6.185833
2021-04-17,8.261666
2021-04-18,8.685834
2021-04-19,9.9
2021-04-20,6.6458325
2021-04-21,7.575834
2021-04-22,5.4666667
2021-04-23,5.2625003
2021-04-24,7.0916667
2021-04-25,8.7225
2021-04-26,9.426666
2021-04-27,4.988333
2021-04-28,8.5
2021-04-29,11.111667
2021-04-30,9.345833
2021-05-01,13.114166
2021-05-02,11.046666
2021-05-03,15.052499
2021-05-04,12.143333
2021-05-05,7.265
2021-05-06,8.648334
2021-05-07,9.515833
2021-05-08,10.820832
2021-05-09,12.718333
2021-05-10,8.915833
2021-05-11,11.202499
2021-05-12,8.546666
2021-05-13,11.136666
2021-05-14,10.7375
2021-05-15,12.663333
2021-05-16,11.107499
2021-05-17,11.435834
2021-05-18,10.420833
2021-05-19,9.336666
2021-05-20,10.313333
2021-05-21,13.6175
2021-05-22,13.253334
2021-05-23,10.871666
2021-05-24,12.886666
2021-05-25,12.31
2021-05-26,11.788333
2021-05-27,14.4975
2021-05-28,11.224999
2021-05-29,11.753333
2021-05-30,9.509999
2021-05-31,7.736666
2021-06-01,9.603333
2021-06-02,13.433333
2021-06-03,13.579999
2021-06-04,15.383334
2021-06-05,12.663333
2021-06-06,11.576665
2021-06-07,9.543333
2021-06-08,12.476666
2021-06-09,15.286666
2021-06-10,14.956666
2021-06-11,15.213333
2021-06-12,14.913333
2021-06-13,12.45
2021-06-14,16.24
2021-06-15,17.976667
2021-06-16,16.656668
2021-06-17,14.3533325
2021-06-18,17.33
2021-06-19,18.32
2021-06-20,21.160002
2021-06-21,20.56
2021-06-22,19.393333
2021-06-23,17.056667
2021-06-24,17.166666
2021-06-25,16.436666
2021-06-26,16.373333
2021-06-27,18.84
2021-06-28,16.936666
2021-06-29,18.206667
2021-06-30,17.856667
2021-07-01,19.6
2021-07-02,
2021-07-03,
2021-07-04,20.093332
2021-07-05,19.656668
2021-07-06,19.99
2021-07-07,21.273333
2021-07-08,21.4
2021-07-09,18.01
2021-07-10,19.893333
2021-07-11,21.246666
2021-07-12,21.599998
2021-07-13,21.766668
2021-07-14,19.043333
2021-07-15,21.839998
2021-07-16,
2021-07-17,21.003332
2021-07-18,23.44
2021-07-19,22.146667
2021-07-20,22.946665
2021-07-21,20.856667
2021-07-22,16.346666
2021-07-23,14.549999
2021-07-24,18.576666
2021-07-25,19.063334
2021-07-26,23.37
2021-07-27,24.723333
2021-07-28,22.386665
2021-07-29,19.81
2021-07-30,20.023333
2021-07-31,21.06
2021-08-01,19.66
