time,MK001
2021-01-01,2.275
2021-01-02,-0.16
2021-01-03,1.9
2021-01-04,2.165
2021-01-05,2.34
2021-01-06,1.0699999
2021-01-07,-0.865
2021-01-08,-0.089999996
2021-01-09,-2.0749998
2021-01-10,1.635
2021-01-11,5.715
2021-01-12,2.0049999
2021-01-13,0.715
2021-01-14,3.495
2021-01-15,1.675
2021-01-16,4.6349998
2021-01-17,4.255
2021-01-18,4.13
2021-01-19,3.235
2021-01-20,2.5549998
2021-01-21,2.32
2021-01-22,2.565
2021-01-23,-1.0699999
2021-01-24,-1.155
2021-01-25,0.92499995
2021-01-26,1.5
2021-01-27,3.19
2021-01-28,3.4199998
2021-01-29,3.6299999
2021-01-30,2.055
2021-01-31,0.18
2021-02-01,1.01
2021-02-02,1.76
2021-02-03,3.7849998
2021-02-04,4.1949997
2021-02-05,3.4
2021-02-06,3.1299999
2021-02-07,0.615
2021-02-08,-0.48
2021-02-09,-0.08
2021-02-10,-1.5550001
2021-02-11,-2.27
2021-02-12,-0.78
2021-02-13,0.075
2021-02-14,2.4499998
2021-02-15,7.145
2021-02-16,8.23
2021-02-17,5.6349998
2021-02-18,5.6899996
2021-02-19,5.79
2021-02-20,8.264999
2021-02-21,7.685
2021-02-22,6.005
2021-02-23,6.16
2021-02-24,9.264999
2021-02-25,6.05
2021-02-26,5.0
2021-02-27,7.0099998
2021-02-28,6.2749996
2021-03-01,4.8199997
2021-03-02,3.3999999
2021-03-03,2.05
2021-03-04,3.4049997
2021-03-05,2.8849998
2021-03-06,2.435
2021-03-07,4.8599997
2021-03-08,6.855
2021-03-09,7.1800003
2021-03-10,7.0599995
2021-03-11,6.165
2021-03-12,4.62
2021-03-13,3.8649998
2021-03-14,5.335
2021-03-15,6.6549997
2021-03-16,9.49
2021-03-17,7.375
2021-03-18,8.690001
2021-03-19,8.174999
2021-03-20,8.105
2021-03-21,7.375
2021-03-22,6.6049995
2021-03-23,7.8599997
2021-03-24,7.01
2021-03-25,7.5099998
2021-03-26,6.4649997
2021-03-27,4.24
2021-03-28,8.525
2021-03-29,11.41
2021-03-30,11.094999
2021-03-31,8.375
2021-04-01,5.3849998
2021-04-02,5.015
2021-04-03,6.08
2021-04-04,6.21
2021-04-05,2.175
2021-04-06,1.79
2021-04-07,2.19
2021-04-08,5.74
2021-04-09,3.8799999
2021-04-10,1.285
2021-04-11,1.615
2021-04-12,2.8449998
2021-04-13,3.715
2021-04-14,5.1749997
2021-04-15,5.49
2021-04-16,5.89
2021-04-17,6.255
2021-04-18,6.175
2021-04-19,9.275
2021-04-20,8.389999
2021-04-21,7.06
2021-04-22,6.5249996
2021-04-23,7.535
2021-04-24,8.48
2021-04-25,6.5
2021-04-26,7.02
2021-04-27,6.91
2021-04-28,6.2200003
2021-04-29,4.58
2021-04-30,5.0599995
2021-05-01,4.675
2021-05-02,5.62
2021-05-03,5.54
2021-05-04,6.495
2021-05-05,6.125
2021-05-06,3.7799997
2021-05-07,5.535
2021-05-08,6.33
2021-05-09,9.424999
2021-05-10,10.9
2021-05-11,11.469999
2021-05-12,8.76
2021-05-13,7.585
2021-05-14,8.655
2021-05-15,8.43
2021-05-16,9.01
2021-05-17,9.66
2021-05-18,9.315
2021-05-19,8.87
2021-05-20,8.849999
2021-05-21,9.254999
2021-05-22,7.43
2021-05-23,6.7799997
2021-05-24,7.8999996
2021-05-25,8.9
2021-05-26,9.99
2021-05-27,10.43
2021-05-28,9.924999
2021-05-29,13.33
2021-05-30,12.574999
2021-05-31,12.375
2021-06-01,13.844999
2021-06-02,13.615
2021-06-03,13.92
2021-06-04,13.594999
2021-06-05,12.98
2021-06-06,14.125
2021-06-07,13.405
2021-06-08,14.525
2021-06-09,16.195
2021-06-10,16.470001
2021-06-11,15.255
2021-06-12,13.7
2021-06-13,16.689999
2021-06-14,14.059999
2021-06-15,11.76
2021-06-16,14.365
2021-06-17,13.924999
2021-06-18,10.82
2021-06-19,12.165
2021-06-20,13.305
2021-06-21,11.969999
2021-06-22,10.959999
2021-06-23,13.83
2021-06-24,16.404999
2021-06-25,11.83
2021-06-26,11.91
2021-06-27,13.985
2021-06-28,14.75
2021-06-29,15.174999
2021-06-30,13.594999
2021-07-01,12.905
2021-07-02,14.094999
2021-07-03,15.225
2021-07-04,16.744999
2021-07-05,14.799999
2021-07-06,12.91
2021-07-07,15.049999
2021-07-08,14.309999
2021-07-09,15.305
2021-07-10,15.349999
2021-07-11,16.435
2021-07-12,16.224998
2021-07-13,15.929999
2021-07-14,16.555
2021-07-15,16.71
2021-07-16,18.074999
2021-07-17,19.335
2021-07-18,17.89
2021-07-19,17.915
2021-07-20,18.46
2021-07-21,18.884998
2021-07-22,18.42
2021-07-23,17.98
2021-07-24,16.255
2021-07-25,15.195
2021-07-26,16.349998
2021-07-27,16.31
2021-07-28,15.61
2021-07-29,15.129999
2021-07-30,15.065
2021-07-31,14.11
2021-08-01,13.17
2021-08-02,11.299999
2021-08-03,13.324999
2021-08-04,15.15
2021-08-05,15.32
2021-08-06,15.485
2021-08-07,15.054999
2021-08-08,15.375
2021-08-09,14.66
2021-08-10,15.2
2021-08-11,14.955
2021-08-12,13.174999
2021-08-13,14.875
2021-08-14,14.63
2021-08-15,14.065
2021-08-16,14.1
2021-08-17,15.684999
2021-08-18,15.414999
2021-08-19,14.24
2021-08-20,14.724999
2021-08-21,16.039999
2021-08-22,16.485
2021-08-23,15.745
2021-08-24,15.929999
2021-08-25,15.84
2021-08-26,14.764999
2021-08-27,13.815001
2021-08-28,12.975
2021-08-29,12.91
2021-08-30,13.429999
2021-08-31,13.199999
2021-09-01,12.994999
2021-09-02,12.869999
2021-09-03,12.639999
2021-09-04,13.405
2021-09-05,14.165
2021-09-06,16.599998
2021-09-07,18.33
2021-09-08,17.81
2021-09-09,15.629999
2021-09-10,15.99
2021-09-11,15.85
2021-09-12,11.76
2021-09-13,12.82
2021-09-14,13.92
2021-09-15,14.37
2021-09-16,13.355
2021-09-17,15.199999
2021-09-18,13.549999
2021-09-19,14.014999
2021-09-20,11.255
2021-09-21,13.75
2021-09-22,15.5
2021-09-23,13.955
2021-09-24,15.1449995
2021-09-25,16.060001
2021-09-26,15.885
2021-09-27,11.715
2021-09-28,10.004999
2021-09-29,8.785
2021-09-30,9.48
2021-10-01,10.895
2021-10-02,9.264999
2021-10-03,9.01
2021-10-04,10.799999
2021-10-05,7.7799997
2021-10-06,9.665
2021-10-07,13.52
2021-10-08,15.574999
2021-10-09,13.975
2021-10-10,10.01
2021-10-11,10.635
2021-10-12,10.555
2021-10-13,11.940001
2021-10-14,11.795
2021-10-15,7.845
2021-10-16,7.9700003
2021-10-17,11.764999
2021-10-18,13.305
2021-10-19,13.174999
2021-10-20,10.705
2021-10-21,6.63
