time,DEG0N
2021-08-18,15.243333
2021-08-19,16.003332
2021-08-20,15.849999
2021-08-21,18.155
2021-08-22,16.386667
2021-08-23,16.425001
2021-08-24,15.296666
2021-08-25,15.086666
2021-08-26,14.138333
2021-08-27,13.123333
2021-08-28,13.591667
2021-08-29,13.599999
2021-08-30,15.036667
2021-08-31,14.219998
2021-09-01,14.110001
2021-09-02,15.13
2021-09-03,16.568333
2021-09-04,16.848333
2021-09-05,17.453333
2021-09-06,18.048332
2021-09-07,18.284998
2021-09-08,18.208334
2021-09-09,17.495
2021-09-10,17.443335
2021-09-11,16.365
2021-09-12,14.240001
2021-09-13,15.648334
2021-09-14,15.953332
2021-09-15,17.3
2021-09-16,14.1466675
2021-09-17,13.473332
2021-09-18,13.818334
2021-09-19,14.148334
2021-09-20,13.919999
2021-09-21,12.063334
2021-09-22,11.198334
2021-09-23,12.616666
2021-09-24,13.151666
2021-09-25,14.285
2021-09-26,15.113332
2021-09-27,13.651666
2021-09-28,10.876666
2021-09-29,9.293333
2021-09-30,8.115
2021-10-01,10.518333
2021-10-02,13.493333
2021-10-03,13.973332
2021-10-04,10.861667
2021-10-05,9.881666
2021-10-06,9.383333
2021-10-07,10.198333
2021-10-08,10.134999
2021-10-09,9.509999
2021-10-10,7.463333
2021-10-11,8.201667
2021-10-12,8.205
2021-10-13,6.0766664
2021-10-14,8.391666
2021-10-15,7.58
2021-10-16,6.8316665
2021-10-17,7.916666
2021-10-18,7.535
2021-10-19,12.881667
2021-10-20,13.493333
2021-10-21,8.28
2021-10-22,5.4083333
2021-10-23,6.6416664
2021-10-24,4.815
2021-10-25,6.6499996
2021-10-26,10.179999
2021-10-27,9.738334
2021-10-28,7.286667
2021-10-29,10.608333
2021-10-30,10.774999
2021-10-31,11.724998
2021-11-01,8.663333
2021-11-02,6.2016664
2021-11-03,5.3416667
2021-11-04,5.431666
2021-11-05,6.1616664
2021-11-06,5.0616665
2021-11-07,5.3933334
2021-11-08,3.51
2021-11-09,2.95
2021-11-10,1.2783333
2021-11-11,1.4483334
2021-11-12,0.6016666
2021-11-13,6.543333
2021-11-14,7.565
2021-11-15,5.773333
2021-11-16,4.316666
2021-11-17,4.808333
2021-11-18,4.6966667
2021-11-19,7.148333
2021-11-20,6.7166667
2021-11-21,4.5616665
2021-11-22,3.0533333
2021-11-23,2.3116667
2021-11-24,1.8133334
2021-11-25,1.565
2021-11-26,1.3016667
2021-11-27,1.1216666
2021-11-28,0.875
2021-11-29,0.48333332
2021-11-30,3.09
2021-12-01,5.146666
2021-12-02,1.475
2021-12-03,0.59
2021-12-04,2.5133333
2021-12-05,1.8783332
2021-12-06,0.9483333
2021-12-07,2.4966667
2021-12-08,2.9533331
2021-12-09,0.9616666
2021-12-10,0.75666666
2021-12-11,1.3033333
2021-12-12,3.3266666
2021-12-13,5.261667
2021-12-14,4.6983333
2021-12-15,5.533333
2021-12-16,6.8566666
2021-12-17,5.963333
2021-12-18,3.3383331
2021-12-19,3.1866665
2021-12-20,2.0216665
2021-12-21,-2.6899998
2021-12-22,-3.86
2021-12-23,0.35500002
2021-12-24,5.963333
2021-12-25,5.3583336
2021-12-26,2.305
2021-12-27,6.2299995
2021-12-28,7.7766666
2021-12-29,8.388333
2021-12-30,11.706666
2021-12-31,9.599999
