time,BE212
2021-01-01,1.7409999
2021-01-02,-0.352
2021-01-03,0.585
2021-01-04,1.002
2021-01-05,0.68299997
2021-01-06,1.093
2021-01-07,1.181
2021-01-08,0.511
2021-01-09,0.265
2021-01-10,-1.522
2021-01-11,-2.231
2021-01-12,1.917
2021-01-13,1.857
2021-01-14,2.733
2021-01-15,-1.8369999
2021-01-16,-5.614
2021-01-17,0.068
2021-01-18,2.2389998
2021-01-19,2.2129998
2021-01-20,6.4979997
2021-01-21,8.275999
2021-01-22,5.984
2021-01-23,3.1599998
2021-01-24,1.7109998
2021-01-25,1.066
2021-01-26,0.72599995
2021-01-27,1.13
2021-01-28,7.756999
2021-01-29,9.304999
2021-01-30,6.854
2021-01-31,4.7009997
2021-02-01,7.035
2021-02-02,8.977
2021-02-03,10.704
2021-02-04,7.261
2021-02-05,7.9919996
2021-02-06,7.3939996
2021-02-07,5.9379997
2021-02-08,1.2279999
2021-02-09,-1.4499999
2021-02-10,-4.6010003
2021-02-11,-6.0889997
2021-02-12,-4.6759996
2021-02-13,-5.048
2021-02-14,-3.164
2021-02-15,1.7349999
2021-02-16,7.9830003
2021-02-17,8.522
2021-02-18,6.8529997
2021-02-19,8.28
2021-02-20,11.191999
2021-02-21,12.38
2021-02-22,9.455999
2021-02-23,13.989
2021-02-24,12.937999
2021-02-25,12.796
2021-02-26,8.036
2021-02-27,5.082
2021-02-28,5.73
2021-03-01,6.0589995
2021-03-02,8.115999
2021-03-03,8.834
2021-03-04,8.367
2021-03-05,4.674
2021-03-06,2.893
2021-03-07,2.975
2021-03-08,2.184
2021-03-09,2.939
2021-03-10,5.546
2021-03-11,9.558001
2021-03-12,7.451
2021-03-13,6.393
2021-03-14,4.672
2021-03-15,5.796
2021-03-16,4.5950003
2021-03-17,4.56
2021-03-18,3.639
2021-03-19,2.9649997
2021-03-20,2.277
2021-03-21,4.121
2021-03-22,3.918
2021-03-23,6.886
2021-03-24,8.33
2021-03-25,8.434999
2021-03-26,9.63
2021-03-27,8.282
2021-03-28,8.778
2021-03-29,12.608999
2021-03-30,13.819
2021-03-31,15.641001
2021-04-01,15.860998
2021-04-02,11.1
2021-04-03,6.467
2021-04-04,6.8190002
2021-04-05,5.232
2021-04-06,1.3479999
2021-04-07,2.748
2021-04-08,5.8900003
2021-04-09,9.33
2021-04-10,11.231999
2021-04-11,8.412
2021-04-12,4.491
2021-04-13,5.083
2021-04-14,3.6580002
2021-04-15,3.9
2021-04-16,4.019
2021-04-17,6.875
2021-04-18,8.540999
2021-04-19,8.503
2021-04-20,9.933
2021-04-21,11.106
2021-04-22,10.293
2021-04-23,10.225
2021-04-24,11.297
2021-04-25,10.308001
2021-04-26,10.436
2021-04-27,10.502
2021-04-28,10.955
2021-04-29,11.086
2021-04-30,7.075
2021-05-01,7.0399995
2021-05-02,8.785
2021-05-03,8.253
2021-05-04,10.150999
2021-05-05,8.211
2021-05-06,7.9630003
2021-05-07,9.514
2021-05-08,11.917
2021-05-09,18.598999
2021-05-10,17.074
2021-05-11,12.13
2021-05-12,12.134999
2021-05-13,10.806999
2021-05-14,11.046
2021-05-15,10.787
2021-05-16,12.125
2021-05-17,11.325
2021-05-18,11.33
2021-05-19,9.725
2021-05-20,12.356
2021-05-21,13.075999
2021-05-22,11.786
2021-05-23,11.91
2021-05-24,11.042999
2021-05-25,10.561
2021-05-26,10.844999
2021-05-27,12.196
2021-05-28,12.48
2021-05-29,15.192999
2021-05-30,14.763998
2021-05-31,15.3
2021-06-01,16.989
2021-06-02,18.869999
2021-06-03,20.224
2021-06-04,20.447
2021-06-05,16.814999
2021-06-06,15.354999
2021-06-07,17.045
2021-06-08,18.981998
2021-06-09,19.789
2021-06-10,20.758999
2021-06-11,21.411999
2021-06-12,20.297
2021-06-13,18.898998
2021-06-14,19.962
2021-06-15,21.560001
2021-06-16,23.440998
2021-06-17,24.526999
2021-06-18,24.66
2021-06-19,24.275
2021-06-20,22.343
2021-06-21,20.848
2021-06-22,18.151999
2021-06-23,18.623
2021-06-24,17.284
2021-06-25,17.800999
2021-06-26,18.459
2021-06-27,19.513998
2021-06-28,21.429
2021-06-29,17.451
2021-06-30,15.351
2021-07-01,15.895999
2021-07-02,17.492
2021-07-03,19.435999
2021-07-04,18.838999
2021-07-05,19.173
2021-07-06,18.491001
2021-07-07,18.148998
2021-07-08,18.534
2021-07-09,18.122
2021-07-10,18.647
2021-07-11,18.506
2021-07-12,17.837
2021-07-13,16.409
2021-07-14,15.226999
2021-07-15,16.717999
2021-07-16,18.807
2021-07-17,19.199
2021-07-18,21.157999
2021-07-19,21.247
2021-07-20,19.210001
2021-07-21,19.681
2021-07-22,20.088999
2021-07-23,20.889
2021-07-24,21.106998
2021-07-25,19.741001
2021-07-26,19.439999
2021-07-27,18.895
2021-07-28,18.403
2021-07-29,18.755
2021-07-30,18.952
2021-07-31,17.389
2021-08-01,17.587
2021-08-02,17.259998
2021-08-03,15.664999
2021-08-04,16.067
2021-08-05,17.643
2021-08-06,18.154001
2021-08-07,16.906
2021-08-08,16.483
2021-08-09,17.253
2021-08-10,18.612
2021-08-11,20.738
2021-08-12,22.071
2021-08-13,23.077
